county,precinct,office,district,party,candidate,votes,absentee
Lewis,West Turin 3 LD 8,Comptroller,,,Write-in,1,
Lewis,West Turin 4 LD 8,Comptroller,,,Write-in,0,
Lewis,Total,Comptroller,,,Write-in,4,
Lewis,Croghan 1 LD 2,Comptroller,,,Blank or Void,4,
Lewis,Croghan 2 LD 2,Comptroller,,,Blank or Void,23,
Lewis,Croghan 3 LD 2,Comptroller,,,Blank or Void,17,
Lewis,Croghan 4 LD 1,Comptroller,,,Blank or Void,24,
Lewis,Denmark 1 LD 2,Comptroller,,,Blank or Void,6,
Lewis,Denmark 2 LD 3,Comptroller,,,Blank or Void,12,
Lewis,Denmark 3 LD 3,Comptroller,,,Blank or Void,8,
Lewis,Diana 1 LD 1,Comptroller,,,Blank or Void,19,
Lewis,Diana 2 LD 1,Comptroller,,,Blank or Void,7,
Lewis,Greig LD 9,Comptroller,,,Blank or Void,45,
Lewis,Harrisburg LD 8,Comptroller,,,Blank or Void,7,
Lewis,Lewis LD 10,Comptroller,,,Blank or Void,18,
Lewis,Leyden 1 LD 10,Comptroller,,,Blank or Void,13,
Lewis,Leyden 2 LD 10,Comptroller,,,Blank or Void,10,
Lewis,Leyden 3 LD 10,Comptroller,,,Blank or Void,21,
Lewis,Lowville 1 LD 6,Comptroller,,,Blank or Void,14,
Lewis,Lowville 2 LD 5,Comptroller,,,Blank or Void,17,
Lewis,Lowville 3 LD 3,Comptroller,,,Blank or Void,10,
Lewis,Lowville 4 LD 5,Comptroller,,,Blank or Void,31,
Lewis,Lowville 5 LD 7,Comptroller,,,Blank or Void,4,
Lewis,Lyonsdale 1 LD 9,Comptroller,,,Blank or Void,30,
Lewis,Lyonsdale 2 LD 9,Comptroller,,,Blank or Void,5,
Lewis,Lyonsdale 3 LD 9,Comptroller,,,Blank or Void,0,
Lewis,Martinsburg LD 7,Comptroller,,,Blank or Void,21,
Lewis,Montague LD 8,Comptroller,,,Blank or Void,3,
Lewis,New Bremen 1 LD 4,Comptroller,,,Blank or Void,33,
Lewis,New Bremen 2 LD 4,Comptroller,,,Blank or Void,39,
Lewis,Osceola LD 10,Comptroller,,,Blank or Void,2,
Lewis,Pinckney LD 8,Comptroller,,,Blank or Void,9,
Lewis,Turin LD 7,Comptroller,,,Blank or Void,25,
Lewis,Watson LD 6,Comptroller,,,Blank or Void,27,
Lewis,West Turin 1 LD 8,Comptroller,,,Blank or Void,12,
Lewis,West Turin 2 LD 8,Comptroller,,,Blank or Void,9,
Lewis,West Turin 3 LD 8,Comptroller,,,Blank or Void,5,
Lewis,West Turin 4 LD 8,Comptroller,,,Blank or Void,11,
Lewis,Total,Comptroller,,,Blank or Void,541,
Lewis,Croghan 1 LD 2,Attorney General,,DEM,Eric T. Schneiderman,21,1
Lewis,Croghan 2 LD 2,Attorney General,,DEM,Eric T. Schneiderman,48,4
Lewis,Croghan 3 LD 2,Attorney General,,DEM,Eric T. Schneiderman,62,2
Lewis,Croghan 4 LD 1,Attorney General,,DEM,Eric T. Schneiderman,42,1
Lewis,Denmark 1 LD 2,Attorney General,,DEM,Eric T. Schneiderman,37,3
Lewis,Denmark 2 LD 3,Attorney General,,DEM,Eric T. Schneiderman,64,3
Lewis,Denmark 3 LD 3,Attorney General,,DEM,Eric T. Schneiderman,36,1
Lewis,Diana 1 LD 1,Attorney General,,DEM,Eric T. Schneiderman,83,3
Lewis,Diana 2 LD 1,Attorney General,,DEM,Eric T. Schneiderman,48,1
Lewis,Greig LD 9,Attorney General,,DEM,Eric T. Schneiderman,95,5
Lewis,Harrisburg LD 8,Attorney General,,DEM,Eric T. Schneiderman,35,3
Lewis,Lewis LD 10,Attorney General,,DEM,Eric T. Schneiderman,57,2
Lewis,Leyden 1 LD 10,Attorney General,,DEM,Eric T. Schneiderman,37,3
Lewis,Leyden 2 LD 10,Attorney General,,DEM,Eric T. Schneiderman,21,1
Lewis,Leyden 3 LD 10,Attorney General,,DEM,Eric T. Schneiderman,23,0
Lewis,Lowville 1 LD 6,Attorney General,,DEM,Eric T. Schneiderman,61,11
Lewis,Lowville 2 LD 5,Attorney General,,DEM,Eric T. Schneiderman,74,2
Lewis,Lowville 3 LD 3,Attorney General,,DEM,Eric T. Schneiderman,23,7
Lewis,Lowville 4 LD 5,Attorney General,,DEM,Eric T. Schneiderman,141,12
Lewis,Lowville 5 LD 7,Attorney General,,DEM,Eric T. Schneiderman,32,4
Lewis,Lyonsdale 1 LD 9,Attorney General,,DEM,Eric T. Schneiderman,35,2
Lewis,Lyonsdale 2 LD 9,Attorney General,,DEM,Eric T. Schneiderman,20,0
Lewis,Lyonsdale 3 LD 9,Attorney General,,DEM,Eric T. Schneiderman,2,0
Lewis,Martinsburg LD 7,Attorney General,,DEM,Eric T. Schneiderman,84,3
Lewis,Montague LD 8,Attorney General,,DEM,Eric T. Schneiderman,6,0
Lewis,New Bremen 1 LD 4,Attorney General,,DEM,Eric T. Schneiderman,103,5
Lewis,New Bremen 2 LD 4,Attorney General,,DEM,Eric T. Schneiderman,121,5
Lewis,Osceola LD 10,Attorney General,,DEM,Eric T. Schneiderman,19,0
Lewis,Pinckney LD 8,Attorney General,,DEM,Eric T. Schneiderman,27,2
Lewis,Turin LD 7,Attorney General,,DEM,Eric T. Schneiderman,57,4
Lewis,Watson LD 6,Attorney General,,DEM,Eric T. Schneiderman,117,13
Lewis,West Turin 1 LD 8,Attorney General,,DEM,Eric T. Schneiderman,40,1
Lewis,West Turin 2 LD 8,Attorney General,,DEM,Eric T. Schneiderman,9,0
Lewis,West Turin 3 LD 8,Attorney General,,DEM,Eric T. Schneiderman,23,2
Lewis,West Turin 4 LD 8,Attorney General,,DEM,Eric T. Schneiderman,34,3
Lewis,Total,Attorney General,,DEM,Eric T. Schneiderman,1737,109
Lewis,Croghan 1 LD 2,Attorney General,,REP,John Cahill,63,2
Lewis,Croghan 2 LD 2,Attorney General,,REP,John Cahill,95,5
Lewis,Croghan 3 LD 2,Attorney General,,REP,John Cahill,132,3
Lewis,Croghan 4 LD 1,Attorney General,,REP,John Cahill,127,7
Lewis,Denmark 1 LD 2,Attorney General,,REP,John Cahill,60,6
Lewis,Denmark 2 LD 3,Attorney General,,REP,John Cahill,137,4
Lewis,Denmark 3 LD 3,Attorney General,,REP,John Cahill,94,6
Lewis,Diana 1 LD 1,Attorney General,,REP,John Cahill,156,6
Lewis,Diana 2 LD 1,Attorney General,,REP,John Cahill,65,4
Lewis,Greig LD 9,Attorney General,,REP,John Cahill,188,17
Lewis,Harrisburg LD 8,Attorney General,,REP,John Cahill,55,2
Lewis,Lewis LD 10,Attorney General,,REP,John Cahill,116,4
Lewis,Leyden 1 LD 10,Attorney General,,REP,John Cahill,87,4
Lewis,Leyden 2 LD 10,Attorney General,,REP,John Cahill,58,0
Lewis,Leyden 3 LD 10,Attorney General,,REP,John Cahill,70,4
Lewis,Lowville 1 LD 6,Attorney General,,REP,John Cahill,84,14
Lewis,Lowville 2 LD 5,Attorney General,,REP,John Cahill,127,5
Lewis,Lowville 3 LD 3,Attorney General,,REP,John Cahill,62,8
Lewis,Lowville 4 LD 5,Attorney General,,REP,John Cahill,229,19
Lewis,Lowville 5 LD 7,Attorney General,,REP,John Cahill,49,3
Lewis,Lyonsdale 1 LD 9,Attorney General,,REP,John Cahill,119,3
Lewis,Lyonsdale 2 LD 9,Attorney General,,REP,John Cahill,23,1
Lewis,Lyonsdale 3 LD 9,Attorney General,,REP,John Cahill,12,0
Lewis,Martinsburg LD 7,Attorney General,,REP,John Cahill,162,8
Lewis,Montague LD 8,Attorney General,,REP,John Cahill,18,2
Lewis,New Bremen 1 LD 4,Attorney General,,REP,John Cahill,156,3
Lewis,New Bremen 2 LD 4,Attorney General,,REP,John Cahill,177,12
Lewis,Osceola LD 10,Attorney General,,REP,John Cahill,56,5
Lewis,Pinckney LD 8,Attorney General,,REP,John Cahill,59,3
Lewis,Turin LD 7,Attorney General,,REP,John Cahill,78,6
Lewis,Watson LD 6,Attorney General,,REP,John Cahill,212,14
Lewis,West Turin 1 LD 8,Attorney General,,REP,John Cahill,98,7
Lewis,West Turin 2 LD 8,Attorney General,,REP,John Cahill,23,1
Lewis,West Turin 3 LD 8,Attorney General,,REP,John Cahill,33,2
Lewis,West Turin 4 LD 8,Attorney General,,REP,John Cahill,70,4
Lewis,Total,Attorney General,,REP,John Cahill,3350,194
Lewis,Croghan 1 LD 2,Attorney General,,CON/SCC,John Cahill,13,0
Lewis,Croghan 2 LD 2,Attorney General,,CON/SCC,John Cahill,12,1
Lewis,Croghan 3 LD 2,Attorney General,,CON/SCC,John Cahill,28,3
Lewis,Croghan 4 LD 1,Attorney General,,CON/SCC,John Cahill,22,1
Lewis,Denmark 1 LD 2,Attorney General,,CON/SCC,John Cahill,7,0
Lewis,Denmark 2 LD 3,Attorney General,,CON/SCC,John Cahill,23,1
Lewis,Denmark 3 LD 3,Attorney General,,CON/SCC,John Cahill,11,0
Lewis,Diana 1 LD 1,Attorney General,,CON/SCC,John Cahill,35,0
Lewis,Diana 2 LD 1,Attorney General,,CON/SCC,John Cahill,11,1
Lewis,Greig LD 9,Attorney General,,CON/SCC,John Cahill,32,3
Lewis,Harrisburg LD 8,Attorney General,,CON/SCC,John Cahill,14,0
Lewis,Lewis LD 10,Attorney General,,CON/SCC,John Cahill,33,1
Lewis,Leyden 1 LD 10,Attorney General,,CON/SCC,John Cahill,26,0
Lewis,Leyden 2 LD 10,Attorney General,,CON/SCC,John Cahill,12,0
Lewis,Leyden 3 LD 10,Attorney General,,CON/SCC,John Cahill,6,0
Lewis,Lowville 1 LD 6,Attorney General,,CON/SCC,John Cahill,10,1
Lewis,Lowville 2 LD 5,Attorney General,,CON/SCC,John Cahill,15,1
Lewis,Lowville 3 LD 3,Attorney General,,CON/SCC,John Cahill,9,4
Lewis,Lowville 4 LD 5,Attorney General,,CON/SCC,John Cahill,51,1
Lewis,Lowville 5 LD 7,Attorney General,,CON/SCC,John Cahill,10,0
Lewis,Lyonsdale 1 LD 9,Attorney General,,CON/SCC,John Cahill,29,2
Lewis,Lyonsdale 2 LD 9,Attorney General,,CON/SCC,John Cahill,5,0
Lewis,Lyonsdale 3 LD 9,Attorney General,,CON/SCC,John Cahill,0,0
Lewis,Martinsburg LD 7,Attorney General,,CON/SCC,John Cahill,25,1
Lewis,Montague LD 8,Attorney General,,CON/SCC,John Cahill,1,0
Lewis,New Bremen 1 LD 4,Attorney General,,CON/SCC,John Cahill,21,1
Lewis,New Bremen 2 LD 4,Attorney General,,CON/SCC,John Cahill,33,0
Lewis,Osceola LD 10,Attorney General,,CON/SCC,John Cahill,10,0
Lewis,Pinckney LD 8,Attorney General,,CON/SCC,John Cahill,9,1
Lewis,Turin LD 7,Attorney General,,CON/SCC,John Cahill,21,1
Lewis,Watson LD 6,Attorney General,,CON/SCC,John Cahill,44,2
Lewis,West Turin 1 LD 8,Attorney General,,CON/SCC,John Cahill,18,0
Lewis,West Turin 2 LD 8,Attorney General,,CON/SCC,John Cahill,2,0
Lewis,West Turin 3 LD 8,Attorney General,,CON/SCC,John Cahill,9,2
Lewis,West Turin 4 LD 8,Attorney General,,CON/SCC,John Cahill,12,0
Lewis,Total,Attorney General,,CON/SCC,John Cahill,619,28
Lewis,Croghan 1 LD 2,Attorney General,,WF,Eric T. Schneiderman,2,0
Lewis,Croghan 2 LD 2,Attorney General,,WF,Eric T. Schneiderman,5,0
Lewis,Croghan 3 LD 2,Attorney General,,WF,Eric T. Schneiderman,6,0
Lewis,Croghan 4 LD 1,Attorney General,,WF,Eric T. Schneiderman,6,0
Lewis,Denmark 1 LD 2,Attorney General,,WF,Eric T. Schneiderman,4,0
Lewis,Denmark 2 LD 3,Attorney General,,WF,Eric T. Schneiderman,2,0
Lewis,Denmark 3 LD 3,Attorney General,,WF,Eric T. Schneiderman,8,0
Lewis,Diana 1 LD 1,Attorney General,,WF,Eric T. Schneiderman,2,0
Lewis,Diana 2 LD 1,Attorney General,,WF,Eric T. Schneiderman,1,0
Lewis,Greig LD 9,Attorney General,,WF,Eric T. Schneiderman,8,0
Lewis,Harrisburg LD 8,Attorney General,,WF,Eric T. Schneiderman,5,0
Lewis,Lewis LD 10,Attorney General,,WF,Eric T. Schneiderman,6,0
Lewis,Leyden 1 LD 10,Attorney General,,WF,Eric T. Schneiderman,6,0
Lewis,Leyden 2 LD 10,Attorney General,,WF,Eric T. Schneiderman,5,0
Lewis,Leyden 3 LD 10,Attorney General,,WF,Eric T. Schneiderman,2,0
Lewis,Lowville 1 LD 6,Attorney General,,WF,Eric T. Schneiderman,4,0
Lewis,Lowville 2 LD 5,Attorney General,,WF,Eric T. Schneiderman,6,1
Lewis,Lowville 3 LD 3,Attorney General,,WF,Eric T. Schneiderman,1,0
Lewis,Lowville 4 LD 5,Attorney General,,WF,Eric T. Schneiderman,11,0
Lewis,Lowville 5 LD 7,Attorney General,,WF,Eric T. Schneiderman,2,0
Lewis,Lyonsdale 1 LD 9,Attorney General,,WF,Eric T. Schneiderman,4,0
Lewis,Lyonsdale 2 LD 9,Attorney General,,WF,Eric T. Schneiderman,2,0
Lewis,Lyonsdale 3 LD 9,Attorney General,,WF,Eric T. Schneiderman,0,0
Lewis,Martinsburg LD 7,Attorney General,,WF,Eric T. Schneiderman,10,1
Lewis,Montague LD 8,Attorney General,,WF,Eric T. Schneiderman,1,0
Lewis,New Bremen 1 LD 4,Attorney General,,WF,Eric T. Schneiderman,6,0
Lewis,New Bremen 2 LD 4,Attorney General,,WF,Eric T. Schneiderman,10,0
Lewis,Osceola LD 10,Attorney General,,WF,Eric T. Schneiderman,1,0
Lewis,Pinckney LD 8,Attorney General,,WF,Eric T. Schneiderman,1,0
Lewis,Turin LD 7,Attorney General,,WF,Eric T. Schneiderman,10,0
Lewis,Watson LD 6,Attorney General,,WF,Eric T. Schneiderman,11,1
Lewis,West Turin 1 LD 8,Attorney General,,WF,Eric T. Schneiderman,4,0
Lewis,West Turin 2 LD 8,Attorney General,,WF,Eric T. Schneiderman,1,0
Lewis,West Turin 3 LD 8,Attorney General,,WF,Eric T. Schneiderman,2,0
Lewis,West Turin 4 LD 8,Attorney General,,WF,Eric T. Schneiderman,7,0
Lewis,Total,Attorney General,,WF,Eric T. Schneiderman,162,3
Lewis,Croghan 1 LD 2,Attorney General,,IND/WEP,Eric T. Schneiderman,2,0
Lewis,Croghan 2 LD 2,Attorney General,,IND/WEP,Eric T. Schneiderman,3,1
Lewis,Croghan 3 LD 2,Attorney General,,IND/WEP,Eric T. Schneiderman,6,0
Lewis,Croghan 4 LD 1,Attorney General,,IND/WEP,Eric T. Schneiderman,0,0
Lewis,Denmark 1 LD 2,Attorney General,,IND/WEP,Eric T. Schneiderman,1,0
Lewis,Denmark 2 LD 3,Attorney General,,IND/WEP,Eric T. Schneiderman,4,0
Lewis,Denmark 3 LD 3,Attorney General,,IND/WEP,Eric T. Schneiderman,5,0
Lewis,Diana 1 LD 1,Attorney General,,IND/WEP,Eric T. Schneiderman,9,0
Lewis,Diana 2 LD 1,Attorney General,,IND/WEP,Eric T. Schneiderman,3,0
Lewis,Greig LD 9,Attorney General,,IND/WEP,Eric T. Schneiderman,9,0
Lewis,Harrisburg LD 8,Attorney General,,IND/WEP,Eric T. Schneiderman,1,1
Lewis,Lewis LD 10,Attorney General,,IND/WEP,Eric T. Schneiderman,5,0
Lewis,Leyden 1 LD 10,Attorney General,,IND/WEP,Eric T. Schneiderman,3,0
Lewis,Leyden 2 LD 10,Attorney General,,IND/WEP,Eric T. Schneiderman,3,0
Lewis,Leyden 3 LD 10,Attorney General,,IND/WEP,Eric T. Schneiderman,3,0
Lewis,Lowville 1 LD 6,Attorney General,,IND/WEP,Eric T. Schneiderman,1,1
Lewis,Lowville 2 LD 5,Attorney General,,IND/WEP,Eric T. Schneiderman,4,0
Lewis,Lowville 3 LD 3,Attorney General,,IND/WEP,Eric T. Schneiderman,3,0
Lewis,Lowville 4 LD 5,Attorney General,,IND/WEP,Eric T. Schneiderman,9,0
Lewis,Lowville 5 LD 7,Attorney General,,IND/WEP,Eric T. Schneiderman,2,2
Lewis,Lyonsdale 1 LD 9,Attorney General,,IND/WEP,Eric T. Schneiderman,3,0
Lewis,Lyonsdale 2 LD 9,Attorney General,,IND/WEP,Eric T. Schneiderman,2,0
Lewis,Lyonsdale 3 LD 9,Attorney General,,IND/WEP,Eric T. Schneiderman,0,0
Lewis,Martinsburg LD 7,Attorney General,,IND/WEP,Eric T. Schneiderman,5,0
Lewis,Montague LD 8,Attorney General,,IND/WEP,Eric T. Schneiderman,0,0
Lewis,New Bremen 1 LD 4,Attorney General,,IND/WEP,Eric T. Schneiderman,6,0
Lewis,New Bremen 2 LD 4,Attorney General,,IND/WEP,Eric T. Schneiderman,9,0
Lewis,Osceola LD 10,Attorney General,,IND/WEP,Eric T. Schneiderman,2,0
Lewis,Pinckney LD 8,Attorney General,,IND/WEP,Eric T. Schneiderman,5,0
Lewis,Turin LD 7,Attorney General,,IND/WEP,Eric T. Schneiderman,2,0
Lewis,Watson LD 6,Attorney General,,IND/WEP,Eric T. Schneiderman,11,0
Lewis,West Turin 1 LD 8,Attorney General,,IND/WEP,Eric T. Schneiderman,7,0
Lewis,West Turin 2 LD 8,Attorney General,,IND/WEP,Eric T. Schneiderman,1,0
Lewis,West Turin 3 LD 8,Attorney General,,IND/WEP,Eric T. Schneiderman,1,0
Lewis,West Turin 4 LD 8,Attorney General,,IND/WEP,Eric T. Schneiderman,5,0
Lewis,Total,Attorney General,,IND/WEP,Eric T. Schneiderman,135,5
Lewis,Croghan 1 LD 2,Attorney General,,GRE,Ramon Jimenez,0,0
Lewis,Croghan 2 LD 2,Attorney General,,GRE,Ramon Jimenez,6,0
Lewis,Croghan 3 LD 2,Attorney General,,GRE,Ramon Jimenez,5,0
Lewis,Croghan 4 LD 1,Attorney General,,GRE,Ramon Jimenez,5,0
Lewis,Denmark 1 LD 2,Attorney General,,GRE,Ramon Jimenez,3,0
Lewis,Denmark 2 LD 3,Attorney General,,GRE,Ramon Jimenez,10,0
Lewis,Denmark 3 LD 3,Attorney General,,GRE,Ramon Jimenez,3,0
Lewis,Diana 1 LD 1,Attorney General,,GRE,Ramon Jimenez,8,0
Lewis,Diana 2 LD 1,Attorney General,,GRE,Ramon Jimenez,1,0
Lewis,Greig LD 9,Attorney General,,GRE,Ramon Jimenez,10,0
Lewis,Harrisburg LD 8,Attorney General,,GRE,Ramon Jimenez,1,0
Lewis,Lewis LD 10,Attorney General,,GRE,Ramon Jimenez,6,0
Lewis,Leyden 1 LD 10,Attorney General,,GRE,Ramon Jimenez,5,1
Lewis,Leyden 2 LD 10,Attorney General,,GRE,Ramon Jimenez,0,0
Lewis,Leyden 3 LD 10,Attorney General,,GRE,Ramon Jimenez,4,0
Lewis,Lowville 1 LD 6,Attorney General,,GRE,Ramon Jimenez,4,1
Lewis,Lowville 2 LD 5,Attorney General,,GRE,Ramon Jimenez,3,0
Lewis,Lowville 3 LD 3,Attorney General,,GRE,Ramon Jimenez,0,0
Lewis,Lowville 4 LD 5,Attorney General,,GRE,Ramon Jimenez,10,0
Lewis,Lowville 5 LD 7,Attorney General,,GRE,Ramon Jimenez,0,0
Lewis,Lyonsdale 1 LD 9,Attorney General,,GRE,Ramon Jimenez,6,0
Lewis,Lyonsdale 2 LD 9,Attorney General,,GRE,Ramon Jimenez,1,0
Lewis,Lyonsdale 3 LD 9,Attorney General,,GRE,Ramon Jimenez,0,0
Lewis,Martinsburg LD 7,Attorney General,,GRE,Ramon Jimenez,6,0
Lewis,Montague LD 8,Attorney General,,GRE,Ramon Jimenez,2,0
Lewis,New Bremen 1 LD 4,Attorney General,,GRE,Ramon Jimenez,10,1
Lewis,New Bremen 2 LD 4,Attorney General,,GRE,Ramon Jimenez,6,0
Lewis,Osceola LD 10,Attorney General,,GRE,Ramon Jimenez,3,0
Lewis,Pinckney LD 8,Attorney General,,GRE,Ramon Jimenez,2,1
Lewis,Turin LD 7,Attorney General,,GRE,Ramon Jimenez,2,0
Lewis,Watson LD 6,Attorney General,,GRE,Ramon Jimenez,10,0
Lewis,West Turin 1 LD 8,Attorney General,,GRE,Ramon Jimenez,2,0
Lewis,West Turin 2 LD 8,Attorney General,,GRE,Ramon Jimenez,0,0
Lewis,West Turin 3 LD 8,Attorney General,,GRE,Ramon Jimenez,3,0
Lewis,West Turin 4 LD 8,Attorney General,,GRE,Ramon Jimenez,2,0
Lewis,Total,Attorney General,,GRE,Ramon Jimenez,139,4
Lewis,Croghan 1 LD 2,Attorney General,,LBT,Carl E. Person,1,0
Lewis,Croghan 2 LD 2,Attorney General,,LBT,Carl E. Person,2,0
Lewis,Croghan 3 LD 2,Attorney General,,LBT,Carl E. Person,1,0
Lewis,Croghan 4 LD 1,Attorney General,,LBT,Carl E. Person,1,0
Lewis,Denmark 1 LD 2,Attorney General,,LBT,Carl E. Person,0,0
Lewis,Denmark 2 LD 3,Attorney General,,LBT,Carl E. Person,0,1
Lewis,Denmark 3 LD 3,Attorney General,,LBT,Carl E. Person,0,0
Lewis,Diana 1 LD 1,Attorney General,,LBT,Carl E. Person,1,0
Lewis,Diana 2 LD 1,Attorney General,,LBT,Carl E. Person,0,0
Lewis,Greig LD 9,Attorney General,,LBT,Carl E. Person,5,0
Lewis,Harrisburg LD 8,Attorney General,,LBT,Carl E. Person,0,0
Lewis,Lewis LD 10,Attorney General,,LBT,Carl E. Person,3,0
Lewis,Leyden 1 LD 10,Attorney General,,LBT,Carl E. Person,2,0
Lewis,Leyden 2 LD 10,Attorney General,,LBT,Carl E. Person,0,0
Lewis,Leyden 3 LD 10,Attorney General,,LBT,Carl E. Person,2,0
Lewis,Lowville 1 LD 6,Attorney General,,LBT,Carl E. Person,0,0
Lewis,Lowville 2 LD 5,Attorney General,,LBT,Carl E. Person,1,0
Lewis,Lowville 3 LD 3,Attorney General,,LBT,Carl E. Person,1,0
Lewis,Lowville 4 LD 5,Attorney General,,LBT,Carl E. Person,4,1
Lewis,Lowville 5 LD 7,Attorney General,,LBT,Carl E. Person,0,0
Lewis,Lyonsdale 1 LD 9,Attorney General,,LBT,Carl E. Person,2,0
Lewis,Lyonsdale 2 LD 9,Attorney General,,LBT,Carl E. Person,0,0
Lewis,Lyonsdale 3 LD 9,Attorney General,,LBT,Carl E. Person,0,0
Lewis,Martinsburg LD 7,Attorney General,,LBT,Carl E. Person,4,0
Lewis,Montague LD 8,Attorney General,,LBT,Carl E. Person,0,0
Lewis,New Bremen 1 LD 4,Attorney General,,LBT,Carl E. Person,0,0
Lewis,New Bremen 2 LD 4,Attorney General,,LBT,Carl E. Person,5,0
Lewis,Osceola LD 10,Attorney General,,LBT,Carl E. Person,1,0
Lewis,Pinckney LD 8,Attorney General,,LBT,Carl E. Person,0,0
Lewis,Turin LD 7,Attorney General,,LBT,Carl E. Person,0,0
Lewis,Watson LD 6,Attorney General,,LBT,Carl E. Person,2,0
Lewis,West Turin 1 LD 8,Attorney General,,LBT,Carl E. Person,2,0
Lewis,West Turin 2 LD 8,Attorney General,,LBT,Carl E. Person,0,0
Lewis,West Turin 3 LD 8,Attorney General,,LBT,Carl E. Person,0,0
Lewis,West Turin 4 LD 8,Attorney General,,LBT,Carl E. Person,0,0
Lewis,Total,Attorney General,,LBT,Carl E. Person,40,2
Lewis,Croghan 1 LD 2,Attorney General,,,Write-in,0,
Lewis,Croghan 2 LD 2,Attorney General,,,Write-in,0,
Lewis,Croghan 3 LD 2,Attorney General,,,Write-in,0,
Lewis,Croghan 4 LD 1,Attorney General,,,Write-in,0,
Lewis,Denmark 1 LD 2,Attorney General,,,Write-in,0,
Lewis,Denmark 2 LD 3,Attorney General,,,Write-in,0,
Lewis,Denmark 3 LD 3,Attorney General,,,Write-in,0,
Lewis,Diana 1 LD 1,Attorney General,,,Write-in,0,
Lewis,Diana 2 LD 1,Attorney General,,,Write-in,0,
Lewis,Greig LD 9,Attorney General,,,Write-in,0,
Lewis,Harrisburg LD 8,Attorney General,,,Write-in,0,
Lewis,Lewis LD 10,Attorney General,,,Write-in,0,
Lewis,Leyden 1 LD 10,Attorney General,,,Write-in,2,
Lewis,Leyden 2 LD 10,Attorney General,,,Write-in,0,
Lewis,Leyden 3 LD 10,Attorney General,,,Write-in,0,
Lewis,Lowville 1 LD 6,Attorney General,,,Write-in,0,
Lewis,Lowville 2 LD 5,Attorney General,,,Write-in,0,
Lewis,Lowville 3 LD 3,Attorney General,,,Write-in,0,
Lewis,Lowville 4 LD 5,Attorney General,,,Write-in,1,
Lewis,Lowville 5 LD 7,Attorney General,,,Write-in,0,
Lewis,Lyonsdale 1 LD 9,Attorney General,,,Write-in,0,
Lewis,Lyonsdale 2 LD 9,Attorney General,,,Write-in,0,
Lewis,Lyonsdale 3 LD 9,Attorney General,,,Write-in,0,
Lewis,Martinsburg LD 7,Attorney General,,,Write-in,0,
Lewis,Montague LD 8,Attorney General,,,Write-in,0,
Lewis,New Bremen 1 LD 4,Attorney General,,,Write-in,0,
Lewis,New Bremen 2 LD 4,Attorney General,,,Write-in,0,
Lewis,Osceola LD 10,Attorney General,,,Write-in,0,
Lewis,Pinckney LD 8,Attorney General,,,Write-in,0,
Lewis,Turin LD 7,Attorney General,,,Write-in,0,
Lewis,Watson LD 6,Attorney General,,,Write-in,0,
Lewis,West Turin 1 LD 8,Attorney General,,,Write-in,0,
Lewis,West Turin 2 LD 8,Attorney General,,,Write-in,0,
Lewis,West Turin 3 LD 8,Attorney General,,,Write-in,1,
Lewis,West Turin 4 LD 8,Attorney General,,,Write-in,0,
Lewis,Total,Attorney General,,,Write-in,4,
Lewis,Croghan 1 LD 2,Attorney General,,,Blank or Void,3,
Lewis,Croghan 2 LD 2,Attorney General,,,Blank or Void,13,
Lewis,Croghan 3 LD 2,Attorney General,,,Blank or Void,22,
Lewis,Croghan 4 LD 1,Attorney General,,,Blank or Void,14,
Lewis,Denmark 1 LD 2,Attorney General,,,Blank or Void,6,
Lewis,Denmark 2 LD 3,Attorney General,,,Blank or Void,14,
Lewis,Denmark 3 LD 3,Attorney General,,,Blank or Void,9,
Lewis,Diana 1 LD 1,Attorney General,,,Blank or Void,12,
Lewis,Diana 2 LD 1,Attorney General,,,Blank or Void,7,
Lewis,Greig LD 9,Attorney General,,,Blank or Void,43,
Lewis,Harrisburg LD 8,Attorney General,,,Blank or Void,7,
Lewis,Lewis LD 10,Attorney General,,,Blank or Void,11,
Lewis,Leyden 1 LD 10,Attorney General,,,Blank or Void,12,
Lewis,Leyden 2 LD 10,Attorney General,,,Blank or Void,12,
Lewis,Leyden 3 LD 10,Attorney General,,,Blank or Void,22,
Lewis,Lowville 1 LD 6,Attorney General,,,Blank or Void,15,
Lewis,Lowville 2 LD 5,Attorney General,,,Blank or Void,18,
Lewis,Lowville 3 LD 3,Attorney General,,,Blank or Void,8,
Lewis,Lowville 4 LD 5,Attorney General,,,Blank or Void,33,
Lewis,Lowville 5 LD 7,Attorney General,,,Blank or Void,1,
Lewis,Lyonsdale 1 LD 9,Attorney General,,,Blank or Void,19,
Lewis,Lyonsdale 2 LD 9,Attorney General,,,Blank or Void,5,
Lewis,Lyonsdale 3 LD 9,Attorney General,,,Blank or Void,1,
Lewis,Martinsburg LD 7,Attorney General,,,Blank or Void,20,
Lewis,Montague LD 8,Attorney General,,,Blank or Void,2,
Lewis,New Bremen 1 LD 4,Attorney General,,,Blank or Void,28,
Lewis,New Bremen 2 LD 4,Attorney General,,,Blank or Void,40,
Lewis,Osceola LD 10,Attorney General,,,Blank or Void,1,
Lewis,Pinckney LD 8,Attorney General,,,Blank or Void,7,
Lewis,Turin LD 7,Attorney General,,,Blank or Void,19,
Lewis,Watson LD 6,Attorney General,,,Blank or Void,28,
