county,precinct,office,district,party,candidate,machine,absentee,absentee_hc,affidavit,votes
St. Lawrence,Ogdensburg 1,Attorney General,,IND,Letitia A. James,6,0,0,0,6
St. Lawrence,Ogdensburg 1,Attorney General,,LBT,Christopher B. Garvey,2,0,0,0,2
St. Lawrence,Ogdensburg 1,Attorney General,,REF,Nancy B. Sliwa,3,0,0,0,3
St. Lawrence,Ogdensburg 1,Attorney General,,REP,Keith Wofford,175,6,0,0,181
St. Lawrence,Ogdensburg 1,Attorney General,,WOR,Letitia A. James,7,0,0,0,7
St. Lawrence,Ogdensburg 2,Attorney General,,CON,Keith Wofford,13,0,0,0,13
St. Lawrence,Ogdensburg 2,Attorney General,,DEM,Letitia A. James,136,5,0,0,141
St. Lawrence,Ogdensburg 2,Attorney General,,GRE,Michael Sussman,1,1,0,0,2
St. Lawrence,Ogdensburg 2,Attorney General,,IND,Letitia A. James,7,2,0,0,9
St. Lawrence,Ogdensburg 2,Attorney General,,LBT,Christopher B. Garvey,4,0,0,0,4
St. Lawrence,Ogdensburg 2,Attorney General,,REF,Nancy B. Sliwa,4,0,0,0,4
St. Lawrence,Ogdensburg 2,Attorney General,,REP,Keith Wofford,175,4,0,3,182
St. Lawrence,Ogdensburg 2,Attorney General,,WOR,Letitia A. James,10,0,0,0,10
St. Lawrence,Ogdensburg 3,Attorney General,,CON,Keith Wofford,24,1,0,0,25
St. Lawrence,Ogdensburg 3,Attorney General,,DEM,Letitia A. James,205,12,4,3,224
St. Lawrence,Ogdensburg 3,Attorney General,,GRE,Michael Sussman,7,0,0,0,7
St. Lawrence,Ogdensburg 3,Attorney General,,IND,Letitia A. James,11,1,0,0,12
St. Lawrence,Ogdensburg 3,Attorney General,,LBT,Christopher B. Garvey,1,0,0,0,1
St. Lawrence,Ogdensburg 3,Attorney General,,REF,Nancy B. Sliwa,2,0,0,0,2
St. Lawrence,Ogdensburg 3,Attorney General,,REP,Keith Wofford,227,8,0,4,239
St. Lawrence,Ogdensburg 3,Attorney General,,WOR,Letitia A. James,13,0,1,0,14
St. Lawrence,Ogdensburg 4,Attorney General,,CON,Keith Wofford,23,0,0,0,23
St. Lawrence,Ogdensburg 4,Attorney General,,DEM,Letitia A. James,183,8,0,2,193
St. Lawrence,Ogdensburg 4,Attorney General,,GRE,Michael Sussman,7,0,0,0,7
St. Lawrence,Ogdensburg 4,Attorney General,,IND,Letitia A. James,7,0,0,0,7
St. Lawrence,Ogdensburg 4,Attorney General,,LBT,Christopher B. Garvey,5,1,0,0,6
St. Lawrence,Ogdensburg 4,Attorney General,,REF,Nancy B. Sliwa,3,1,0,0,4
St. Lawrence,Ogdensburg 4,Attorney General,,REP,Keith Wofford,200,8,0,1,209
St. Lawrence,Ogdensburg 4,Attorney General,,WOR,Letitia A. James,12,0,0,0,12
St. Lawrence,Ogdensburg 5,Attorney General,,CON,Keith Wofford,16,1,0,0,17
St. Lawrence,Ogdensburg 5,Attorney General,,DEM,Letitia A. James,141,10,0,2,153
St. Lawrence,Ogdensburg 5,Attorney General,,GRE,Michael Sussman,7,0,0,0,7
St. Lawrence,Ogdensburg 5,Attorney General,,IND,Letitia A. James,9,1,0,0,10
St. Lawrence,Ogdensburg 5,Attorney General,,LBT,Christopher B. Garvey,3,0,0,0,3
St. Lawrence,Ogdensburg 5,Attorney General,,REF,Nancy B. Sliwa,1,0,0,0,1
St. Lawrence,Ogdensburg 5,Attorney General,,REP,Keith Wofford,171,5,0,2,178
St. Lawrence,Ogdensburg 5,Attorney General,,WOR,Letitia A. James,11,1,0,1,13
St. Lawrence,Ogdensburg 6,Attorney General,,CON,Keith Wofford,17,6,0,0,23
St. Lawrence,Ogdensburg 6,Attorney General,,DEM,Letitia A. James,166,22,0,1,189
St. Lawrence,Ogdensburg 6,Attorney General,,GRE,Michael Sussman,5,0,0,0,5
St. Lawrence,Ogdensburg 6,Attorney General,,IND,Letitia A. James,5,2,0,1,8
St. Lawrence,Ogdensburg 6,Attorney General,,LBT,Christopher B. Garvey,4,0,0,0,4
St. Lawrence,Ogdensburg 6,Attorney General,,REF,Nancy B. Sliwa,4,4,0,0,8
St. Lawrence,Ogdensburg 6,Attorney General,,REP,Keith Wofford,203,20,0,1,224
St. Lawrence,Ogdensburg 6,Attorney General,,WOR,Letitia A. James,10,1,0,0,11
St. Lawrence,Oswegatchie 1,Attorney General,,CON,Keith Wofford,36,3,0,0,39
St. Lawrence,Oswegatchie 1,Attorney General,,DEM,Letitia A. James,146,17,0,3,166
St. Lawrence,Oswegatchie 1,Attorney General,,GRE,Michael Sussman,3,0,0,0,3
St. Lawrence,Oswegatchie 1,Attorney General,,IND,Letitia A. James,9,1,0,0,10
St. Lawrence,Oswegatchie 1,Attorney General,,LBT,Christopher B. Garvey,3,0,0,0,3
St. Lawrence,Oswegatchie 1,Attorney General,,REF,Nancy B. Sliwa,2,0,0,0,2
St. Lawrence,Oswegatchie 1,Attorney General,,REP,Keith Wofford,349,21,1,3,374
St. Lawrence,Oswegatchie 1,Attorney General,,WOR,Letitia A. James,8,0,0,0,8
St. Lawrence,Oswegatchie 2,Attorney General,,CON,Keith Wofford,21,3,0,0,24
St. Lawrence,Oswegatchie 2,Attorney General,,DEM,Letitia A. James,153,20,2,2,177
St. Lawrence,Oswegatchie 2,Attorney General,,GRE,Michael Sussman,4,1,0,0,5
St. Lawrence,Oswegatchie 2,Attorney General,,IND,Letitia A. James,6,1,0,0,7
St. Lawrence,Oswegatchie 2,Attorney General,,LBT,Christopher B. Garvey,4,0,0,0,4
St. Lawrence,Oswegatchie 2,Attorney General,,REF,Nancy B. Sliwa,4,0,0,0,4
St. Lawrence,Oswegatchie 2,Attorney General,,REP,Keith Wofford,264,19,0,4,287
St. Lawrence,Oswegatchie 2,Attorney General,,WOR,Letitia A. James,4,0,0,1,5
St. Lawrence,Oswegatchie 3,Attorney General,,CON,Keith Wofford,6,0,0,0,6
St. Lawrence,Oswegatchie 3,Attorney General,,DEM,Letitia A. James,84,9,0,2,95
St. Lawrence,Oswegatchie 3,Attorney General,,GRE,Michael Sussman,3,0,0,0,3
St. Lawrence,Oswegatchie 3,Attorney General,,IND,Letitia A. James,4,1,0,0,5
St. Lawrence,Oswegatchie 3,Attorney General,,LBT,Christopher B. Garvey,1,0,0,0,1
St. Lawrence,Oswegatchie 3,Attorney General,,REF,Nancy B. Sliwa,0,0,0,0,0
St. Lawrence,Oswegatchie 3,Attorney General,,REP,Keith Wofford,135,12,0,1,148
St. Lawrence,Oswegatchie 3,Attorney General,,WOR,Letitia A. James,2,0,0,0,2
St. Lawrence,Parishville 1,Attorney General,,CON,Keith Wofford,17,0,0,0,17
St. Lawrence,Parishville 1,Attorney General,,DEM,Letitia A. James,82,4,0,0,86
St. Lawrence,Parishville 1,Attorney General,,GRE,Michael Sussman,4,1,0,0,5
St. Lawrence,Parishville 1,Attorney General,,IND,Letitia A. James,3,0,0,0,3
St. Lawrence,Parishville 1,Attorney General,,LBT,Christopher B. Garvey,4,0,0,0,4
St. Lawrence,Parishville 1,Attorney General,,REF,Nancy B. Sliwa,3,1,0,0,4
St. Lawrence,Parishville 1,Attorney General,,REP,Keith Wofford,172,13,0,1,186
St. Lawrence,Parishville 1,Attorney General,,WOR,Letitia A. James,5,0,0,0,5
St. Lawrence,Parishville 2,Attorney General,,CON,Keith Wofford,22,0,0,1,23
St. Lawrence,Parishville 2,Attorney General,,DEM,Letitia A. James,146,16,0,2,164
St. Lawrence,Parishville 2,Attorney General,,GRE,Michael Sussman,2,0,0,0,2
St. Lawrence,Parishville 2,Attorney General,,IND,Letitia A. James,10,0,0,0,10
St. Lawrence,Parishville 2,Attorney General,,LBT,Christopher B. Garvey,2,0,0,0,2
St. Lawrence,Parishville 2,Attorney General,,REF,Nancy B. Sliwa,2,0,0,0,2
St. Lawrence,Parishville 2,Attorney General,,REP,Keith Wofford,214,10,0,2,226
St. Lawrence,Parishville 2,Attorney General,,WOR,Letitia A. James,4,0,0,0,4
St. Lawrence,Piercefield 1,Attorney General,,CON,Keith Wofford,3,0,0,0,3
St. Lawrence,Piercefield 1,Attorney General,,DEM,Letitia A. James,47,4,0,0,51
St. Lawrence,Piercefield 1,Attorney General,,GRE,Michael Sussman,1,0,0,0,1
St. Lawrence,Piercefield 1,Attorney General,,IND,Letitia A. James,1,0,0,0,1
St. Lawrence,Piercefield 1,Attorney General,,LBT,Christopher B. Garvey,0,0,0,0,0
St. Lawrence,Piercefield 1,Attorney General,,REF,Nancy B. Sliwa,0,0,0,0,0
St. Lawrence,Piercefield 1,Attorney General,,REP,Keith Wofford,46,6,0,0,52
St. Lawrence,Piercefield 1,Attorney General,,WOR,Letitia A. James,2,0,0,0,2
St. Lawrence,Pierrepont 1,Attorney General,,CON,Keith Wofford,24,0,1,0,25
St. Lawrence,Pierrepont 1,Attorney General,,DEM,Letitia A. James,203,29,1,2,235
St. Lawrence,Pierrepont 1,Attorney General,,GRE,Michael Sussman,7,1,0,0,8
St. Lawrence,Pierrepont 1,Attorney General,,IND,Letitia A. James,6,1,0,0,7
St. Lawrence,Pierrepont 1,Attorney General,,LBT,Christopher B. Garvey,8,0,0,0,8
St. Lawrence,Pierrepont 1,Attorney General,,REF,Nancy B. Sliwa,1,0,0,0,1
St. Lawrence,Pierrepont 1,Attorney General,,REP,Keith Wofford,256,9,0,1,266
St. Lawrence,Pierrepont 1,Attorney General,,WOR,Letitia A. James,11,0,0,0,11
St. Lawrence,Pierrepont 2,Attorney General,,CON,Keith Wofford,20,1,0,1,22
St. Lawrence,Pierrepont 2,Attorney General,,DEM,Letitia A. James,190,21,0,4,215
St. Lawrence,Pierrepont 2,Attorney General,,GRE,Michael Sussman,5,0,0,0,5
St. Lawrence,Pierrepont 2,Attorney General,,IND,Letitia A. James,11,0,0,0,11
St. Lawrence,Pierrepont 2,Attorney General,,LBT,Christopher B. Garvey,6,0,0,0,6
St. Lawrence,Pierrepont 2,Attorney General,,REF,Nancy B. Sliwa,3,0,0,0,3
St. Lawrence,Pierrepont 2,Attorney General,,REP,Keith Wofford,185,8,0,2,195
St. Lawrence,Pierrepont 2,Attorney General,,WOR,Letitia A. James,13,0,0,0,13
St. Lawrence,Pitcairn 1,Attorney General,,CON,Keith Wofford,13,0,0,0,13
St. Lawrence,Pitcairn 1,Attorney General,,DEM,Letitia A. James,60,3,0,0,63
St. Lawrence,Pitcairn 1,Attorney General,,GRE,Michael Sussman,2,0,0,0,2
St. Lawrence,Pitcairn 1,Attorney General,,IND,Letitia A. James,3,0,0,0,3
St. Lawrence,Pitcairn 1,Attorney General,,LBT,Christopher B. Garvey,2,0,0,0,2
St. Lawrence,Pitcairn 1,Attorney General,,REF,Nancy B. Sliwa,0,0,0,0,0
St. Lawrence,Pitcairn 1,Attorney General,,REP,Keith Wofford,150,5,0,1,156
St. Lawrence,Pitcairn 1,Attorney General,,WOR,Letitia A. James,2,0,0,0,2
St. Lawrence,Potsdam 1,Attorney General,,CON,Keith Wofford,22,0,0,0,22
St. Lawrence,Potsdam 1,Attorney General,,DEM,Letitia A. James,255,22,0,2,279
St. Lawrence,Potsdam 1,Attorney General,,GRE,Michael Sussman,3,2,0,0,5
St. Lawrence,Potsdam 1,Attorney General,,IND,Letitia A. James,4,1,0,0,5
St. Lawrence,Potsdam 1,Attorney General,,LBT,Christopher B. Garvey,2,0,0,1,3
St. Lawrence,Potsdam 1,Attorney General,,REF,Nancy B. Sliwa,1,0,0,0,1
St. Lawrence,Potsdam 1,Attorney General,,REP,Keith Wofford,192,9,0,1,202
St. Lawrence,Potsdam 1,Attorney General,,WOR,Letitia A. James,16,0,0,0,16
St. Lawrence,Potsdam 2,Attorney General,,CON,Keith Wofford,19,1,0,0,20
St. Lawrence,Potsdam 2,Attorney General,,DEM,Letitia A. James,180,9,1,0,190
St. Lawrence,Potsdam 2,Attorney General,,GRE,Michael Sussman,2,0,0,0,2
St. Lawrence,Potsdam 2,Attorney General,,IND,Letitia A. James,12,0,0,0,12
St. Lawrence,Potsdam 2,Attorney General,,LBT,Christopher B. Garvey,2,0,0,1,3
St. Lawrence,Potsdam 2,Attorney General,,REF,Nancy B. Sliwa,4,0,0,0,4
St. Lawrence,Potsdam 2,Attorney General,,REP,Keith Wofford,173,13,2,1,189
St. Lawrence,Potsdam 2,Attorney General,,WOR,Letitia A. James,7,0,0,0,7
St. Lawrence,Potsdam 3,Attorney General,,CON,Keith Wofford,21,1,0,0,22
St. Lawrence,Potsdam 3,Attorney General,,DEM,Letitia A. James,137,11,1,1,150
St. Lawrence,Potsdam 3,Attorney General,,GRE,Michael Sussman,2,0,0,0,2
St. Lawrence,Potsdam 3,Attorney General,,IND,Letitia A. James,2,0,0,0,2
St. Lawrence,Potsdam 3,Attorney General,,LBT,Christopher B. Garvey,9,0,0,0,9
St. Lawrence,Potsdam 3,Attorney General,,REF,Nancy B. Sliwa,0,1,0,0,1
St. Lawrence,Potsdam 3,Attorney General,,REP,Keith Wofford,160,4,2,0,166
St. Lawrence,Potsdam 3,Attorney General,,WOR,Letitia A. James,3,0,0,0,3
St. Lawrence,Potsdam 4,Attorney General,,CON,Keith Wofford,14,1,0,0,15
St. Lawrence,Potsdam 4,Attorney General,,DEM,Letitia A. James,244,23,0,1,268
St. Lawrence,Potsdam 4,Attorney General,,GRE,Michael Sussman,6,0,0,0,6
St. Lawrence,Potsdam 4,Attorney General,,IND,Letitia A. James,10,1,0,0,11
St. Lawrence,Potsdam 4,Attorney General,,LBT,Christopher B. Garvey,8,1,0,0,9
St. Lawrence,Potsdam 4,Attorney General,,REF,Nancy B. Sliwa,1,0,0,0,1
St. Lawrence,Potsdam 4,Attorney General,,REP,Keith Wofford,160,9,0,5,174
St. Lawrence,Potsdam 4,Attorney General,,WOR,Letitia A. James,11,0,0,0,11
St. Lawrence,Potsdam 5,Attorney General,,CON,Keith Wofford,10,2,0,0,12
St. Lawrence,Potsdam 5,Attorney General,,DEM,Letitia A. James,296,25,0,12,333
St. Lawrence,Potsdam 5,Attorney General,,GRE,Michael Sussman,6,0,0,0,6
St. Lawrence,Potsdam 5,Attorney General,,IND,Letitia A. James,4,0,0,0,4
St. Lawrence,Potsdam 5,Attorney General,,LBT,Christopher B. Garvey,2,0,0,0,2
St. Lawrence,Potsdam 5,Attorney General,,REF,Nancy B. Sliwa,2,0,0,0,2
St. Lawrence,Potsdam 5,Attorney General,,REP,Keith Wofford,101,6,0,1,108
St. Lawrence,Potsdam 5,Attorney General,,WOR,Letitia A. James,17,2,0,0,19
St. Lawrence,Potsdam 6,Attorney General,,CON,Keith Wofford,10,0,0,0,10
St. Lawrence,Potsdam 6,Attorney General,,DEM,Letitia A. James,260,25,0,3,288
St. Lawrence,Potsdam 6,Attorney General,,GRE,Michael Sussman,12,0,0,1,13
St. Lawrence,Potsdam 6,Attorney General,,IND,Letitia A. James,10,0,0,1,11
St. Lawrence,Potsdam 6,Attorney General,,LBT,Christopher B. Garvey,5,0,0,0,5
St. Lawrence,Potsdam 6,Attorney General,,REF,Nancy B. Sliwa,2,0,0,0,2
St. Lawrence,Potsdam 6,Attorney General,,REP,Keith Wofford,73,2,0,0,75
St. Lawrence,Potsdam 6,Attorney General,,WOR,Letitia A. James,11,1,0,0,12
St. Lawrence,Potsdam 7,Attorney General,,CON,Keith Wofford,9,1,0,0,10
St. Lawrence,Potsdam 7,Attorney General,,DEM,Letitia A. James,289,24,0,4,317
St. Lawrence,Potsdam 7,Attorney General,,GRE,Michael Sussman,3,1,0,0,4
St. Lawrence,Potsdam 7,Attorney General,,IND,Letitia A. James,5,0,0,1,6
St. Lawrence,Potsdam 7,Attorney General,,LBT,Christopher B. Garvey,4,0,0,0,4
St. Lawrence,Potsdam 7,Attorney General,,REF,Nancy B. Sliwa,0,0,0,0,0
St. Lawrence,Potsdam 7,Attorney General,,REP,Keith Wofford,65,4,0,1,70
St. Lawrence,Potsdam 7,Attorney General,,WOR,Letitia A. James,11,1,0,0,12
St. Lawrence,Potsdam 8,Attorney General,,CON,Keith Wofford,20,0,0,0,20
St. Lawrence,Potsdam 8,Attorney General,,DEM,Letitia A. James,272,18,0,2,292
St. Lawrence,Potsdam 8,Attorney General,,GRE,Michael Sussman,13,2,0,0,15
St. Lawrence,Potsdam 8,Attorney General,,IND,Letitia A. James,9,0,0,0,9
St. Lawrence,Potsdam 8,Attorney General,,LBT,Christopher B. Garvey,5,0,0,0,5
St. Lawrence,Potsdam 8,Attorney General,,REF,Nancy B. Sliwa,4,1,0,0,5
St. Lawrence,Potsdam 8,Attorney General,,REP,Keith Wofford,186,13,1,0,200
St. Lawrence,Potsdam 8,Attorney General,,WOR,Letitia A. James,11,1,0,0,12
St. Lawrence,Rossie 1,Attorney General,,CON,Keith Wofford,11,0,0,0,11
St. Lawrence,Rossie 1,Attorney General,,DEM,Letitia A. James,68,7,1,0,76
St. Lawrence,Rossie 1,Attorney General,,GRE,Michael Sussman,3,1,0,0,4
St. Lawrence,Rossie 1,Attorney General,,IND,Letitia A. James,3,0,0,0,3
St. Lawrence,Rossie 1,Attorney General,,LBT,Christopher B. Garvey,3,1,0,0,4
St. Lawrence,Rossie 1,Attorney General,,REF,Nancy B. Sliwa,1,0,0,0,1
St. Lawrence,Rossie 1,Attorney General,,REP,Keith Wofford,108,2,0,0,110
St. Lawrence,Rossie 1,Attorney General,,WOR,Letitia A. James,2,0,0,0,2
St. Lawrence,Russell 1,Attorney General,,CON,Keith Wofford,24,0,0,0,24
St. Lawrence,Russell 1,Attorney General,,DEM,Letitia A. James,167,10,0,1,178
St. Lawrence,Russell 1,Attorney General,,GRE,Michael Sussman,6,0,0,0,6
St. Lawrence,Russell 1,Attorney General,,IND,Letitia A. James,10,0,0,0,10
St. Lawrence,Russell 1,Attorney General,,LBT,Christopher B. Garvey,6,0,0,0,6
St. Lawrence,Russell 1,Attorney General,,REF,Nancy B. Sliwa,1,1,0,0,2
St. Lawrence,Russell 1,Attorney General,,REP,Keith Wofford,295,8,0,0,303
St. Lawrence,Russell 1,Attorney General,,WOR,Letitia A. James,8,0,0,1,9
St. Lawrence,Stockholm 1,Attorney General,,CON,Keith Wofford,22,0,0,0,22
St. Lawrence,Stockholm 1,Attorney General,,DEM,Letitia A. James,208,8,0,0,216
St. Lawrence,Stockholm 1,Attorney General,,GRE,Michael Sussman,8,0,0,0,8
St. Lawrence,Stockholm 1,Attorney General,,IND,Letitia A. James,10,0,0,0,10
St. Lawrence,Stockholm 1,Attorney General,,LBT,Christopher B. Garvey,7,0,0,1,8
St. Lawrence,Stockholm 1,Attorney General,,REF,Nancy B. Sliwa,2,0,0,0,2
St. Lawrence,Stockholm 1,Attorney General,,REP,Keith Wofford,198,7,0,1,206
St. Lawrence,Stockholm 1,Attorney General,,WOR,Letitia A. James,9,0,0,0,9
St. Lawrence,Stockholm 2,Attorney General,,CON,Keith Wofford,25,0,0,0,25
St. Lawrence,Stockholm 2,Attorney General,,DEM,Letitia A. James,154,7,0,0,161
St. Lawrence,Stockholm 2,Attorney General,,GRE,Michael Sussman,5,0,0,0,5
St. Lawrence,Stockholm 2,Attorney General,,IND,Letitia A. James,4,0,0,0,4
St. Lawrence,Stockholm 2,Attorney General,,LBT,Christopher B. Garvey,6,0,0,0,6
St. Lawrence,Stockholm 2,Attorney General,,REF,Nancy B. Sliwa,5,0,0,0,5
St. Lawrence,Stockholm 2,Attorney General,,REP,Keith Wofford,192,13,0,1,206
St. Lawrence,Stockholm 2,Attorney General,,WOR,Letitia A. James,2,0,0,0,2
St. Lawrence,Stockholm 3,Attorney General,,CON,Keith Wofford,7,0,0,0,7
St. Lawrence,Stockholm 3,Attorney General,,DEM,Letitia A. James,79,4,0,3,86
St. Lawrence,Stockholm 3,Attorney General,,GRE,Michael Sussman,3,0,0,0,3
St. Lawrence,Stockholm 3,Attorney General,,IND,Letitia A. James,3,0,0,0,3
St. Lawrence,Stockholm 3,Attorney General,,LBT,Christopher B. Garvey,6,0,0,0,6
St. Lawrence,Stockholm 3,Attorney General,,REF,Nancy B. Sliwa,2,0,0,0,2
St. Lawrence,Stockholm 3,Attorney General,,REP,Keith Wofford,130,4,0,0,134
St. Lawrence,Stockholm 3,Attorney General,,WOR,Letitia A. James,4,0,0,0,4
St. Lawrence,Waddington 1,Attorney General,,CON,Keith Wofford,17,1,0,0,18
St. Lawrence,Waddington 1,Attorney General,,DEM,Letitia A. James,151,29,1,0,181
St. Lawrence,Waddington 1,Attorney General,,GRE,Michael Sussman,5,1,0,0,6
St. Lawrence,Waddington 1,Attorney General,,IND,Letitia A. James,8,1,0,1,10
St. Lawrence,Waddington 1,Attorney General,,LBT,Christopher B. Garvey,5,2,0,0,7
St. Lawrence,Waddington 1,Attorney General,,REF,Nancy B. Sliwa,2,0,0,0,2
St. Lawrence,Waddington 1,Attorney General,,REP,Keith Wofford,166,13,0,1,180
St. Lawrence,Waddington 1,Attorney General,,WOR,Letitia A. James,9,0,0,0,9
St. Lawrence,Waddington 2,Attorney General,,CON,Keith Wofford,26,0,0,0,26
St. Lawrence,Waddington 2,Attorney General,,DEM,Letitia A. James,158,10,0,1,169
St. Lawrence,Waddington 2,Attorney General,,GRE,Michael Sussman,4,0,0,0,4
St. Lawrence,Waddington 2,Attorney General,,IND,Letitia A. James,6,1,0,0,7
St. Lawrence,Waddington 2,Attorney General,,LBT,Christopher B. Garvey,5,0,0,0,5
St. Lawrence,Waddington 2,Attorney General,,REF,Nancy B. Sliwa,3,0,0,0,3
St. Lawrence,Waddington 2,Attorney General,,REP,Keith Wofford,242,14,0,2,258
St. Lawrence,Waddington 2,Attorney General,,WOR,Letitia A. James,12,1,0,1,14
St. Lawrence,Brasher 1,U.S. House,21,CON,Elise M. Stefanik,16,0,0,0,16
St. Lawrence,Brasher 1,U.S. House,21,DEM,Tedra L. Cobb,85,5,0,0,90
St. Lawrence,Brasher 1,U.S. House,21,GRE,Lynn Kahn,8,0,0,0,8
St. Lawrence,Brasher 1,U.S. House,21,IND,Elise M. Stefanik,8,0,0,0,8
St. Lawrence,Brasher 1,U.S. House,21,REF,Elise M. Stefanik,2,0,0,0,2
St. Lawrence,Brasher 1,U.S. House,21,REP,Elise M. Stefanik,146,2,0,0,148
St. Lawrence,Brasher 1,U.S. House,21,WEP,Tedra L. Cobb,1,0,0,0,1
St. Lawrence,Brasher 1,U.S. House,21,WOR,Tedra L. Cobb,4,0,0,0,4
St. Lawrence,Brasher 2,U.S. House,21,CON,Elise M. Stefanik,15,1,0,0,16
St. Lawrence,Brasher 2,U.S. House,21,DEM,Tedra L. Cobb,172,18,0,2,192
St. Lawrence,Brasher 2,U.S. House,21,GRE,Lynn Kahn,9,0,0,0,9
St. Lawrence,Brasher 2,U.S. House,21,IND,Elise M. Stefanik,10,1,0,1,12
St. Lawrence,Brasher 2,U.S. House,21,REF,Elise M. Stefanik,2,0,0,0,2
St. Lawrence,Brasher 2,U.S. House,21,REP,Elise M. Stefanik,192,5,0,0,197
St. Lawrence,Brasher 2,U.S. House,21,WEP,Tedra L. Cobb,5,1,0,0,6
St. Lawrence,Brasher 2,U.S. House,21,WOR,Tedra L. Cobb,11,0,0,0,11
St. Lawrence,Canton 1,U.S. House,21,CON,Elise M. Stefanik,18,0,0,0,18
St. Lawrence,Canton 1,U.S. House,21,DEM,Tedra L. Cobb,398,43,12,5,458
St. Lawrence,Canton 1,U.S. House,21,GRE,Lynn Kahn,5,0,0,0,5
St. Lawrence,Canton 1,U.S. House,21,IND,Elise M. Stefanik,4,0,0,0,4
St. Lawrence,Canton 1,U.S. House,21,REF,Elise M. Stefanik,0,0,0,0,0
St. Lawrence,Canton 1,U.S. House,21,REP,Elise M. Stefanik,89,10,0,0,99
St. Lawrence,Canton 1,U.S. House,21,WEP,Tedra L. Cobb,10,1,0,0,11
St. Lawrence,Canton 1,U.S. House,21,WOR,Tedra L. Cobb,19,1,0,0,20
St. Lawrence,Canton 2,U.S. House,21,CON,Elise M. Stefanik,25,0,0,0,25
St. Lawrence,Canton 2,U.S. House,21,DEM,Tedra L. Cobb,256,20,5,1,282
St. Lawrence,Canton 2,U.S. House,21,GRE,Lynn Kahn,9,0,0,0,9
St. Lawrence,Canton 2,U.S. House,21,IND,Elise M. Stefanik,8,1,0,0,9
St. Lawrence,Canton 2,U.S. House,21,REF,Elise M. Stefanik,0,0,0,0,0
St. Lawrence,Canton 2,U.S. House,21,REP,Elise M. Stefanik,183,12,1,2,198
St. Lawrence,Canton 2,U.S. House,21,WEP,Tedra L. Cobb,4,0,0,0,4
St. Lawrence,Canton 2,U.S. House,21,WOR,Tedra L. Cobb,15,1,0,0,16
St. Lawrence,Canton 3,U.S. House,21,CON,Elise M. Stefanik,11,1,0,0,12
St. Lawrence,Canton 3,U.S. House,21,DEM,Tedra L. Cobb,275,30,0,3,308
St. Lawrence,Canton 3,U.S. House,21,GRE,Lynn Kahn,6,1,0,0,7
St. Lawrence,Canton 3,U.S. House,21,IND,Elise M. Stefanik,3,1,0,0,4
St. Lawrence,Canton 3,U.S. House,21,REF,Elise M. Stefanik,2,0,0,0,2
St. Lawrence,Canton 3,U.S. House,21,REP,Elise M. Stefanik,90,18,0,2,110
St. Lawrence,Canton 3,U.S. House,21,WEP,Tedra L. Cobb,7,2,1,0,10
St. Lawrence,Canton 3,U.S. House,21,WOR,Tedra L. Cobb,17,2,0,0,19
St. Lawrence,Canton 4,U.S. House,21,CON,Elise M. Stefanik,5,0,0,0,5
St. Lawrence,Canton 4,U.S. House,21,DEM,Tedra L. Cobb,45,0,1,0,46
St. Lawrence,Canton 4,U.S. House,21,GRE,Lynn Kahn,3,0,0,0,3
St. Lawrence,Canton 4,U.S. House,21,IND,Elise M. Stefanik,0,0,0,0,0
St. Lawrence,Canton 4,U.S. House,21,REF,Elise M. Stefanik,1,0,0,0,1
St. Lawrence,Canton 4,U.S. House,21,REP,Elise M. Stefanik,52,2,0,0,54
St. Lawrence,Canton 4,U.S. House,21,WEP,Tedra L. Cobb,0,0,0,0,0
St. Lawrence,Canton 4,U.S. House,21,WOR,Tedra L. Cobb,2,0,0,0,2
St. Lawrence,Canton 5,U.S. House,21,CON,Elise M. Stefanik,13,0,0,0,13
St. Lawrence,Canton 5,U.S. House,21,DEM,Tedra L. Cobb,109,1,2,2,114
St. Lawrence,Canton 5,U.S. House,21,GRE,Lynn Kahn,7,0,0,0,7
St. Lawrence,Canton 5,U.S. House,21,IND,Elise M. Stefanik,1,0,0,0,1
St. Lawrence,Canton 5,U.S. House,21,REF,Elise M. Stefanik,0,0,0,0,0
St. Lawrence,Canton 5,U.S. House,21,REP,Elise M. Stefanik,116,10,0,1,127
St. Lawrence,Canton 5,U.S. House,21,WEP,Tedra L. Cobb,5,0,0,1,6
St. Lawrence,Canton 5,U.S. House,21,WOR,Tedra L. Cobb,8,1,0,0,9
St. Lawrence,Canton 6,U.S. House,21,CON,Elise M. Stefanik,20,1,0,0,21
St. Lawrence,Canton 6,U.S. House,21,DEM,Tedra L. Cobb,292,12,4,6,314
St. Lawrence,Canton 6,U.S. House,21,GRE,Lynn Kahn,4,0,0,1,5
St. Lawrence,Canton 6,U.S. House,21,IND,Elise M. Stefanik,3,0,0,0,3
St. Lawrence,Canton 6,U.S. House,21,REF,Elise M. Stefanik,1,0,0,0,1
St. Lawrence,Canton 6,U.S. House,21,REP,Elise M. Stefanik,125,10,0,2,137
St. Lawrence,Canton 6,U.S. House,21,WEP,Tedra L. Cobb,0,0,1,0,1
St. Lawrence,Canton 6,U.S. House,21,WOR,Tedra L. Cobb,12,0,0,0,12
St. Lawrence,Canton 7,U.S. House,21,CON,Elise M. Stefanik,6,1,0,0,7
St. Lawrence,Canton 7,U.S. House,21,DEM,Tedra L. Cobb,68,9,1,1,79
