county,office,district,precinct,candidate,party,votes
Niagara,Attorney General,,Niagara Falls 004 : 005,Michael Sussman,GRE,1
Niagara,Attorney General,,Niagara Falls 004 : 006,Michael Sussman,GRE,3
Niagara,Attorney General,,Niagara Falls 004 : 007,Michael Sussman,GRE,3
Niagara,Attorney General,,Niagara Falls 004 : 008,Michael Sussman,GRE,0
Niagara,Attorney General,,Niagara Falls 005 : 001,Michael Sussman,GRE,4
Niagara,Attorney General,,Niagara Falls 005 : 002,Michael Sussman,GRE,8
Niagara,Attorney General,,Niagara Falls 005 : 003,Michael Sussman,GRE,4
Niagara,Attorney General,,Niagara Falls 005 : 004,Michael Sussman,GRE,5
Niagara,Attorney General,,Niagara Falls 005 : 005,Michael Sussman,GRE,0
Niagara,Attorney General,,Niagara Falls 005 : 006,Michael Sussman,GRE,4
Niagara,Attorney General,,Niagara Falls 006 : 001,Michael Sussman,GRE,4
Niagara,Attorney General,,Niagara Falls 006 : 002,Michael Sussman,GRE,3
Niagara,Attorney General,,Niagara Falls 006 : 003,Michael Sussman,GRE,4
Niagara,Attorney General,,Niagara Falls 006 : 004,Michael Sussman,GRE,4
Niagara,Attorney General,,Niagara Falls 006 : 005,Michael Sussman,GRE,3
Niagara,Attorney General,,Niagara Falls 006 : 006,Michael Sussman,GRE,3
Niagara,Attorney General,,Niagara Falls 006 : 007,Michael Sussman,GRE,3
Niagara,Attorney General,,Niagara Falls 006 : 008,Michael Sussman,GRE,3
Niagara,Attorney General,,Niagara Falls 006 : 009,Michael Sussman,GRE,1
Niagara,Attorney General,,Niagara Falls 006 : 010,Michael Sussman,GRE,7
Niagara,Attorney General,,Pendleton 000 : 001,Michael Sussman,GRE,5
Niagara,Attorney General,,Pendleton 000 : 002,Michael Sussman,GRE,5
Niagara,Attorney General,,Pendleton 000 : 003,Michael Sussman,GRE,3
Niagara,Attorney General,,Pendleton 000 : 004,Michael Sussman,GRE,5
Niagara,Attorney General,,Pendleton 000 : 005,Michael Sussman,GRE,0
Niagara,Attorney General,,Pendleton 000 : 006,Michael Sussman,GRE,4
Niagara,Attorney General,,Porter 000 : 001,Michael Sussman,GRE,4
Niagara,Attorney General,,Porter 000 : 002,Michael Sussman,GRE,6
Niagara,Attorney General,,Porter 000 : 003,Michael Sussman,GRE,1
Niagara,Attorney General,,Porter 000 : 004,Michael Sussman,GRE,2
Niagara,Attorney General,,Porter 000 : 005,Michael Sussman,GRE,6
Niagara,Attorney General,,Porter 000 : 006,Michael Sussman,GRE,4
Niagara,Attorney General,,Royalton 000 : 001,Michael Sussman,GRE,4
Niagara,Attorney General,,Royalton 000 : 002,Michael Sussman,GRE,9
Niagara,Attorney General,,Royalton 000 : 003,Michael Sussman,GRE,3
Niagara,Attorney General,,Royalton 000 : 004,Michael Sussman,GRE,1
Niagara,Attorney General,,Royalton 000 : 005,Michael Sussman,GRE,4
Niagara,Attorney General,,Royalton 000 : 006,Michael Sussman,GRE,2
Niagara,Attorney General,,Somerset 000 : 001,Michael Sussman,GRE,10
Niagara,Attorney General,,Somerset 000 : 002,Michael Sussman,GRE,11
Niagara,Attorney General,,Town of Lockport 000 : 001,Michael Sussman,GRE,6
Niagara,Attorney General,,Town of Lockport 000 : 002,Michael Sussman,GRE,5
Niagara,Attorney General,,Town of Lockport 000 : 003,Michael Sussman,GRE,6
Niagara,Attorney General,,Town of Lockport 000 : 004,Michael Sussman,GRE,10
Niagara,Attorney General,,Town of Lockport 000 : 005,Michael Sussman,GRE,5
Niagara,Attorney General,,Town of Lockport 000 : 006,Michael Sussman,GRE,6
Niagara,Attorney General,,Town of Lockport 000 : 007,Michael Sussman,GRE,2
Niagara,Attorney General,,Town of Lockport 000 : 008,Michael Sussman,GRE,2
Niagara,Attorney General,,Town of Lockport 000 : 009,Michael Sussman,GRE,7
Niagara,Attorney General,,Town of Lockport 000 : 010,Michael Sussman,GRE,1
Niagara,Attorney General,,Town of Lockport 000 : 011,Michael Sussman,GRE,1
Niagara,Attorney General,,Town of Lockport 000 : 012,Michael Sussman,GRE,1
Niagara,Attorney General,,Town of Lockport 000 : 013,Michael Sussman,GRE,5
Niagara,Attorney General,,Town of Lockport 000 : 014,Michael Sussman,GRE,2
Niagara,Attorney General,,Town of Lockport 000 : 015,Michael Sussman,GRE,1
Niagara,Attorney General,,Town of Lockport 000 : 016,Michael Sussman,GRE,3
Niagara,Attorney General,,Town of Niagara 000 : 001,Michael Sussman,GRE,1
Niagara,Attorney General,,Town of Niagara 000 : 002,Michael Sussman,GRE,2
Niagara,Attorney General,,Town of Niagara 000 : 003,Michael Sussman,GRE,1
Niagara,Attorney General,,Town of Niagara 000 : 004,Michael Sussman,GRE,4
Niagara,Attorney General,,Town of Niagara 000 : 005,Michael Sussman,GRE,3
Niagara,Attorney General,,Town of Niagara 000 : 006,Michael Sussman,GRE,1
Niagara,Attorney General,,Town of Niagara 000 : 007,Michael Sussman,GRE,2
Niagara,Attorney General,,Wheatfield 000 : 001,Michael Sussman,GRE,0
Niagara,Attorney General,,Wheatfield 000 : 002,Michael Sussman,GRE,4
Niagara,Attorney General,,Wheatfield 000 : 003,Michael Sussman,GRE,3
Niagara,Attorney General,,Wheatfield 000 : 004,Michael Sussman,GRE,3
Niagara,Attorney General,,Wheatfield 000 : 005,Michael Sussman,GRE,3
Niagara,Attorney General,,Wheatfield 000 : 006,Michael Sussman,GRE,2
Niagara,Attorney General,,Wheatfield 000 : 007,Michael Sussman,GRE,1
Niagara,Attorney General,,Wheatfield 000 : 008,Michael Sussman,GRE,2
Niagara,Attorney General,,Wheatfield 000 : 009,Michael Sussman,GRE,3
Niagara,Attorney General,,Wheatfield 000 : 010,Michael Sussman,GRE,3
Niagara,Attorney General,,Wheatfield 000 : 011,Michael Sussman,GRE,5
Niagara,Attorney General,,Wheatfield 000 : 012,Michael Sussman,GRE,5
Niagara,Attorney General,,Wheatfield 000 : 013,Michael Sussman,GRE,4
Niagara,Attorney General,,Wheatfield 000 : 014,Michael Sussman,GRE,7
Niagara,Attorney General,,Wilson 000 : 001,Michael Sussman,GRE,4
Niagara,Attorney General,,Wilson 000 : 002,Michael Sussman,GRE,2
Niagara,Attorney General,,Wilson 000 : 003,Michael Sussman,GRE,4
Niagara,Attorney General,,Wilson 000 : 004,Michael Sussman,GRE,4
Niagara,Attorney General,,Wilson 000 : 005,Michael Sussman,GRE,3
Niagara,Attorney General,,Cambria 000  : 001,Letitia A. James,WOR,5
Niagara,Attorney General,,Cambria 000  : 002,Letitia A. James,WOR,9
Niagara,Attorney General,,Cambria 000  : 003,Letitia A. James,WOR,13
Niagara,Attorney General,,Cambria 000  : 004,Letitia A. James,WOR,11
Niagara,Attorney General,,City of Lockport 001 : 001,Letitia A. James,WOR,7
Niagara,Attorney General,,City of Lockport 001 : 002,Letitia A. James,WOR,8
Niagara,Attorney General,,City of Lockport 001 : 003,Letitia A. James,WOR,12
Niagara,Attorney General,,City of Lockport 001 : 004,Letitia A. James,WOR,2
Niagara,Attorney General,,City of Lockport 002 : 001,Letitia A. James,WOR,7
Niagara,Attorney General,,City of Lockport 002 : 002,Letitia A. James,WOR,9
Niagara,Attorney General,,City of Lockport 002 : 003,Letitia A. James,WOR,5
Niagara,Attorney General,,City of Lockport 002 : 004,Letitia A. James,WOR,13
Niagara,Attorney General,,City of Lockport 003 : 001,Letitia A. James,WOR,12
Niagara,Attorney General,,City of Lockport 003 : 002,Letitia A. James,WOR,6
Niagara,Attorney General,,City of Lockport 003 : 003,Letitia A. James,WOR,5
Niagara,Attorney General,,City of Lockport 004 : 001,Letitia A. James,WOR,9
Niagara,Attorney General,,City of Lockport 004 : 002,Letitia A. James,WOR,6
Niagara,Attorney General,,City of Lockport 004 : 003,Letitia A. James,WOR,14
Niagara,Attorney General,,City of Lockport 004 : 004,Letitia A. James,WOR,5
Niagara,Attorney General,,City of Lockport 005 : 001,Letitia A. James,WOR,11
Niagara,Attorney General,,City of Lockport 005 : 002,Letitia A. James,WOR,4
Niagara,Attorney General,,City of Lockport 005 : 003,Letitia A. James,WOR,10
Niagara,Attorney General,,City of Lockport 005 : 004,Letitia A. James,WOR,10
Niagara,Attorney General,,Hartland 000 : 001,Letitia A. James,WOR,5
Niagara,Attorney General,,Hartland 000 : 002,Letitia A. James,WOR,11
Niagara,Attorney General,,Hartland 000 : 003,Letitia A. James,WOR,3
Niagara,Attorney General,,Lewiston 000 : 001,Letitia A. James,WOR,8
Niagara,Attorney General,,Lewiston 000 : 002,Letitia A. James,WOR,5
Niagara,Attorney General,,Lewiston 000 : 003,Letitia A. James,WOR,5
Niagara,Attorney General,,Lewiston 000 : 004,Letitia A. James,WOR,11
Niagara,Attorney General,,Lewiston 000 : 005,Letitia A. James,WOR,5
Niagara,Attorney General,,Lewiston 000 : 006,Letitia A. James,WOR,9
Niagara,Attorney General,,Lewiston 000 : 007,Letitia A. James,WOR,4
Niagara,Attorney General,,Lewiston 000 : 008,Letitia A. James,WOR,3
Niagara,Attorney General,,Lewiston 000 : 009,Letitia A. James,WOR,6
Niagara,Attorney General,,Lewiston 000 : 010,Letitia A. James,WOR,6
Niagara,Attorney General,,Lewiston 000 : 011,Letitia A. James,WOR,7
Niagara,Attorney General,,Lewiston 000 : 012,Letitia A. James,WOR,5
Niagara,Attorney General,,Lewiston 000 : 013,Letitia A. James,WOR,4
Niagara,Attorney General,,Lewiston 000 : 014,Letitia A. James,WOR,4
Niagara,Attorney General,,N Tonawanda 001 : 001,Letitia A. James,WOR,3
Niagara,Attorney General,,N Tonawanda 001 : 002,Letitia A. James,WOR,4
Niagara,Attorney General,,N Tonawanda 001 : 003,Letitia A. James,WOR,3
Niagara,Attorney General,,N Tonawanda 001 : 004,Letitia A. James,WOR,12
Niagara,Attorney General,,N Tonawanda 001 : 005,Letitia A. James,WOR,5
Niagara,Attorney General,,N Tonawanda 001 : 006,Letitia A. James,WOR,3
Niagara,Attorney General,,N Tonawanda 001 : 007,Letitia A. James,WOR,4
Niagara,Attorney General,,N Tonawanda 001 : 008,Letitia A. James,WOR,3
Niagara,Attorney General,,N Tonawanda 001 : 009,Letitia A. James,WOR,8
Niagara,Attorney General,,N Tonawanda 001 : 010,Letitia A. James,WOR,9
Niagara,Attorney General,,N Tonawanda 002 : 001,Letitia A. James,WOR,3
Niagara,Attorney General,,N Tonawanda 002 : 002,Letitia A. James,WOR,1
Niagara,Attorney General,,N Tonawanda 002 : 003,Letitia A. James,WOR,7
Niagara,Attorney General,,N Tonawanda 002 : 004,Letitia A. James,WOR,5
Niagara,Attorney General,,N Tonawanda 002 : 005,Letitia A. James,WOR,10
Niagara,Attorney General,,N Tonawanda 002 : 006,Letitia A. James,WOR,1
Niagara,Attorney General,,N Tonawanda 002 : 007,Letitia A. James,WOR,9
Niagara,Attorney General,,N Tonawanda 002 : 008,Letitia A. James,WOR,3
Niagara,Attorney General,,N Tonawanda 002 : 009,Letitia A. James,WOR,5
Niagara,Attorney General,,N Tonawanda 002 : 010,Letitia A. James,WOR,3
Niagara,Attorney General,,N Tonawanda 002 : 011,Letitia A. James,WOR,10
Niagara,Attorney General,,N Tonawanda 003 : 001,Letitia A. James,WOR,3
Niagara,Attorney General,,N Tonawanda 003 : 002,Letitia A. James,WOR,3
Niagara,Attorney General,,N Tonawanda 003 : 003,Letitia A. James,WOR,2
Niagara,Attorney General,,N Tonawanda 003 : 004,Letitia A. James,WOR,6
Niagara,Attorney General,,N Tonawanda 003 : 005,Letitia A. James,WOR,7
Niagara,Attorney General,,N Tonawanda 003 : 006,Letitia A. James,WOR,10
Niagara,Attorney General,,N Tonawanda 003 : 007,Letitia A. James,WOR,4
Niagara,Attorney General,,N Tonawanda 003 : 008,Letitia A. James,WOR,5
Niagara,Attorney General,,N Tonawanda 003 : 009,Letitia A. James,WOR,5
Niagara,Attorney General,,N Tonawanda 003 : 010,Letitia A. James,WOR,6
Niagara,Attorney General,,N Tonawanda 003 : 011,Letitia A. James,WOR,5
Niagara,Attorney General,,N Tonawanda 003 : 012,Letitia A. James,WOR,10
Niagara,Attorney General,,Newfane 000 : 001,Letitia A. James,WOR,5
Niagara,Attorney General,,Newfane 000 : 002,Letitia A. James,WOR,7
Niagara,Attorney General,,Newfane 000 : 003,Letitia A. James,WOR,11
Niagara,Attorney General,,Newfane 000 : 004,Letitia A. James,WOR,14
Niagara,Attorney General,,Newfane 000 : 005,Letitia A. James,WOR,6
Niagara,Attorney General,,Newfane 000 : 006,Letitia A. James,WOR,6
Niagara,Attorney General,,Newfane 000 : 007,Letitia A. James,WOR,6
Niagara,Attorney General,,Newfane 000 : 008,Letitia A. James,WOR,2
Niagara,Attorney General,,Niagara Falls 003 : 001,Letitia A. James,WOR,8
Niagara,Attorney General,,Niagara Falls 003 : 002,Letitia A. James,WOR,5
Niagara,Attorney General,,Niagara Falls 003 : 003,Letitia A. James,WOR,3
Niagara,Attorney General,,Niagara Falls 003 : 004,Letitia A. James,WOR,4
Niagara,Attorney General,,Niagara Falls 003 : 005,Letitia A. James,WOR,3
Niagara,Attorney General,,Niagara Falls 003 : 006,Letitia A. James,WOR,11
Niagara,Attorney General,,Niagara Falls 003 : 007,Letitia A. James,WOR,7
Niagara,Attorney General,,Niagara Falls 003 : 008,Letitia A. James,WOR,7
Niagara,Attorney General,,Niagara Falls 003 : 009,Letitia A. James,WOR,2
Niagara,Attorney General,,Niagara Falls 003 : 010,Letitia A. James,WOR,3
Niagara,Attorney General,,Niagara Falls 003 : 011,Letitia A. James,WOR,0
Niagara,Attorney General,,Niagara Falls 003 : 012,Letitia A. James,WOR,1
Niagara,Attorney General,,Niagara Falls 003 : 013,Letitia A. James,WOR,0
Niagara,Attorney General,,Niagara Falls 004 : 001,Letitia A. James,WOR,3
Niagara,Attorney General,,Niagara Falls 004 : 002,Letitia A. James,WOR,4
Niagara,Attorney General,,Niagara Falls 004 : 003,Letitia A. James,WOR,7
Niagara,Attorney General,,Niagara Falls 004 : 004,Letitia A. James,WOR,7
Niagara,Attorney General,,Niagara Falls 004 : 005,Letitia A. James,WOR,9
Niagara,Attorney General,,Niagara Falls 004 : 006,Letitia A. James,WOR,4
Niagara,Attorney General,,Niagara Falls 004 : 007,Letitia A. James,WOR,5
Niagara,Attorney General,,Niagara Falls 004 : 008,Letitia A. James,WOR,4
Niagara,Attorney General,,Niagara Falls 005 : 001,Letitia A. James,WOR,10
Niagara,Attorney General,,Niagara Falls 005 : 002,Letitia A. James,WOR,5
Niagara,Attorney General,,Niagara Falls 005 : 003,Letitia A. James,WOR,3
Niagara,Attorney General,,Niagara Falls 005 : 004,Letitia A. James,WOR,5
Niagara,Attorney General,,Niagara Falls 005 : 005,Letitia A. James,WOR,4
Niagara,Attorney General,,Niagara Falls 005 : 006,Letitia A. James,WOR,6
Niagara,Attorney General,,Niagara Falls 006 : 001,Letitia A. James,WOR,2
Niagara,Attorney General,,Niagara Falls 006 : 002,Letitia A. James,WOR,9
Niagara,Attorney General,,Niagara Falls 006 : 003,Letitia A. James,WOR,6
Niagara,Attorney General,,Niagara Falls 006 : 004,Letitia A. James,WOR,6
Niagara,Attorney General,,Niagara Falls 006 : 005,Letitia A. James,WOR,4
Niagara,Attorney General,,Niagara Falls 006 : 006,Letitia A. James,WOR,4
Niagara,Attorney General,,Niagara Falls 006 : 007,Letitia A. James,WOR,5
Niagara,Attorney General,,Niagara Falls 006 : 008,Letitia A. James,WOR,3
Niagara,Attorney General,,Niagara Falls 006 : 009,Letitia A. James,WOR,5
Niagara,Attorney General,,Niagara Falls 006 : 010,Letitia A. James,WOR,9
Niagara,Attorney General,,Pendleton 000 : 001,Letitia A. James,WOR,8
Niagara,Attorney General,,Pendleton 000 : 002,Letitia A. James,WOR,4
Niagara,Attorney General,,Pendleton 000 : 003,Letitia A. James,WOR,5
Niagara,Attorney General,,Pendleton 000 : 004,Letitia A. James,WOR,5
Niagara,Attorney General,,Pendleton 000 : 005,Letitia A. James,WOR,4
Niagara,Attorney General,,Pendleton 000 : 006,Letitia A. James,WOR,9
Niagara,Attorney General,,Porter 000 : 001,Letitia A. James,WOR,4
Niagara,Attorney General,,Porter 000 : 002,Letitia A. James,WOR,3
Niagara,Attorney General,,Porter 000 : 003,Letitia A. James,WOR,4
Niagara,Attorney General,,Porter 000 : 004,Letitia A. James,WOR,2
Niagara,Attorney General,,Porter 000 : 005,Letitia A. James,WOR,6
Niagara,Attorney General,,Porter 000 : 006,Letitia A. James,WOR,5
Niagara,Attorney General,,Royalton 000 : 001,Letitia A. James,WOR,11
Niagara,Attorney General,,Royalton 000 : 002,Letitia A. James,WOR,9
Niagara,Attorney General,,Royalton 000 : 003,Letitia A. James,WOR,8
Niagara,Attorney General,,Royalton 000 : 004,Letitia A. James,WOR,3
Niagara,Attorney General,,Royalton 000 : 005,Letitia A. James,WOR,3
Niagara,Attorney General,,Royalton 000 : 006,Letitia A. James,WOR,13
Niagara,Attorney General,,Somerset 000 : 001,Letitia A. James,WOR,8
Niagara,Attorney General,,Somerset 000 : 002,Letitia A. James,WOR,14
Niagara,Attorney General,,Town of Lockport 000 : 001,Letitia A. James,WOR,4
Niagara,Attorney General,,Town of Lockport 000 : 002,Letitia A. James,WOR,6
Niagara,Attorney General,,Town of Lockport 000 : 003,Letitia A. James,WOR,6
Niagara,Attorney General,,Town of Lockport 000 : 004,Letitia A. James,WOR,7
Niagara,Attorney General,,Town of Lockport 000 : 005,Letitia A. James,WOR,9
Niagara,Attorney General,,Town of Lockport 000 : 006,Letitia A. James,WOR,6
Niagara,Attorney General,,Town of Lockport 000 : 007,Letitia A. James,WOR,3
Niagara,Attorney General,,Town of Lockport 000 : 008,Letitia A. James,WOR,2
Niagara,Attorney General,,Town of Lockport 000 : 009,Letitia A. James,WOR,10
Niagara,Attorney General,,Town of Lockport 000 : 010,Letitia A. James,WOR,4
Niagara,Attorney General,,Town of Lockport 000 : 011,Letitia A. James,WOR,9
Niagara,Attorney General,,Town of Lockport 000 : 012,Letitia A. James,WOR,8
Niagara,Attorney General,,Town of Lockport 000 : 013,Letitia A. James,WOR,14
Niagara,Attorney General,,Town of Lockport 000 : 014,Letitia A. James,WOR,10
Niagara,Attorney General,,Town of Lockport 000 : 015,Letitia A. James,WOR,3
Niagara,Attorney General,,Town of Lockport 000 : 016,Letitia A. James,WOR,8
Niagara,Attorney General,,Town of Niagara 000 : 001,Letitia A. James,WOR,4
Niagara,Attorney General,,Town of Niagara 000 : 002,Letitia A. James,WOR,1
Niagara,Attorney General,,Town of Niagara 000 : 003,Letitia A. James,WOR,5
Niagara,Attorney General,,Town of Niagara 000 : 004,Letitia A. James,WOR,2
Niagara,Attorney General,,Town of Niagara 000 : 005,Letitia A. James,WOR,2
Niagara,Attorney General,,Town of Niagara 000 : 006,Letitia A. James,WOR,3
Niagara,Attorney General,,Town of Niagara 000 : 007,Letitia A. James,WOR,8
Niagara,Attorney General,,Wheatfield 000 : 001,Letitia A. James,WOR,0
Niagara,Attorney General,,Wheatfield 000 : 002,Letitia A. James,WOR,2
Niagara,Attorney General,,Wheatfield 000 : 003,Letitia A. James,WOR,9
Niagara,Attorney General,,Wheatfield 000 : 004,Letitia A. James,WOR,1
Niagara,Attorney General,,Wheatfield 000 : 005,Letitia A. James,WOR,10
Niagara,Attorney General,,Wheatfield 000 : 006,Letitia A. James,WOR,4
Niagara,Attorney General,,Wheatfield 000 : 007,Letitia A. James,WOR,13
Niagara,Attorney General,,Wheatfield 000 : 008,Letitia A. James,WOR,11
Niagara,Attorney General,,Wheatfield 000 : 009,Letitia A. James,WOR,6
Niagara,Attorney General,,Wheatfield 000 : 010,Letitia A. James,WOR,10
Niagara,Attorney General,,Wheatfield 000 : 011,Letitia A. James,WOR,11
Niagara,Attorney General,,Wheatfield 000 : 012,Letitia A. James,WOR,10
Niagara,Attorney General,,Wheatfield 000 : 013,Letitia A. James,WOR,7
Niagara,Attorney General,,Wheatfield 000 : 014,Letitia A. James,WOR,7
Niagara,Attorney General,,Wilson 000 : 001,Letitia A. James,WOR,7
Niagara,Attorney General,,Wilson 000 : 002,Letitia A. James,WOR,7
Niagara,Attorney General,,Wilson 000 : 003,Letitia A. James,WOR,3
Niagara,Attorney General,,Wilson 000 : 004,Letitia A. James,WOR,7
Niagara,Attorney General,,Wilson 000 : 005,Letitia A. James,WOR,5
Niagara,Attorney General,,Cambria 000  : 001,Letitia A. James,IND,4
Niagara,Attorney General,,Cambria 000  : 002,Letitia A. James,IND,10
Niagara,Attorney General,,Cambria 000  : 003,Letitia A. James,IND,7
Niagara,Attorney General,,Cambria 000  : 004,Letitia A. James,IND,12
Niagara,Attorney General,,City of Lockport 001 : 001,Letitia A. James,IND,4
Niagara,Attorney General,,City of Lockport 001 : 002,Letitia A. James,IND,6
Niagara,Attorney General,,City of Lockport 001 : 003,Letitia A. James,IND,6
Niagara,Attorney General,,City of Lockport 001 : 004,Letitia A. James,IND,4
Niagara,Attorney General,,City of Lockport 002 : 001,Letitia A. James,IND,6
Niagara,Attorney General,,City of Lockport 002 : 002,Letitia A. James,IND,3
Niagara,Attorney General,,City of Lockport 002 : 003,Letitia A. James,IND,11
Niagara,Attorney General,,City of Lockport 002 : 004,Letitia A. James,IND,12
Niagara,Attorney General,,City of Lockport 003 : 001,Letitia A. James,IND,12
Niagara,Attorney General,,City of Lockport 003 : 002,Letitia A. James,IND,6
Niagara,Attorney General,,City of Lockport 003 : 003,Letitia A. James,IND,6
Niagara,Attorney General,,City of Lockport 004 : 001,Letitia A. James,IND,6
Niagara,Attorney General,,City of Lockport 004 : 002,Letitia A. James,IND,5
Niagara,Attorney General,,City of Lockport 004 : 003,Letitia A. James,IND,8
Niagara,Attorney General,,City of Lockport 004 : 004,Letitia A. James,IND,8
Niagara,Attorney General,,City of Lockport 005 : 001,Letitia A. James,IND,9
Niagara,Attorney General,,City of Lockport 005 : 002,Letitia A. James,IND,11
Niagara,Attorney General,,City of Lockport 005 : 003,Letitia A. James,IND,7
Niagara,Attorney General,,City of Lockport 005 : 004,Letitia A. James,IND,7
Niagara,Attorney General,,Hartland 000 : 001,Letitia A. James,IND,10
Niagara,Attorney General,,Hartland 000 : 002,Letitia A. James,IND,7
Niagara,Attorney General,,Hartland 000 : 003,Letitia A. James,IND,10
Niagara,Attorney General,,Lewiston 000 : 001,Letitia A. James,IND,6
Niagara,Attorney General,,Lewiston 000 : 002,Letitia A. James,IND,5
Niagara,Attorney General,,Lewiston 000 : 003,Letitia A. James,IND,5
Niagara,Attorney General,,Lewiston 000 : 004,Letitia A. James,IND,5
Niagara,Attorney General,,Lewiston 000 : 005,Letitia A. James,IND,8
Niagara,Attorney General,,Lewiston 000 : 006,Letitia A. James,IND,6
Niagara,Attorney General,,Lewiston 000 : 007,Letitia A. James,IND,8
Niagara,Attorney General,,Lewiston 000 : 008,Letitia A. James,IND,5
Niagara,Attorney General,,Lewiston 000 : 009,Letitia A. James,IND,9
Niagara,Attorney General,,Lewiston 000 : 010,Letitia A. James,IND,2
Niagara,Attorney General,,Lewiston 000 : 011,Letitia A. James,IND,13
Niagara,Attorney General,,Lewiston 000 : 012,Letitia A. James,IND,4
Niagara,Attorney General,,Lewiston 000 : 013,Letitia A. James,IND,14
Niagara,Attorney General,,Lewiston 000 : 014,Letitia A. James,IND,6
Niagara,Attorney General,,N Tonawanda 001 : 001,Letitia A. James,IND,4
Niagara,Attorney General,,N Tonawanda 001 : 002,Letitia A. James,IND,6
Niagara,Attorney General,,N Tonawanda 001 : 003,Letitia A. James,IND,11
Niagara,Attorney General,,N Tonawanda 001 : 004,Letitia A. James,IND,8
Niagara,Attorney General,,N Tonawanda 001 : 005,Letitia A. James,IND,7
Niagara,Attorney General,,N Tonawanda 001 : 006,Letitia A. James,IND,5
Niagara,Attorney General,,N Tonawanda 001 : 007,Letitia A. James,IND,1
Niagara,Attorney General,,N Tonawanda 001 : 008,Letitia A. James,IND,3
Niagara,Attorney General,,N Tonawanda 001 : 009,Letitia A. James,IND,9
Niagara,Attorney General,,N Tonawanda 001 : 010,Letitia A. James,IND,8
Niagara,Attorney General,,N Tonawanda 002 : 001,Letitia A. James,IND,2
Niagara,Attorney General,,N Tonawanda 002 : 002,Letitia A. James,IND,10
Niagara,Attorney General,,N Tonawanda 002 : 003,Letitia A. James,IND,8
Niagara,Attorney General,,N Tonawanda 002 : 004,Letitia A. James,IND,2
Niagara,Attorney General,,N Tonawanda 002 : 005,Letitia A. James,IND,3
Niagara,Attorney General,,N Tonawanda 002 : 006,Letitia A. James,IND,0
Niagara,Attorney General,,N Tonawanda 002 : 007,Letitia A. James,IND,16
Niagara,Attorney General,,N Tonawanda 002 : 008,Letitia A. James,IND,2
Niagara,Attorney General,,N Tonawanda 002 : 009,Letitia A. James,IND,3
Niagara,Attorney General,,N Tonawanda 002 : 010,Letitia A. James,IND,4
Niagara,Attorney General,,N Tonawanda 002 : 011,Letitia A. James,IND,8
Niagara,Attorney General,,N Tonawanda 003 : 001,Letitia A. James,IND,6
Niagara,Attorney General,,N Tonawanda 003 : 002,Letitia A. James,IND,7
Niagara,Attorney General,,N Tonawanda 003 : 003,Letitia A. James,IND,3
Niagara,Attorney General,,N Tonawanda 003 : 004,Letitia A. James,IND,7
Niagara,Attorney General,,N Tonawanda 003 : 005,Letitia A. James,IND,5
Niagara,Attorney General,,N Tonawanda 003 : 006,Letitia A. James,IND,10
Niagara,Attorney General,,N Tonawanda 003 : 007,Letitia A. James,IND,10
Niagara,Attorney General,,N Tonawanda 003 : 008,Letitia A. James,IND,5
Niagara,Attorney General,,N Tonawanda 003 : 009,Letitia A. James,IND,5
Niagara,Attorney General,,N Tonawanda 003 : 010,Letitia A. James,IND,6
Niagara,Attorney General,,N Tonawanda 003 : 011,Letitia A. James,IND,8
Niagara,Attorney General,,N Tonawanda 003 : 012,Letitia A. James,IND,15
Niagara,Attorney General,,Newfane 000 : 001,Letitia A. James,IND,6
Niagara,Attorney General,,Newfane 000 : 002,Letitia A. James,IND,9
Niagara,Attorney General,,Newfane 000 : 003,Letitia A. James,IND,10
Niagara,Attorney General,,Newfane 000 : 004,Letitia A. James,IND,10
Niagara,Attorney General,,Newfane 000 : 005,Letitia A. James,IND,3
Niagara,Attorney General,,Newfane 000 : 006,Letitia A. James,IND,10
Niagara,Attorney General,,Newfane 000 : 007,Letitia A. James,IND,3
Niagara,Attorney General,,Newfane 000 : 008,Letitia A. James,IND,4
Niagara,Attorney General,,Niagara Falls 003 : 001,Letitia A. James,IND,4
Niagara,Attorney General,,Niagara Falls 003 : 002,Letitia A. James,IND,3
Niagara,Attorney General,,Niagara Falls 003 : 003,Letitia A. James,IND,5
Niagara,Attorney General,,Niagara Falls 003 : 004,Letitia A. James,IND,8
Niagara,Attorney General,,Niagara Falls 003 : 005,Letitia A. James,IND,11
Niagara,Attorney General,,Niagara Falls 003 : 006,Letitia A. James,IND,5
Niagara,Attorney General,,Niagara Falls 003 : 007,Letitia A. James,IND,5
Niagara,Attorney General,,Niagara Falls 003 : 008,Letitia A. James,IND,5
Niagara,Attorney General,,Niagara Falls 003 : 009,Letitia A. James,IND,6
Niagara,Attorney General,,Niagara Falls 003 : 010,Letitia A. James,IND,6
Niagara,Attorney General,,Niagara Falls 003 : 011,Letitia A. James,IND,3
Niagara,Attorney General,,Niagara Falls 003 : 012,Letitia A. James,IND,5
Niagara,Attorney General,,Niagara Falls 003 : 013,Letitia A. James,IND,1
Niagara,Attorney General,,Niagara Falls 004 : 001,Letitia A. James,IND,3
Niagara,Attorney General,,Niagara Falls 004 : 002,Letitia A. James,IND,2
Niagara,Attorney General,,Niagara Falls 004 : 003,Letitia A. James,IND,5
Niagara,Attorney General,,Niagara Falls 004 : 004,Letitia A. James,IND,5
Niagara,Attorney General,,Niagara Falls 004 : 005,Letitia A. James,IND,2
