county,office,district,party,candidate,votes,,,,,,,,,
Wyoming,State Senate,59,DEM,Tom Casey,2679,,,,,,,,,
Wyoming,State Senate,59,REP,Patrick M. Gallivan,11553,,,,,,,,,
Wyoming,State Senate,59,CON,Patrick M. Gallivan,1775,,,,,,,,,
Wyoming,State Senate,59,IND,Patrick M. Gallivan,507,,,,,,,,,
Wyoming,State Senate,59,REF,Patrick M. Gallivan,65,,,,,,,,,
Wyoming,State Senate,59,,Blank,920,,,,,,,,,
Wyoming,State Senate,59,,Void,1,,,,,,,,,
Wyoming,State Senate,59,,Scattering,1,,,,,,,,,
Wyoming,State Senate,59,,Total,17501,,,,,,,,,
Erie,State Senate,59,DEM,Tom Casey,21161,,,,,,,,,
Erie,State Senate,59,REP,Patrick M. Gallivan,49864,,,,,,,,,
Erie,State Senate,59,CON,Patrick M. Gallivan,11141,,,,,,,,,
Erie,State Senate,59,IND,Patrick M. Gallivan,3845,,,,,,,,,
Erie,State Senate,59,REF,Patrick M. Gallivan,421,,,,,,,,,
Erie,State Senate,59,,Blank,5835,,,,,,,,,
Erie,State Senate,59,,Void,0,,,,,,,,,
Erie,State Senate,59,,Scattering,0,,,,,,,,,
Erie,State Senate,59,,Total,92267,,,,,,,,,
Livingston,State Senate,59,DEM,Tom Casey,5042,,,,,,,,,
Livingston,State Senate,59,REP,Patrick M. Gallivan,8729,,,,,,,,,
Livingston,State Senate,59,CON,Patrick M. Gallivan,1362,,,,,,,,,
Livingston,State Senate,59,IND,Patrick M. Gallivan,563,,,,,,,,,
Livingston,State Senate,59,REF,Patrick M. Gallivan,71,,,,,,,,,
Livingston,State Senate,59,,Blank,1500,,,,,,,,,
Livingston,State Senate,59,,Void,6,,,,,,,,,
Livingston,State Senate,59,,Scattering,4,,,,,,,,,
Livingston,State Senate,59,,Total,17277,,,,,,,,,
Monroe,State Senate,59,DEM,Tom Casey,8793,,,,,,,,,
Monroe,State Senate,59,REP,Patrick M. Gallivan,8130,,,,,,,,,
Monroe,State Senate,59,CON,Patrick M. Gallivan,1498,,,,,,,,,
Monroe,State Senate,59,IND,Patrick M. Gallivan,661,,,,,,,,,
Monroe,State Senate,59,REF,Patrick M. Gallivan,108,,,,,,,,,
Monroe,State Senate,59,,Blank,1889,,,,,,,,,
Monroe,State Senate,59,,Void,4,,,,,,,,,
Monroe,State Senate,59,,Scattering,14,,,,,,,,,
Monroe,State Senate,59,,Total,21097,,,,,,,,,
Total,State Senate,59,DEM,Tom Casey,37675,,,,,,,,,
Total,State Senate,59,REP,Patrick M. Gallivan,78276,,,,,,,,,
Total,State Senate,59,CON,Patrick M. Gallivan,15776,,,,,,,,,
Total,State Senate,59,IND,Patrick M. Gallivan,5576,,,,,,,,,
Total,State Senate,59,REF,Patrick M. Gallivan,665,,,,,,,,,
Total,State Senate,59,,Blank,10144,,,,,,,,,
Total,State Senate,59,,Void,11,,,,,,,,,
Total,State Senate,59,,Scattering,19,,,,,,,,,
Total,State Senate,59,,Total,148142,,,,,,,,,
Erie,State Senate,60,DEM,Amber A. Small,46039,,,,,,,,,
Erie,State Senate,60,REP,Christopher L. Jacobs,60510,,,,,,,,,
Erie,State Senate,60,CON,Christopher L. Jacobs,11651,,,,,,,,,
Erie,State Senate,60,GRN,James V. Depasquale,2835,,,,,,,,,
Erie,State Senate,60,WOR,Amber A. Small,3799,,,,,,,,,
Erie,State Senate,60,IND,Christopher L. Jacobs,4508,,,,,,,,,
Erie,State Senate,60,WEP,Amber A. Small,1198,,,,,,,,,
Erie,State Senate,60,REF,Christopher L. Jacobs,658,,,,,,,,,
Erie,State Senate,60,,Blank,9164,,,,,,,,,
Erie,State Senate,60,,Void,0,,,,,,,,,
Erie,State Senate,60,,Scattering,0,,,,,,,,,
Erie,State Senate,60,,Total,140362,,,,,,,,,
Genesee,State Senate,61,DEM,Thomas A. Loughran,4939,,,,,,,,,
Genesee,State Senate,61,REP,Michael H. Ranzenhofer,14997,,,,,,,,,
Genesee,State Senate,61,CON,Michael H. Ranzenhofer,2468,,,,,,,,,
Genesee,State Senate,61,GRN,"Ruben Cartagena, Jr.",388,,,,,,,,,
Genesee,State Senate,61,WOR,Thomas A. Loughran,347,,,,,,,,,
Genesee,State Senate,61,IND,Michael H. Ranzenhofer,823,,,,,,,,,
Genesee,State Senate,61,WEP,Thomas A. Loughran,145,,,,,,,,,
Genesee,State Senate,61,REF,Michael H. Ranzenhofer,115,,,,,,,,,
Genesee,State Senate,61,,Blank,2433,,,,,,,,,
Genesee,State Senate,61,,Void,7,,,,,,,,,
Genesee,State Senate,61,,Scattering,14,,,,,,,,,
Genesee,State Senate,61,,Total,26676,,,,,,,,,
Erie,State Senate,61,DEM,Thomas A. Loughran,30295,,,,,,,,,
Erie,State Senate,61,REP,Michael H. Ranzenhofer,35767,,,,,,,,,
Erie,State Senate,61,CON,Michael H. Ranzenhofer,6661,,,,,,,,,
Erie,State Senate,61,GRN,"Ruben Cartagena, Jr.",1062,,,,,,,,,
Erie,State Senate,61,WOR,Thomas A. Loughran,1820,,,,,,,,,
Erie,State Senate,61,IND,Michael H. Ranzenhofer,1879,,,,,,,,,
Erie,State Senate,61,WEP,Thomas A. Loughran,645,,,,,,,,,
Erie,State Senate,61,REF,Michael H. Ranzenhofer,249,,,,,,,,,
Erie,State Senate,61,,Blank,5396,,,,,,,,,
Erie,State Senate,61,,Void,0,,,,,,,,,
Erie,State Senate,61,,Scattering,0,,,,,,,,,
Erie,State Senate,61,,Total,83774,,,,,,,,,
Monroe,State Senate,61,DEM,Thomas A. Loughran,14082,,,,,,,,,
Monroe,State Senate,61,REP,Michael H. Ranzenhofer,9716,,,,,,,,,
Monroe,State Senate,61,CON,Michael H. Ranzenhofer,1835,,,,,,,,,
Monroe,State Senate,61,GRN,"Ruben Cartagena, Jr.",562,,,,,,,,,
Monroe,State Senate,61,WOR,Thomas A. Loughran,787,,,,,,,,,
Monroe,State Senate,61,IND,Michael H. Ranzenhofer,636,,,,,,,,,
Monroe,State Senate,61,WEP,Thomas A. Loughran,303,,,,,,,,,
Monroe,State Senate,61,REF,Michael H. Ranzenhofer,109,,,,,,,,,
Monroe,State Senate,61,,Blank,3277,,,,,,,,,
Monroe,State Senate,61,,Void,6,,,,,,,,,
Monroe,State Senate,61,,Scattering,15,,,,,,,,,
Monroe,State Senate,61,,Total,31328,,,,,,,,,
Total,State Senate,61,DEM,Thomas A. Loughran,49316,,,,,,,,,
Total,State Senate,61,REP,Michael H. Ranzenhofer,60480,,,,,,,,,
Total,State Senate,61,CON,Michael H. Ranzenhofer,10964,,,,,,,,,
Total,State Senate,61,GRN,"Ruben Cartagena, Jr.",2012,,,,,,,,,
Total,State Senate,61,WOR,Thomas A. Loughran,2954,,,,,,,,,
Total,State Senate,61,IND,Michael H. Ranzenhofer,3338,,,,,,,,,
Total,State Senate,61,WEP,Thomas A. Loughran,1093,,,,,,,,,
Total,State Senate,61,REF,Michael H. Ranzenhofer,473,,,,,,,,,
Total,State Senate,61,,Blank,11106,,,,,,,,,
Total,State Senate,61,,Void,13,,,,,,,,,
Total,State Senate,61,,Scattering,29,,,,,,,,,
Total,State Senate,61,,Total,141778,,,,,,,,,
Niagara,State Senate,62,REP,Robert G. Ortt,48720,,,,,,,,,
Niagara,State Senate,62,CON,Robert G. Ortt,9443,,,,,,,,,
Niagara,State Senate,62,IND,Robert G. Ortt,6462,,,,,,,,,
Niagara,State Senate,62,REF,Robert G. Ortt,768,,,,,,,,,
Niagara,State Senate,62,,Blank,28605,,,,,,,,,
Niagara,State Senate,62,,Void,0,,,,,,,,,
Niagara,State Senate,62,,Scattering,295,,,,,,,,,
Niagara,State Senate,62,,Total,94293,,,,,,,,,
Orleans,State Senate,62,REP,Robert G. Ortt,10078,,,,,,,,,
Orleans,State Senate,62,CON,Robert G. Ortt,1508,,,,,,,,,
Orleans,State Senate,62,IND,Robert G. Ortt,744,,,,,,,,,
Orleans,State Senate,62,REF,Robert G. Ortt,96,,,,,,,,,
Orleans,State Senate,62,,Blank,4121,,,,,,,,,
Orleans,State Senate,62,,Void,4,,,,,,,,,
Orleans,State Senate,62,,Scattering,18,,,,,,,,,
Orleans,State Senate,62,,Total,16569,,,,,,,,,
Monroe,State Senate,62,REP,Robert G. Ortt,8430,,,,,,,,,
Monroe,State Senate,62,CON,Robert G. Ortt,1810,,,,,,,,,
Monroe,State Senate,62,IND,Robert G. Ortt,1199,,,,,,,,,
Monroe,State Senate,62,REF,Robert G. Ortt,132,,,,,,,,,
Monroe,State Senate,62,,Blank,4109,,,,,,,,,
Monroe,State Senate,62,,Void,1,,,,,,,,,
Monroe,State Senate,62,,Scattering,56,,,,,,,,,
Monroe,State Senate,62,,Total,15737,,,,,,,,,
Total,State Senate,62,REP,Robert G. Ortt,67228,,,,,,,,,
Total,State Senate,62,CON,Robert G. Ortt,12761,,,,,,,,,
Total,State Senate,62,IND,Robert G. Ortt,8405,,,,,,,,,
Total,State Senate,62,REF,Robert G. Ortt,996,,,,,,,,,
Total,State Senate,62,,Blank,36835,,,,,,,,,
Total,State Senate,62,,Void,5,,,,,,,,,
Total,State Senate,62,,Scattering,369,,,,,,,,,
Total,State Senate,62,,Total,126599,,,,,,,,,
Erie,State Senate,63,DEM,Timothy M. Kennedy,78674,,,,,,,,,
Erie,State Senate,63,WOR,Timothy M. Kennedy,6034,,,,,,,,,
Erie,State Senate,63,IND,Timothy M. Kennedy,3751,,,,,,,,,
Erie,State Senate,63,WEP,Timothy M. Kennedy,1191,,,,,,,,,
Erie,State Senate,63,,Blank,23854,,,,,,,,,
Erie,State Senate,63,,Void,0,,,,,,,,,
Erie,State Senate,63,,Scattering,0,,,,,,,,,
Erie,State Senate,63,,Total,113504,,,,,,,,,
Suffolk,State Assembly,1,DEM,"Fred W. Thiele, Jr.",30803,,,,,,,,,
Suffolk,State Assembly,1,REP,Heather C. Collins,21280,,,,,,,,,
Suffolk,State Assembly,1,WOR,"Fred W. Thiele, Jr.",1772,,,,,,,,,
Suffolk,State Assembly,1,IND,"Fred W. Thiele, Jr.",2243,,,,,,,,,
Suffolk,State Assembly,1,WEP,"Fred W. Thiele, Jr.",428,,,,,,,,,
Suffolk,State Assembly,1,,Blank,6718,,,,,,,,,
Suffolk,State Assembly,1,,Void,29,,,,,,,,,
Suffolk,State Assembly,1,,Scattering,67,,,,,,,,,
Suffolk,State Assembly,1,,Total,63340,,,,,,,,,
Suffolk,State Assembly,2,DEM,Michael L. Conroy,19575,,,,,,,,,
Suffolk,State Assembly,2,REP,Anthony H. Palumbo,32636,,,,,,,,,
Suffolk,State Assembly,2,CON,Anthony H. Palumbo,5235,,,,,,,,,
Suffolk,State Assembly,2,IND,Anthony H. Palumbo,1724,,,,,,,,,
Suffolk,State Assembly,2,REF,Anthony H. Palumbo,200,,,,,,,,,
Suffolk,State Assembly,2,,Blank,6794,,,,,,,,,
Suffolk,State Assembly,2,,Void,11,,,,,,,,,
Suffolk,State Assembly,2,,Scattering,33,,,,,,,,,
Suffolk,State Assembly,2,,Total,66208,,,,,,,,,
Suffolk,State Assembly,3,DEM,Gregory D. Schoen,17404,,,,,,,,,
Suffolk,State Assembly,3,REP,Dean Murray,23957,,,,,,,,,
Suffolk,State Assembly,3,CON,Dean Murray,3560,,,,,,,,,
Suffolk,State Assembly,3,IND,Dean Murray,1401,,,,,,,,,
Suffolk,State Assembly,3,REF,Dean Murray,169,,,,,,,,,
Suffolk,State Assembly,3,,Blank,6108,,,,,,,,,
Suffolk,State Assembly,3,,Void,7,,,,,,,,,
Suffolk,State Assembly,3,,Scattering,20,,,,,,,,,
Suffolk,State Assembly,3,,Total,52626,,,,,,,,,
Suffolk,State Assembly,4,DEM,Steven Englebright,29051,,,,,,,,,
Suffolk,State Assembly,4,REP,Steven Weissbard,18811,,,,,,,,,
Suffolk,State Assembly,4,CON,Steven Weissbard,3183,,,,,,,,,
Suffolk,State Assembly,4,WOR,Steven Englebright,1400,,,,,,,,,
Suffolk,State Assembly,4,IND,Steven Englebright,1490,,,,,,,,,
Suffolk,State Assembly,4,,Blank,5813,,,,,,,,,
Suffolk,State Assembly,4,,Void,12,,,,,,,,,
Suffolk,State Assembly,4,,Scattering,31,,,,,,,,,
Suffolk,State Assembly,4,,Total,59791,,,,,,,,,
Suffolk,State Assembly,5,DEM,Deborah L. Slinkosky,18313,,,,,,,,,
Suffolk,State Assembly,5,REP,Alfred C. Graf,27949,,,,,,,,,
Suffolk,State Assembly,5,CON,Alfred C. Graf,4097,,,,,,,,,
Suffolk,State Assembly,5,IND,Alfred C. Graf,1190,,,,,,,,,
Suffolk,State Assembly,5,REF,Alfred C. Graf,148,,,,,,,,,
Suffolk,State Assembly,5,LBT,James Smith,824,,,,,,,,,
Suffolk,State Assembly,5,,Blank,6983,,,,,,,,,
Suffolk,State Assembly,5,,Void,16,,,,,,,,,
Suffolk,State Assembly,5,,Scattering,26,,,,,,,,,
Suffolk,State Assembly,5,,Total,59546,,,,,,,,,
Suffolk,State Assembly,6,DEM,Philip Ramos,24201,,,,,,,,,
Suffolk,State Assembly,6,WOR,Philip Ramos,1573,,,,,,,,,
Suffolk,State Assembly,6,IND,Philip Ramos,1046,,,,,,,,,
Suffolk,State Assembly,6,,Blank,8438,,,,,,,,,
Suffolk,State Assembly,6,,Void,1,,,,,,,,,
Suffolk,State Assembly,6,,Scattering,89,,,,,,,,,
Suffolk,State Assembly,6,,Total,35348,,,,,,,,,
Suffolk,State Assembly,7,DEM,Nickolas R. Gambini,18653,,,,,,,,,
Suffolk,State Assembly,7,REP,Andrew R. Garbarino,31330,,,,,,,,,
Suffolk,State Assembly,7,CON,Andrew R. Garbarino,5018,,,,,,,,,
Suffolk,State Assembly,7,IND,Andrew R. Garbarino,1612,,,,,,,,,
Suffolk,State Assembly,7,REF,Andrew R. Garbarino,275,,,,,,,,,
Suffolk,State Assembly,7,,Blank,7133,,,,,,,,,
Suffolk,State Assembly,7,,Void,14,,,,,,,,,
Suffolk,State Assembly,7,,Scattering,26,,,,,,,,,
Suffolk,State Assembly,7,,Total,64061,,,,,,,,,
Suffolk,State Assembly,8,DEM,Richard S. Macellaro,19121,,,,,,,,,
Suffolk,State Assembly,8,REP,Michael J. Fitzpatrick,36528,,,,,,,,,
Suffolk,State Assembly,8,CON,Michael J. Fitzpatrick,5155,,,,,,,,,
Suffolk,State Assembly,8,IND,Michael J. Fitzpatrick,1422,,,,,,,,,
Suffolk,State Assembly,8,REF,Michael J. Fitzpatrick,181,,,,,,,,,
Suffolk,State Assembly,8,,Blank,6831,,,,,,,,,
Suffolk,State Assembly,8,,Void,16,,,,,,,,,
Suffolk,State Assembly,8,,Scattering,15,,,,,,,,,
Suffolk,State Assembly,8,,Total,69269,,,,,,,,,
Nassau,State Assembly,9,DEM,Brendan J. Cunningham,7702,,,,,,,,,
Nassau,State Assembly,9,REP,Joseph S. Saladino,16681,,,,,,,,,
Nassau,State Assembly,9,CON,Joseph S. Saladino,1694,,,,,,,,,
Nassau,State Assembly,9,IND,Joseph S. Saladino,399,,,,,,,,,
Nassau,State Assembly,9,REF,Joseph S. Saladino,81,,,,,,,,,
Nassau,State Assembly,9,TRP,Joseph S. Saladino,116,,,,,,,,,
Nassau,State Assembly,9,,Blank,2224,,,,,,,,,
Nassau,State Assembly,9,,Void,15,,,,,,,,,
Nassau,State Assembly,9,,Scattering,16,,,,,,,,,
Nassau,State Assembly,9,,Total,28928,,,,,,,,,
Suffolk,State Assembly,9,DEM,Brendan J. Cunningham,11139,,,,,,,,,
Suffolk,State Assembly,9,REP,Joseph S. Saladino,18687,,,,,,,,,
Suffolk,State Assembly,9,CON,Joseph S. Saladino,2658,,,,,,,,,
Suffolk,State Assembly,9,IND,Joseph S. Saladino,782,,,,,,,,,
Suffolk,State Assembly,9,REF,Joseph S. Saladino,90,,,,,,,,,
Suffolk,State Assembly,9,TRP,Joseph S. Saladino,153,,,,,,,,,
Suffolk,State Assembly,9,,Blank,4087,,,,,,,,,
Suffolk,State Assembly,9,,Void,8,,,,,,,,,
Suffolk,State Assembly,9,,Scattering,13,,,,,,,,,
Suffolk,State Assembly,9,,Total,37617,,,,,,,,,
Total,State Assembly,9,DEM,Brendan J. Cunningham,18841,,,,,,,,,
Total,State Assembly,9,REP,Joseph S. Saladino,35368,,,,,,,,,
Total,State Assembly,9,CON,Joseph S. Saladino,4352,,,,,,,,,
Total,State Assembly,9,IND,Joseph S. Saladino,1181,,,,,,,,,
Total,State Assembly,9,REF,Joseph S. Saladino,171,,,,,,,,,
Total,State Assembly,9,TRP,Joseph S. Saladino,269,,,,,,,,,
Total,State Assembly,9,,Blank,6311,,,,,,,,,
Total,State Assembly,9,,Void,23,,,,,,,,,
Total,State Assembly,9,,Scattering,29,,,,,,,,,
Total,State Assembly,9,,Total,66545,,,,,,,,,
Suffolk,State Assembly,10,DEM,Edwin Perez,23923,,,,,,,,,
Suffolk,State Assembly,10,REP,Chad A. Lupinacci,27231,,,,,,,,,
Suffolk,State Assembly,10,CON,Chad A. Lupinacci,3703,,,,,,,,,
Suffolk,State Assembly,10,,Chad A. Lupinacci,,,,,,,,,,
Suffolk,State Assembly,10,IND,Chad A. Lupinacci,1456,,,,,,,,,
Suffolk,State Assembly,10,REF,Blank,281,,,,,,,,,
Suffolk,State Assembly,10,,Void,5197,,,,,,,,,
Suffolk,State Assembly,10,,Scattering,16,,,,,,,,,
Suffolk,State Assembly,10,,Total,40,,,,,,,,,
Suffolk,State Assembly,11,DEM,Kimberly Jean-Pierre,24411,,,,,,,,,
Suffolk,State Assembly,11,REP,Shawn Cullinane,17369,,,,,,,,,
Suffolk,State Assembly,11,WOR,Kimberly Jean-Pierre,934,,,,,,,,,
Suffolk,State Assembly,11,IND,Kimberly Jean-Pierre,690,,,,,,,,,
Suffolk,State Assembly,11,REF,Kimberly Jean-Pierre,94,,,,,,,,,
Suffolk,State Assembly,11,,Blank,5569,,,,,,,,,
Suffolk,State Assembly,11,,Void,7,,,,,,,,,
Suffolk,State Assembly,11,,Scattering,13,,,,,,,,,
Suffolk,State Assembly,11,,Total,49087,,,,,,,,,
Suffolk,State Assembly,12,DEM,Spencer B. Rumsey,21243,,,,,,,,,
Suffolk,State Assembly,12,REP,Andrew P. Raia,32325,,,,,,,,,
Suffolk,State Assembly,12,CON,Andrew P. Raia,4833,,,,,,,,,
Suffolk,State Assembly,12,IND,Andrew P. Raia,1609,,,,,,,,,
Suffolk,State Assembly,12,REF,Andrew P. Raia,254,,,,,,,,,
Suffolk,State Assembly,12,,Blank,6067,,,,,,,,,
Suffolk,State Assembly,12,,Void,11,,,,,,,,,
Suffolk,State Assembly,12,,Scattering,21,,,,,,,,,
Suffolk,State Assembly,12,,Total,66363,,,,,,,,,
Nassau,State Assembly,13,DEM,Charles D. Lavine,33042,,,,,,,,,
Nassau,State Assembly,13,REP,Jeffrey S. Vitale,17794,,,,,,,,,
Nassau,State Assembly,13,CON,Jeffrey S. Vitale,1783,,,,,,,,,
Nassau,State Assembly,13,GRN,Jeffery J. Peress,648,,,,,,,,,
Nassau,State Assembly,13,WOR,Charles D. Lavine,871,,,,,,,,,
Nassau,State Assembly,13,WEP,Charles D. Lavine,401,,,,,,,,,
Nassau,State Assembly,13,REF,Jeffrey S. Vitale,158,,,,,,,,,
Nassau,State Assembly,13,,Blank,5735,,,,,,,,,
Nassau,State Assembly,13,,Void,43,,,,,,,,,
Nassau,State Assembly,13,,Scattering,16,,,,,,,,,
Nassau,State Assembly,13,,Total,60491,,,,,,,,,
Nassau,State Assembly,14,DEM,Michael F. Reid,22270,,,,,,,,,
Nassau,State Assembly,14,REP,David G. McDonough,35113,,,,,,,,,
Nassau,State Assembly,14,CON,David G. McDonough,3672,,,,,,,,,
Nassau,State Assembly,14,WOR,Michael F. Reid,920,,,,,,,,,
Nassau,State Assembly,14,IND,David G. McDonough,849,,,,,,,,,
Nassau,State Assembly,14,WEP,Michael F. Reid,415,,,,,,,,,
Nassau,State Assembly,14,REF,David G. McDonough,135,,,,,,,,,
Nassau,State Assembly,14,TRP,David G. McDonough,282,,,,,,,,,
Nassau,State Assembly,14,,Blank,7731,,,,,,,,,
Nassau,State Assembly,14,,Void,38,,,,,,,,,
Nassau,State Assembly,14,,Scattering,33,,,,,,,,,
Nassau,State Assembly,14,,Total,71458,,,,,,,,,
Nassau,State Assembly,15,DEM,Dean E. Hart,23333,,,,,,,,,
Nassau,State Assembly,15,REP,Michael A. Montesano,28354,,,,,,,,,
Nassau,State Assembly,15,CON,Michael A. Montesano,3188,,,,,,,,,
Nassau,State Assembly,15,WOR,Dean E. Hart,977,,,,,,,,,
Nassau,State Assembly,15,IND,Dean E. Hart,682,,,,,,,,,
Nassau,State Assembly,15,WEP,Dean E. Hart,389,,,,,,,,,
Nassau,State Assembly,15,RFM,Michael A. Montesano,274,,,,,,,,,
Nassau,State Assembly,15,,Blank,6354,,,,,,,,,
Nassau,State Assembly,15,,Void,39,,,,,,,,,
Nassau,State Assembly,15,,Scattering,32,,,,,,,,,
Nassau,State Assembly,15,,Total,63622,,,,,,,,,
Nassau,State Assembly,16,DEM,Anthony D'Urso,28064,,,,,,,,,
Nassau,State Assembly,16,REP,Matthew Varvaro,24794,,,,,,,,,
Nassau,State Assembly,16,CON,Matthew Varvaro,2027,,,,,,,,,
Nassau,State Assembly,16,WOR,Anthony D'Urso,797,,,,,,,,,
Nassau,State Assembly,16,IND,Anthony D'Urso,407,,,,,,,,,
Nassau,State Assembly,16,WEP,Anthony D'Urso,338,,,,,,,,,
Nassau,State Assembly,16,REF,Matthew Varvaro,297,,,,,,,,,
Nassau,State Assembly,16,,Blank,6227,,,,,,,,,
Nassau,State Assembly,16,,Void,30,,,,,,,,,
Nassau,State Assembly,16,,Scattering,21,,,,,,,,,
Nassau,State Assembly,16,,Total,63002,,,,,,,,,
Nassau,State Assembly,17,DEM,Matthew W. Malin,20094,,,,,,,,,
Nassau,State Assembly,17,REP,Thomas McKevitt,31472,,,,,,,,,
Nassau,State Assembly,17,CON,Thomas McKevitt,3528,,,,,,,,,
Nassau,State Assembly,17,WOR,Matthew W. Malin,1084,,,,,,,,,
Nassau,State Assembly,17,IND,Thomas McKevitt,767,,,,,,,,,
Nassau,State Assembly,17,WEP,Matthew W. Malin,403,,,,,,,,,
Nassau,State Assembly,17,REF,Thomas McKevitt,145,,,,,,,,,
Nassau,State Assembly,17,TRP,Thomas McKevitt,235,,,,,,,,,
Nassau,State Assembly,17,,Blank,7230,,,,,,,,,
Nassau,State Assembly,17,,Void,18,,,,,,,,,
Nassau,State Assembly,17,,Scattering,34,,,,,,,,,
Nassau,State Assembly,17,,Total,65010,,,,,,,,,
Nassau,State Assembly,18,DEM,Earlene Hooper,36419,,,,,,,,,
Nassau,State Assembly,18,REP,Cornelius Todd Smith,4227,,,,,,,,,
Nassau,State Assembly,18,CON,Cornelius Todd Smith,675,,,,,,,,,
Nassau,State Assembly,18,WEP,Earlene Hooper,592,,,,,,,,,
Nassau,State Assembly,18,RFM,Cornelius Todd Smith,128,,,,,,,,,
Nassau,State Assembly,18,,Blank,4170,,,,,,,,,
Nassau,State Assembly,18,,Void,28,,,,,,,,,
Nassau,State Assembly,18,,Scattering,23,,,,,,,,,
Nassau,State Assembly,18,,Total,46262,,,,,,,,,
Nassau,State Assembly,19,DEM,Gary B. Port,20394,,,,,,,,,
Nassau,State Assembly,19,REP,Edward P. Ra,30239,,,,,,,,,
Nassau,State Assembly,19,CON,Edward P. Ra,3399,,,,,,,,,
Nassau,State Assembly,19,WOR,Gary B. Port,789,,,,,,,,,
Nassau,State Assembly,19,IND,Edward P. Ra,691,,,,,,,,,
Nassau,State Assembly,19,WEP,Gary B. Port,428,,,,,,,,,
Nassau,State Assembly,19,RFM,Edward P. Ra,98,,,,,,,,,
Nassau,State Assembly,19,TRP,Edward P. Ra,221,,,,,,,,,
Nassau,State Assembly,19,,Blank,7084,,,,,,,,,
Nassau,State Assembly,19,,Void,19,,,,,,,,,
Nassau,State Assembly,19,,Scattering,27,,,,,,,,,
Nassau,State Assembly,19,,Total,63389,,,,,,,,,
Nassau,State Assembly,20,DEM,Anthony P. Eramo,24580,,,,,,,,,
Nassau,State Assembly,20,REP,Melissa L. Miller,26382,,,,,,,,,
Nassau,State Assembly,20,CON,Melissa L. Miller,2191,,,,,,,,,
Nassau,State Assembly,20,GRN,Joseph R. Naham,879,,,,,,,,,
Nassau,State Assembly,20,WOR,Anthony P. Eramo,814,,,,,,,,,
Nassau,State Assembly,20,IND,Anthony P. Eramo,459,,,,,,,,,
Nassau,State Assembly,20,WEP,Anthony P. Eramo,324,,,,,,,,,
Nassau,State Assembly,20,REF,Melissa L. Miller,238,,,,,,,,,
Nassau,State Assembly,20,TRP,Melissa L. Miller,215,,,,,,,,,
Nassau,State Assembly,20,,Blank,6263,,,,,,,,,
Nassau,State Assembly,20,,Void,43,,,,,,,,,
Nassau,State Assembly,20,,Scattering,18,,,,,,,,,
Nassau,State Assembly,20,,Total,62406,,,,,,,,,
Nassau,State Assembly,21,DEM,Travis P. Bourgeois,25402,,,,,,,,,
Nassau,State Assembly,21,REP,Brian F. Curran,29674,,,,,,,,,
Nassau,State Assembly,21,CON,Brian F. Curran,3273,,,,,,,,,
Nassau,State Assembly,21,IND,Brian F. Curran,1067,,,,,,,,,
Nassau,State Assembly,21,RFM,Brian F. Curran,191,,,,,,,,,
Nassau,State Assembly,21,,Blank,7090,,,,,,,,,
Nassau,State Assembly,21,,Void,31,,,,,,,,,
Nassau,State Assembly,21,,Scattering,25,,,,,,,,,
Nassau,State Assembly,21,,Total,66753,,,,,,,,,
Nassau,State Assembly,22,DEM,Michaelle C. Solages,34986,,,,,,,,,
Nassau,State Assembly,22,REP,Robert M. Bogle,16736,,,,,,,,,
Nassau,State Assembly,22,CON,Robert M. Bogle,1822,,,,,,,,,
Nassau,State Assembly,22,WOR,Michaelle C. Solages,1017,,,,,,,,,
Nassau,State Assembly,22,IND,Michaelle C. Solages,562,,,,,,,,,
Nassau,State Assembly,22,WEP,Michaelle C. Solages,396,,,,,,,,,
Nassau,State Assembly,22,RFM,Robert M. Bogle,193,,,,,,,,,
Nassau,State Assembly,22,,Blank,4488,,,,,,,,,
Nassau,State Assembly,22,,Void,54,,,,,,,,,
Nassau,State Assembly,22,,Scattering,24,,,,,,,,,
Nassau,State Assembly,22,,Total,60278,,,,,,,,,
Queens,State Assembly,23,DEM,Stacey G. Pheffer Amato,25313,,,,,,,,,
Queens,State Assembly,23,REP,Alan N. Zwirn,11162,,,,,,,,,
Queens,State Assembly,23,CON,Alan N. Zwirn,1554,,,,,,,,,
Queens,State Assembly,23,WOR,Stacey G. Pheffer Amato,1340,,,,,,,,,
Queens,State Assembly,23,WEP,Stacey G. Pheffer Amato,389,,,,,,,,,
Queens,State Assembly,23,RFM,Alan N. Zwirn,120,,,,,,,,,
Queens,State Assembly,23,,Blank,2868,,,,,,,,,
Queens,State Assembly,23,,Void,0,,,,,,,,,
Queens,State Assembly,23,,Scattering,34,,,,,,,,,
Queens,State Assembly,23,,Total,42780,,,,,,,,,
Queens,State Assembly,24,DEM,David I. Weprin,30036,,,,,,,,,
Queens,State Assembly,24,REP,Ira I. Harris,6304,,,,,,,,,
Queens,State Assembly,24,,Blank,3244,,,,,,,,,
Queens,State Assembly,24,,Void,0,,,,,,,,,
Queens,State Assembly,24,,Scattering,22,,,,,,,,,
Queens,State Assembly,24,,Total,39606,,,,,,,,,
Queens,State Assembly,25,DEM,Nily D. Rozic,20695,,,,,,,,,
Queens,State Assembly,25,REP,Usman Ali Chohan,6856,,,,,,,,,
Queens,State Assembly,25,WOR,Nily D. Rozic,1448,,,,,,,,,
Queens,State Assembly,25,,Blank,5279,,,,,,,,,
