county,precinct,office,district,party,candidate,election_day_votes,absentee
Herikimer,C LITTLE FALLS W4,Comptroller,,DEM,Thomas P. DiNapoli,79,6
Herikimer,COLUMBIA 1 ,Comptroller,,DEM,Thomas P. DiNapoli,63,4
Herikimer,COLUMBIA 2,Comptroller,,DEM,Thomas P. DiNapoli,19,0
Herikimer,DANUBE 1,Comptroller,,DEM,Thomas P. DiNapoli,54,2
Herikimer,FAIRFIELD 1,Comptroller,,DEM,Thomas P. DiNapoli,86,4
Herikimer,FRANKFORT 1,Comptroller,,DEM,Thomas P. DiNapoli,55,6
Herikimer,FRANKFORT2,Comptroller,,DEM,Thomas P. DiNapoli,75,5
Herikimer,FRANKFORT 3,Comptroller,,DEM,Thomas P. DiNapoli,252,8
Herikimer,FRANKFORT 4,Comptroller,,DEM,Thomas P. DiNapoli,256,8
Herikimer,GERMAN FLATTS 1,Comptroller,,DEM,Thomas P. DiNapoli,33,5
Herikimer,GERMAN FLATTS 2,Comptroller,,DEM,Thomas P. DiNapoli,75,2
Herikimer,GERMAN FLATTS 3,Comptroller,,DEM,Thomas P. DiNapoli,204,3
Herikimer,GERMAN FLATTS 4,Comptroller,,DEM,Thomas P. DiNapoli,67,6
Herikimer,GERMAN FLATTS 5,Comptroller,,DEM,Thomas P. DiNapoli,177,4
Herikimer,GERMAN FLATTS 6,Comptroller,,DEM,Thomas P. DiNapoli,159,5
Herikimer,GERMAN FLATTS 7,Comptroller,,DEM,Thomas P. DiNapoli,34,1
Herikimer,GERMAN FLATTS 8,Comptroller,,DEM,Thomas P. DiNapoli,269,8
Herikimer,HERKIMER 1,Comptroller,,DEM,Thomas P. DiNapoli,182,5
Herikimer,HERKIMER 2,Comptroller,,DEM,Thomas P. DiNapoli,114,4
Herikimer,HERKIMER 3,Comptroller,,DEM,Thomas P. DiNapoli,131,4
Herikimer,HERKIMER 5,Comptroller,,DEM,Thomas P. DiNapoli,224,5
Herikimer,HERKIMER 4,Comptroller,,DEM,Thomas P. DiNapoli,114,1
Herikimer,LITCHFIELD 1,Comptroller,,DEM,Thomas P. DiNapoli,113,0
Herikimer,MANHEIM 1,Comptroller,,DEM,Thomas P. DiNapoli,157,3
Herikimer,MANHEIM 2,Comptroller,,DEM,Thomas P. DiNapoli,68,5
Herikimer,NEWPORT 1,Comptroller,,DEM,Thomas P. DiNapoli,169,5
Herikimer,NEWPORT 2,Comptroller,,DEM,Thomas P. DiNapoli,22,0
Herikimer,NORWAY 1,Comptroller,,DEM,Thomas P. DiNapoli,55,3
Herikimer,OHIO 1,Comptroller,,DEM,Thomas P. DiNapoli,75,3
Herikimer,RUSSIA 1,Comptroller,,DEM,Thomas P. DiNapoli,147,1
Herikimer,RUSSIA 2,Comptroller,,DEM,Thomas P. DiNapoli,47,5
Herikimer,SALISBURY 1,Comptroller,,DEM,Thomas P. DiNapoli,50,3
Herikimer,SALISBURY 2,Comptroller,,DEM,Thomas P. DiNapoli,36,2
Herikimer,SCHUYLER 1,Comptroller,,DEM,Thomas P. DiNapoli,218,5
Herikimer,SCHUYLER 2,Comptroller,,DEM,Thomas P. DiNapoli,106,2
Herikimer,STARK 1,Comptroller,,DEM,Thomas P. DiNapoli,79,2
Herikimer,T LITTLE FALLS 1,Comptroller,,DEM,Thomas P. DiNapoli,114,2
Herikimer,WARREN 1,Comptroller,,DEM,Thomas P. DiNapoli,62,2
Herikimer,WEBB 1,Comptroller,,DEM,Thomas P. DiNapoli,303,7
Herikimer,WEBB 2,Comptroller,,DEM,Thomas P. DiNapoli,37,4
Herikimer,WINFIELD 1,Comptroller,,DEM,Thomas P. DiNapoli,171,3
Herikimer,Early Voting,Comptroller,,DEM,Thomas P. DiNapoli,612,0
Herikimer,Mail-in Ballots,Comptroller,,DEM,Thomas P. DiNapoli,635,0
Herikimer,C LITTLE FALLS W1,Comptroller,,WOR,Thomas P. DiNapoli,110,1
Herikimer,C LITTLE FALLS W2,Comptroller,,WOR,Thomas P. DiNapoli,14,3
Herikimer,C LITTLE FALLS W3,Comptroller,,WOR,Thomas P. DiNapoli,12,0
Herikimer,C LITTLE FALLS W4,Comptroller,,WOR,Thomas P. DiNapoli,6,0
Herikimer,COLUMBIA 1 ,Comptroller,,WOR,Thomas P. DiNapoli,12,0
Herikimer,COLUMBIA 2,Comptroller,,WOR,Thomas P. DiNapoli,2,0
Herikimer,DANUBE 1,Comptroller,,WOR,Thomas P. DiNapoli,8,0
Herikimer,FAIRFIELD 1,Comptroller,,WOR,Thomas P. DiNapoli,18,0
Herikimer,FRANKFORT 1,Comptroller,,WOR,Thomas P. DiNapoli,9,0
Herikimer,FRANKFORT2,Comptroller,,WOR,Thomas P. DiNapoli,10,2
Herikimer,FRANKFORT 3,Comptroller,,WOR,Thomas P. DiNapoli,22,0
Herikimer,FRANKFORT 4,Comptroller,,WOR,Thomas P. DiNapoli,35,1
Herikimer,GERMAN FLATTS 1,Comptroller,,WOR,Thomas P. DiNapoli,4,0
Herikimer,GERMAN FLATTS 2,Comptroller,,WOR,Thomas P. DiNapoli,9,0
Herikimer,GERMAN FLATTS 3,Comptroller,,WOR,Thomas P. DiNapoli,299,1
