precinct,office,district,candidate,party,votes
Orangetown 8,State Senate,38,David Carlucci,DEM,308
Orangetown 8,State Senate,38,Janis A. Castaldi,REP,44
Orangetown 8,State Senate,38,David Carlucci,WOR,17
Orangetown 8,State Senate,38,David Carlucci,IND,7
Orangetown 8,State Senate,38,Write-ins,,0
Orangetown 8,State Senate,38,Total,,376
Orangetown 8,State Senate,38,Over Votes,,0
Orangetown 8,State Senate,38,Under Votes,,30
Orangetown 8,State House,97,Ellen C. Jaffee,DEM,308
Orangetown 8,State House,97,Joseph T. Gravagna,REP,40
Orangetown 8,State House,97,Joseph T. Gravagna,CON,8
Orangetown 8,State House,97,Ellen C. Jaffee,WOR,20
Orangetown 8,State House,97,Joseph T. Gravagna,IND,0
Orangetown 8,State House,97,Write-ins,,0
Orangetown 8,State House,97,Total,,376
Orangetown 8,State House,97,Over Votes,,0
Orangetown 8,State House,97,Under Votes,,30
Orangetown 9,Ballots Cast,,,,614
Orangetown 9,President,,Barack Obama,DEM,237
Orangetown 9,President,,Mitt Romney,REP,325
Orangetown 9,President,,Mitt Romney,CON,32
Orangetown 9,President,,Barack Obama,WOR,6
Orangetown 9,President,,Jill Stein,GRE,8
Orangetown 9,President,,Peta Lindsay,PSL,0
Orangetown 9,President,,Gary Johnson,LBT,2
Orangetown 9,President,,Virgil Goode,CST,0
Orangetown 9,President,,Write-ins,,2
Orangetown 9,President,,Total,,612
Orangetown 9,President,,Over Votes,,0
Orangetown 9,President,,Under Votes,,2
Orangetown 9,U.S. Senate,,Kirsten E. Gillibrand,DEM,255
Orangetown 9,U.S. Senate,,Wendy Long,REP,243
Orangetown 9,U.S. Senate,,Wendy Long,CON,30
Orangetown 9,U.S. Senate,,Kirsten E. Gillibrand,WOR,16
Orangetown 9,U.S. Senate,,Kirsten E. Gillibrand,IND,27
Orangetown 9,U.S. Senate,,Colia Clark,GRE,8
Orangetown 9,U.S. Senate,,Chris Edes,LBT,2
Orangetown 9,U.S. Senate,,John Mangelli,CSP,1
Orangetown 9,U.S. Senate,,Write-ins,,0
Orangetown 9,U.S. Senate,,Total,,582
Orangetown 9,U.S. Senate,,Over Votes,,1
Orangetown 9,U.S. Senate,,Under Votes,,31
Orangetown 9,U.S. House,17,Nita M. Lowey,DEM,223
Orangetown 9,U.S. House,17,Joe Carvin,REP,307
Orangetown 9,U.S. House,17,Nita M. Lowey,WOR,18
Orangetown 9,U.S. House,17,Francis E. Morganthaler,WTP,8
Orangetown 9,U.S. House,17,Write-ins,,0
Orangetown 9,U.S. House,17,Total,,556
Orangetown 9,U.S. House,17,Over Votes,,0
Orangetown 9,U.S. House,17,Under Votes,,58
Orangetown 9,State Senate,38,David Carlucci,DEM,264
Orangetown 9,State Senate,38,Janis A. Castaldi,REP,241
Orangetown 9,State Senate,38,David Carlucci,WOR,21
Orangetown 9,State Senate,38,David Carlucci,IND,34
Orangetown 9,State Senate,38,Write-ins,,0
Orangetown 9,State Senate,38,Total,,560
Orangetown 9,State Senate,38,Over Votes,,0
Orangetown 9,State Senate,38,Under Votes,,54
Orangetown 9,State House,97,Ellen C. Jaffee,DEM,233
Orangetown 9,State House,97,Joseph T. Gravagna,REP,265
Orangetown 9,State House,97,Joseph T. Gravagna,CON,26
Orangetown 9,State House,97,Ellen C. Jaffee,WOR,25
Orangetown 9,State House,97,Joseph T. Gravagna,IND,12
Orangetown 9,State House,97,Write-ins,,0
Orangetown 9,State House,97,Total,,561
Orangetown 9,State House,97,Over Votes,,0
Orangetown 9,State House,97,Under Votes,,53
Orangetown 10,Ballots Cast,,,,445
Orangetown 10,President,,Barack Obama,DEM,148
Orangetown 10,President,,Mitt Romney,REP,263
Orangetown 10,President,,Mitt Romney,CON,24
Orangetown 10,President,,Barack Obama,WOR,4
Orangetown 10,President,,Jill Stein,GRE,3
Orangetown 10,President,,Peta Lindsay,PSL,0
Orangetown 10,President,,Gary Johnson,LBT,3
Orangetown 10,President,,Virgil Goode,CST,0
Orangetown 10,President,,Write-ins,,0
Orangetown 10,President,,Total,,445
Orangetown 10,President,,Over Votes,,0
Orangetown 10,President,,Under Votes,,0
Orangetown 10,U.S. Senate,,Kirsten E. Gillibrand,DEM,180
Orangetown 10,U.S. Senate,,Wendy Long,REP,191
Orangetown 10,U.S. Senate,,Wendy Long,CON,24
Orangetown 10,U.S. Senate,,Kirsten E. Gillibrand,WOR,11
Orangetown 10,U.S. Senate,,Kirsten E. Gillibrand,IND,13
Orangetown 10,U.S. Senate,,Colia Clark,GRE,4
Orangetown 10,U.S. Senate,,Chris Edes,LBT,3
Orangetown 10,U.S. Senate,,John Mangelli,CSP,2
Orangetown 10,U.S. Senate,,Write-ins,,0
Orangetown 10,U.S. Senate,,Total,,428
Orangetown 10,U.S. Senate,,Over Votes,,0
Orangetown 10,U.S. Senate,,Under Votes,,17
Orangetown 10,U.S. House,17,Nita M. Lowey,DEM,142
Orangetown 10,U.S. House,17,Joe Carvin,REP,240
Orangetown 10,U.S. House,17,Nita M. Lowey,WOR,16
Orangetown 10,U.S. House,17,Francis E. Morganthaler,WTP,7
Orangetown 10,U.S. House,17,Write-ins,,0
Orangetown 10,U.S. House,17,Total,,405
Orangetown 10,U.S. House,17,Over Votes,,0
Orangetown 10,U.S. House,17,Under Votes,,40
Orangetown 10,State Senate,38,David Carlucci,DEM,181
Orangetown 10,State Senate,38,Janis A. Castaldi,REP,193
Orangetown 10,State Senate,38,David Carlucci,WOR,18
Orangetown 10,State Senate,38,David Carlucci,IND,10
Orangetown 10,State Senate,38,Write-ins,,3
Orangetown 10,State Senate,38,Total,,405
Orangetown 10,State Senate,38,Over Votes,,1
Orangetown 10,State Senate,38,Under Votes,,39
Orangetown 10,State House,97,Ellen C. Jaffee,DEM,153
Orangetown 10,State House,97,Joseph T. Gravagna,REP,202
Orangetown 10,State House,97,Joseph T. Gravagna,CON,25
Orangetown 10,State House,97,Ellen C. Jaffee,WOR,18
Orangetown 10,State House,97,Joseph T. Gravagna,IND,8
Orangetown 10,State House,97,Write-ins,,1
Orangetown 10,State House,97,Total,,407
Orangetown 10,State House,97,Over Votes,,0
Orangetown 10,State House,97,Under Votes,,38
Orangetown 11,Ballots Cast,,,,646
Orangetown 11,President,,Barack Obama,DEM,488
Orangetown 11,President,,Mitt Romney,REP,91
Orangetown 11,President,,Mitt Romney,CON,9
Orangetown 11,President,,Barack Obama,WOR,35
Orangetown 11,President,,Jill Stein,GRE,6
Orangetown 11,President,,Peta Lindsay,PSL,0
Orangetown 11,President,,Gary Johnson,LBT,8
Orangetown 11,President,,Virgil Goode,CST,1
Orangetown 11,President,,Write-ins,,5
Orangetown 11,President,,Total,,643
Orangetown 11,President,,Over Votes,,1
Orangetown 11,President,,Under Votes,,2
Orangetown 11,U.S. Senate,,Kirsten E. Gillibrand,DEM,472
Orangetown 11,U.S. Senate,,Wendy Long,REP,73
Orangetown 11,U.S. Senate,,Wendy Long,CON,8
Orangetown 11,U.S. Senate,,Kirsten E. Gillibrand,WOR,44
Orangetown 11,U.S. Senate,,Kirsten E. Gillibrand,IND,8
Orangetown 11,U.S. Senate,,Colia Clark,GRE,5
Orangetown 11,U.S. Senate,,Chris Edes,LBT,5
Orangetown 11,U.S. Senate,,John Mangelli,CSP,0
Orangetown 11,U.S. Senate,,Write-ins,,0
Orangetown 11,U.S. Senate,,Total,,615
Orangetown 11,U.S. Senate,,Over Votes,,1
Orangetown 11,U.S. Senate,,Under Votes,,30
Orangetown 11,U.S. House,17,Nita M. Lowey,DEM,455
Orangetown 11,U.S. House,17,Joe Carvin,REP,86
Orangetown 11,U.S. House,17,Nita M. Lowey,WOR,50
Orangetown 11,U.S. House,17,Francis E. Morganthaler,WTP,4
Orangetown 11,U.S. House,17,Write-ins,,0
Orangetown 11,U.S. House,17,Total,,595
Orangetown 11,U.S. House,17,Over Votes,,0
Orangetown 11,U.S. House,17,Under Votes,,51
Orangetown 11,State Senate,38,David Carlucci,DEM,449
Orangetown 11,State Senate,38,Janis A. Castaldi,REP,72
Orangetown 11,State Senate,38,David Carlucci,WOR,47
Orangetown 11,State Senate,38,David Carlucci,IND,14
Orangetown 11,State Senate,38,Write-ins,,0
Orangetown 11,State Senate,38,Total,,582
Orangetown 11,State Senate,38,Over Votes,,0
Orangetown 11,State Senate,38,Under Votes,,64
Orangetown 11,State House,97,Ellen C. Jaffee,DEM,449
Orangetown 11,State House,97,Joseph T. Gravagna,REP,72
Orangetown 11,State House,97,Joseph T. Gravagna,CON,9
Orangetown 11,State House,97,Ellen C. Jaffee,WOR,52
Orangetown 11,State House,97,Joseph T. Gravagna,IND,7
Orangetown 11,State House,97,Write-ins,,0
Orangetown 11,State House,97,Total,,589
Orangetown 11,State House,97,Over Votes,,1
Orangetown 11,State House,97,Under Votes,,56
Orangetown 12,Ballots Cast,,,,596
Orangetown 12,President,,Barack Obama,DEM,379
Orangetown 12,President,,Mitt Romney,REP,177
Orangetown 12,President,,Mitt Romney,CON,20
Orangetown 12,President,,Barack Obama,WOR,13
Orangetown 12,President,,Jill Stein,GRE,2
Orangetown 12,President,,Peta Lindsay,PSL,0
Orangetown 12,President,,Gary Johnson,LBT,4
Orangetown 12,President,,Virgil Goode,CST,0
Orangetown 12,President,,Write-ins,,0
Orangetown 12,President,,Total,,595
Orangetown 12,President,,Over Votes,,0
Orangetown 12,President,,Under Votes,,1
Orangetown 12,U.S. Senate,,Kirsten E. Gillibrand,DEM,380
Orangetown 12,U.S. Senate,,Wendy Long,REP,125
Orangetown 12,U.S. Senate,,Wendy Long,CON,19
Orangetown 12,U.S. Senate,,Kirsten E. Gillibrand,WOR,21
Orangetown 12,U.S. Senate,,Kirsten E. Gillibrand,IND,16
Orangetown 12,U.S. Senate,,Colia Clark,GRE,3
Orangetown 12,U.S. Senate,,Chris Edes,LBT,4
Orangetown 12,U.S. Senate,,John Mangelli,CSP,1
Orangetown 12,U.S. Senate,,Write-ins,,0
Orangetown 12,U.S. Senate,,Total,,569
Orangetown 12,U.S. Senate,,Over Votes,,0
Orangetown 12,U.S. Senate,,Under Votes,,27
Orangetown 12,U.S. House,17,Nita M. Lowey,DEM,353
Orangetown 12,U.S. House,17,Joe Carvin,REP,160
Orangetown 12,U.S. House,17,Nita M. Lowey,WOR,25
Orangetown 12,U.S. House,17,Francis E. Morganthaler,WTP,4
Orangetown 12,U.S. House,17,Write-ins,,0
Orangetown 12,U.S. House,17,Total,,542
Orangetown 12,U.S. House,17,Over Votes,,0
Orangetown 12,U.S. House,17,Under Votes,,54
Orangetown 12,State Senate,38,David Carlucci,DEM,352
Orangetown 12,State Senate,38,Janis A. Castaldi,REP,149
Orangetown 12,State Senate,38,David Carlucci,WOR,25
Orangetown 12,State Senate,38,David Carlucci,IND,9
Orangetown 12,State Senate,38,Write-ins,,1
Orangetown 12,State Senate,38,Total,,536
Orangetown 12,State Senate,38,Over Votes,,0
Orangetown 12,State Senate,38,Under Votes,,60
Orangetown 12,State House,97,Ellen C. Jaffee,DEM,357
Orangetown 12,State House,97,Joseph T. Gravagna,REP,128
Orangetown 12,State House,97,Joseph T. Gravagna,CON,18
Orangetown 12,State House,97,Ellen C. Jaffee,WOR,26
Orangetown 12,State House,97,Joseph T. Gravagna,IND,6
Orangetown 12,State House,97,Write-ins,,1
Orangetown 12,State House,97,Total,,536
Orangetown 12,State House,97,Over Votes,,0
Orangetown 12,State House,97,Under Votes,,60
Orangetown 13,Ballots Cast,,,,454
Orangetown 13,President,,Barack Obama,DEM,227
Orangetown 13,President,,Mitt Romney,REP,184
Orangetown 13,President,,Mitt Romney,CON,29
Orangetown 13,President,,Barack Obama,WOR,5
Orangetown 13,President,,Jill Stein,GRE,1
Orangetown 13,President,,Peta Lindsay,PSL,1
Orangetown 13,President,,Gary Johnson,LBT,3
Orangetown 13,President,,Virgil Goode,CST,1
Orangetown 13,President,,Write-ins,,1
Orangetown 13,President,,Total,,452
Orangetown 13,President,,Over Votes,,0
Orangetown 13,President,,Under Votes,,2
Orangetown 13,U.S. Senate,,Kirsten E. Gillibrand,DEM,238
Orangetown 13,U.S. Senate,,Wendy Long,REP,129
Orangetown 13,U.S. Senate,,Wendy Long,CON,25
Orangetown 13,U.S. Senate,,Kirsten E. Gillibrand,WOR,21
Orangetown 13,U.S. Senate,,Kirsten E. Gillibrand,IND,16
Orangetown 13,U.S. Senate,,Colia Clark,GRE,1
Orangetown 13,U.S. Senate,,Chris Edes,LBT,2
Orangetown 13,U.S. Senate,,John Mangelli,CSP,1
Orangetown 13,U.S. Senate,,Write-ins,,0
Orangetown 13,U.S. Senate,,Total,,433
Orangetown 13,U.S. Senate,,Over Votes,,0
Orangetown 13,U.S. Senate,,Under Votes,,21
Orangetown 13,U.S. House,17,Nita M. Lowey,DEM,206
Orangetown 13,U.S. House,17,Joe Carvin,REP,186
Orangetown 13,U.S. House,17,Nita M. Lowey,WOR,12
Orangetown 13,U.S. House,17,Francis E. Morganthaler,WTP,3
Orangetown 13,U.S. House,17,Write-ins,,0
Orangetown 13,U.S. House,17,Total,,407
Orangetown 13,U.S. House,17,Over Votes,,0
Orangetown 13,U.S. House,17,Under Votes,,47
Orangetown 13,State Senate,38,David Carlucci,DEM,231
Orangetown 13,State Senate,38,Janis A. Castaldi,REP,147
Orangetown 13,State Senate,38,David Carlucci,WOR,19
Orangetown 13,State Senate,38,David Carlucci,IND,13
Orangetown 13,State Senate,38,Write-ins,,0
Orangetown 13,State Senate,38,Total,,410
Orangetown 13,State Senate,38,Over Votes,,0
Orangetown 13,State Senate,38,Under Votes,,44
Orangetown 13,State House,97,Ellen C. Jaffee,DEM,211
Orangetown 13,State House,97,Joseph T. Gravagna,REP,153
Orangetown 13,State House,97,Joseph T. Gravagna,CON,23
Orangetown 13,State House,97,Ellen C. Jaffee,WOR,17
Orangetown 13,State House,97,Joseph T. Gravagna,IND,8
Orangetown 13,State House,97,Write-ins,,0
Orangetown 13,State House,97,Total,,412
Orangetown 13,State House,97,Over Votes,,0
Orangetown 13,State House,97,Under Votes,,42
Orangetown 14,Ballots Cast,,,,528
Orangetown 14,President,,Barack Obama,DEM,361
Orangetown 14,President,,Mitt Romney,REP,138
Orangetown 14,President,,Mitt Romney,CON,12
Orangetown 14,President,,Barack Obama,WOR,9
Orangetown 14,President,,Jill Stein,GRE,5
Orangetown 14,President,,Peta Lindsay,PSL,1
Orangetown 14,President,,Gary Johnson,LBT,1
Orangetown 14,President,,Virgil Goode,CST,0
Orangetown 14,President,,Write-ins,,1
Orangetown 14,President,,Total,,528
Orangetown 14,President,,Over Votes,,0
Orangetown 14,President,,Under Votes,,0
Orangetown 14,U.S. Senate,,Kirsten E. Gillibrand,DEM,378
Orangetown 14,U.S. Senate,,Wendy Long,REP,95
Orangetown 14,U.S. Senate,,Wendy Long,CON,15
Orangetown 14,U.S. Senate,,Kirsten E. Gillibrand,WOR,16
Orangetown 14,U.S. Senate,,Kirsten E. Gillibrand,IND,7
Orangetown 14,U.S. Senate,,Colia Clark,GRE,4
Orangetown 14,U.S. Senate,,Chris Edes,LBT,2
Orangetown 14,U.S. Senate,,John Mangelli,CSP,2
Orangetown 14,U.S. Senate,,Write-ins,,0
Orangetown 14,U.S. Senate,,Total,,519
Orangetown 14,U.S. Senate,,Over Votes,,0
Orangetown 14,U.S. Senate,,Under Votes,,9
Orangetown 14,U.S. House,17,Nita M. Lowey,DEM,354
Orangetown 14,U.S. House,17,Joe Carvin,REP,119
Orangetown 14,U.S. House,17,Nita M. Lowey,WOR,16
Orangetown 14,U.S. House,17,Francis E. Morganthaler,WTP,3
Orangetown 14,U.S. House,17,Write-ins,,0
Orangetown 14,U.S. House,17,Total,,492
Orangetown 14,U.S. House,17,Over Votes,,0
Orangetown 14,U.S. House,17,Under Votes,,36
Orangetown 14,State Senate,38,David Carlucci,DEM,349
Orangetown 14,State Senate,38,Janis A. Castaldi,REP,112
Orangetown 14,State Senate,38,David Carlucci,WOR,16
Orangetown 14,State Senate,38,David Carlucci,IND,11
Orangetown 14,State Senate,38,Write-ins,,0
Orangetown 14,State Senate,38,Total,,488
Orangetown 14,State Senate,38,Over Votes,,0
Orangetown 14,State Senate,38,Under Votes,,40
Orangetown 14,State House,97,Ellen C. Jaffee,DEM,346
Orangetown 14,State House,97,Joseph T. Gravagna,REP,112
Orangetown 14,State House,97,Joseph T. Gravagna,CON,11
Orangetown 14,State House,97,Ellen C. Jaffee,WOR,16
Orangetown 14,State House,97,Joseph T. Gravagna,IND,8
Orangetown 14,State House,97,Write-ins,,0
Orangetown 14,State House,97,Total,,493
Orangetown 14,State House,97,Over Votes,,0
Orangetown 14,State House,97,Under Votes,,35
Orangetown 15,Ballots Cast,,,,242
Orangetown 15,President,,Barack Obama,DEM,187
Orangetown 15,President,,Mitt Romney,REP,38
Orangetown 15,President,,Mitt Romney,CON,4
Orangetown 15,President,,Barack Obama,WOR,9
Orangetown 15,President,,Jill Stein,GRE,2
Orangetown 15,President,,Peta Lindsay,PSL,0
Orangetown 15,President,,Gary Johnson,LBT,2
Orangetown 15,President,,Virgil Goode,CST,0
Orangetown 15,President,,Write-ins,,0
Orangetown 15,President,,Total,,242
Orangetown 15,President,,Over Votes,,0
Orangetown 15,President,,Under Votes,,0
Orangetown 15,U.S. Senate,,Kirsten E. Gillibrand,DEM,182
Orangetown 15,U.S. Senate,,Wendy Long,REP,27
Orangetown 15,U.S. Senate,,Wendy Long,CON,3
Orangetown 15,U.S. Senate,,Kirsten E. Gillibrand,WOR,12
Orangetown 15,U.S. Senate,,Kirsten E. Gillibrand,IND,4
Orangetown 15,U.S. Senate,,Colia Clark,GRE,1
Orangetown 15,U.S. Senate,,Chris Edes,LBT,2
Orangetown 15,U.S. Senate,,John Mangelli,CSP,1
Orangetown 15,U.S. Senate,,Write-ins,,0
Orangetown 15,U.S. Senate,,Total,,232
Orangetown 15,U.S. Senate,,Over Votes,,0
Orangetown 15,U.S. Senate,,Under Votes,,10
Orangetown 15,U.S. House,17,Nita M. Lowey,DEM,171
Orangetown 15,U.S. House,17,Joe Carvin,REP,34
Orangetown 15,U.S. House,17,Nita M. Lowey,WOR,14
Orangetown 15,U.S. House,17,Francis E. Morganthaler,WTP,2
Orangetown 15,U.S. House,17,Write-ins,,0
Orangetown 15,U.S. House,17,Total,,221
Orangetown 15,U.S. House,17,Over Votes,,0
Orangetown 15,U.S. House,17,Under Votes,,21
Orangetown 15,State Senate,38,David Carlucci,DEM,171
Orangetown 15,State Senate,38,Janis A. Castaldi,REP,32
Orangetown 15,State Senate,38,David Carlucci,WOR,11
Orangetown 15,State Senate,38,David Carlucci,IND,5
Orangetown 15,State Senate,38,Write-ins,,1
Orangetown 15,State Senate,38,Total,,220
Orangetown 15,State Senate,38,Over Votes,,0
Orangetown 15,State Senate,38,Under Votes,,22
Orangetown 15,State House,97,Ellen C. Jaffee,DEM,177
Orangetown 15,State House,97,Joseph T. Gravagna,REP,29
Orangetown 15,State House,97,Joseph T. Gravagna,CON,6
Orangetown 15,State House,97,Ellen C. Jaffee,WOR,10
Orangetown 15,State House,97,Joseph T. Gravagna,IND,1
Orangetown 15,State House,97,Write-ins,,0
Orangetown 15,State House,97,Total,,223
Orangetown 15,State House,97,Over Votes,,0
Orangetown 15,State House,97,Under Votes,,19
Orangetown 16,Ballots Cast,,,,546
Orangetown 16,President,,Barack Obama,DEM,311
Orangetown 16,President,,Mitt Romney,REP,199
Orangetown 16,President,,Mitt Romney,CON,18
Orangetown 16,President,,Barack Obama,WOR,6
Orangetown 16,President,,Jill Stein,GRE,5
Orangetown 16,President,,Peta Lindsay,PSL,0
Orangetown 16,President,,Gary Johnson,LBT,2
Orangetown 16,President,,Virgil Goode,CST,0
Orangetown 16,President,,Write-ins,,1
Orangetown 16,President,,Total,,542
Orangetown 16,President,,Over Votes,,0
Orangetown 16,President,,Under Votes,,4
Orangetown 16,U.S. Senate,,Kirsten E. Gillibrand,DEM,338
Orangetown 16,U.S. Senate,,Wendy Long,REP,137
Orangetown 16,U.S. Senate,,Wendy Long,CON,14
Orangetown 16,U.S. Senate,,Kirsten E. Gillibrand,WOR,18
Orangetown 16,U.S. Senate,,Kirsten E. Gillibrand,IND,9
Orangetown 16,U.S. Senate,,Colia Clark,GRE,6
Orangetown 16,U.S. Senate,,Chris Edes,LBT,1
Orangetown 16,U.S. Senate,,John Mangelli,CSP,1
Orangetown 16,U.S. Senate,,Write-ins,,0
Orangetown 16,U.S. Senate,,Total,,524
Orangetown 16,U.S. Senate,,Over Votes,,0
Orangetown 16,U.S. Senate,,Under Votes,,22
Orangetown 16,U.S. House,17,Nita M. Lowey,DEM,305
Orangetown 16,U.S. House,17,Joe Carvin,REP,172
Orangetown 16,U.S. House,17,Nita M. Lowey,WOR,10
Orangetown 16,U.S. House,17,Francis E. Morganthaler,WTP,5
Orangetown 16,U.S. House,17,Write-ins,,0
Orangetown 16,U.S. House,17,Total,,492
Orangetown 16,U.S. House,17,Over Votes,,0
Orangetown 16,U.S. House,17,Under Votes,,54
Orangetown 16,State Senate,38,David Carlucci,DEM,338
Orangetown 16,State Senate,38,Janis A. Castaldi,REP,150
Orangetown 16,State Senate,38,David Carlucci,WOR,13
Orangetown 16,State Senate,38,David Carlucci,IND,7
Orangetown 16,State Senate,38,Write-ins,,0
Orangetown 16,State Senate,38,Total,,508
Orangetown 16,State Senate,38,Over Votes,,0
Orangetown 16,State Senate,38,Under Votes,,38
Orangetown 16,State House,97,Ellen C. Jaffee,DEM,319
Orangetown 16,State House,97,Joseph T. Gravagna,REP,152
Orangetown 16,State House,97,Joseph T. Gravagna,CON,16
Orangetown 16,State House,97,Ellen C. Jaffee,WOR,16
Orangetown 16,State House,97,Joseph T. Gravagna,IND,4
Orangetown 16,State House,97,Write-ins,,0
Orangetown 16,State House,97,Total,,507
Orangetown 16,State House,97,Over Votes,,0
Orangetown 16,State House,97,Under Votes,,39
Orangetown 17,Ballots Cast,,,,571
Orangetown 17,President,,Barack Obama,DEM,207
Orangetown 17,President,,Mitt Romney,REP,310
Orangetown 17,President,,Mitt Romney,CON,32
Orangetown 17,President,,Barack Obama,WOR,7
Orangetown 17,President,,Jill Stein,GRE,4
Orangetown 17,President,,Peta Lindsay,PSL,0
Orangetown 17,President,,Gary Johnson,LBT,6
Orangetown 17,President,,Virgil Goode,CST,0
Orangetown 17,President,,Write-ins,,1
Orangetown 17,President,,Total,,567
Orangetown 17,President,,Over Votes,,1
Orangetown 17,President,,Under Votes,,3
Orangetown 17,U.S. Senate,,Kirsten E. Gillibrand,DEM,256
Orangetown 17,U.S. Senate,,Wendy Long,REP,200
Orangetown 17,U.S. Senate,,Wendy Long,CON,28
Orangetown 17,U.S. Senate,,Kirsten E. Gillibrand,WOR,26
Orangetown 17,U.S. Senate,,Kirsten E. Gillibrand,IND,20
Orangetown 17,U.S. Senate,,Colia Clark,GRE,1
Orangetown 17,U.S. Senate,,Chris Edes,LBT,3
Orangetown 17,U.S. Senate,,John Mangelli,CSP,2
Orangetown 17,U.S. Senate,,Write-ins,,0
Orangetown 17,U.S. Senate,,Total,,536
Orangetown 17,U.S. Senate,,Over Votes,,2
Orangetown 17,U.S. Senate,,Under Votes,,33
Orangetown 17,U.S. House,17,Nita M. Lowey,DEM,195
Orangetown 17,U.S. House,17,Joe Carvin,REP,269
Orangetown 17,U.S. House,17,Nita M. Lowey,WOR,27
Orangetown 17,U.S. House,17,Francis E. Morganthaler,WTP,2
Orangetown 17,U.S. House,17,Write-ins,,0
Orangetown 17,U.S. House,17,Total,,493
Orangetown 17,U.S. House,17,Over Votes,,0
Orangetown 17,U.S. House,17,Under Votes,,78
Orangetown 17,State Senate,38,David Carlucci,DEM,242
Orangetown 17,State Senate,38,Janis A. Castaldi,REP,219
Orangetown 17,State Senate,38,David Carlucci,WOR,27
Orangetown 17,State Senate,38,David Carlucci,IND,17
Orangetown 17,State Senate,38,Write-ins,,0
Orangetown 17,State Senate,38,Total,,505
Orangetown 17,State Senate,38,Over Votes,,0
Orangetown 17,State Senate,38,Under Votes,,66
Orangetown 17,State House,97,Ellen C. Jaffee,DEM,217
Orangetown 17,State House,97,Joseph T. Gravagna,REP,229
Orangetown 17,State House,97,Joseph T. Gravagna,CON,28
Orangetown 17,State House,97,Ellen C. Jaffee,WOR,25
Orangetown 17,State House,97,Joseph T. Gravagna,IND,8
Orangetown 17,State House,97,Write-ins,,0
Orangetown 17,State House,97,Total,,507
Orangetown 17,State House,97,Over Votes,,0
Orangetown 17,State House,97,Under Votes,,64
Orangetown 18,Ballots Cast,,,,430
Orangetown 18,President,,Barack Obama,DEM,309
Orangetown 18,President,,Mitt Romney,REP,93
Orangetown 18,President,,Mitt Romney,CON,11
Orangetown 18,President,,Barack Obama,WOR,9
Orangetown 18,President,,Jill Stein,GRE,3
Orangetown 18,President,,Peta Lindsay,PSL,0
Orangetown 18,President,,Gary Johnson,LBT,1
Orangetown 18,President,,Virgil Goode,CST,0
Orangetown 18,President,,Write-ins,,2
Orangetown 18,President,,Total,,428
Orangetown 18,President,,Over Votes,,0
Orangetown 18,President,,Under Votes,,2
Orangetown 18,U.S. Senate,,Kirsten E. Gillibrand,DEM,293
Orangetown 18,U.S. Senate,,Wendy Long,REP,64
Orangetown 18,U.S. Senate,,Wendy Long,CON,8
Orangetown 18,U.S. Senate,,Kirsten E. Gillibrand,WOR,19
Orangetown 18,U.S. Senate,,Kirsten E. Gillibrand,IND,12
Orangetown 18,U.S. Senate,,Colia Clark,GRE,3
Orangetown 18,U.S. Senate,,Chris Edes,LBT,4
Orangetown 18,U.S. Senate,,John Mangelli,CSP,1
Orangetown 18,U.S. Senate,,Write-ins,,0
Orangetown 18,U.S. Senate,,Total,,404
Orangetown 18,U.S. Senate,,Over Votes,,0
Orangetown 18,U.S. Senate,,Under Votes,,26
Orangetown 18,U.S. House,17,Nita M. Lowey,DEM,277
Orangetown 18,U.S. House,17,Joe Carvin,REP,85
Orangetown 18,U.S. House,17,Nita M. Lowey,WOR,23
Orangetown 18,U.S. House,17,Francis E. Morganthaler,WTP,1
Orangetown 18,U.S. House,17,Write-ins,,1
Orangetown 18,U.S. House,17,Total,,387
Orangetown 18,U.S. House,17,Over Votes,,0
Orangetown 18,U.S. House,17,Under Votes,,43
Orangetown 18,State Senate,38,David Carlucci,DEM,285
Orangetown 18,State Senate,38,Janis A. Castaldi,REP,66
Orangetown 18,State Senate,38,David Carlucci,WOR,23
Orangetown 18,State Senate,38,David Carlucci,IND,14
Orangetown 18,State Senate,38,Write-ins,,1
Orangetown 18,State Senate,38,Total,,389
Orangetown 18,State Senate,38,Over Votes,,0
Orangetown 18,State Senate,38,Under Votes,,41
Orangetown 18,State House,97,Ellen C. Jaffee,DEM,282
Orangetown 18,State House,97,Joseph T. Gravagna,REP,69
Orangetown 18,State House,97,Joseph T. Gravagna,CON,8
Orangetown 18,State House,97,Ellen C. Jaffee,WOR,24
Orangetown 18,State House,97,Joseph T. Gravagna,IND,6
Orangetown 18,State House,97,Write-ins,,0
Orangetown 18,State House,97,Total,,389
Orangetown 18,State House,97,Over Votes,,0
Orangetown 18,State House,97,Under Votes,,41
Orangetown 19,Ballots Cast,,,,436
Orangetown 19,President,,Barack Obama,DEM,160
Orangetown 19,President,,Mitt Romney,REP,219
Orangetown 19,President,,Mitt Romney,CON,40
Orangetown 19,President,,Barack Obama,WOR,4
Orangetown 19,President,,Jill Stein,GRE,4
Orangetown 19,President,,Peta Lindsay,PSL,0
Orangetown 19,President,,Gary Johnson,LBT,5
Orangetown 19,President,,Virgil Goode,CST,1
Orangetown 19,President,,Write-ins,,0
Orangetown 19,President,,Total,,433
Orangetown 19,President,,Over Votes,,0
Orangetown 19,President,,Under Votes,,3
Orangetown 19,U.S. Senate,,Kirsten E. Gillibrand,DEM,193
