county,precinct,office,district,party,candidate,election_day,absentee,votes,,,,,,,,,,,,
Herkimer,Town of German Flatts 6,Governor,,WEP,Andrew M. Cuomo,1,0,1,,,,,,,,,,,,
Herkimer,Town of German Flatts 7,Governor,,WEP,Andrew M. Cuomo,0,0,0,,,,,,,,,,,,
Herkimer,Town of German Flatts 8,Governor,,WEP,Andrew M. Cuomo,1,0,1,,,,,,,,,,,,
Herkimer,Town of German Flatts 9,Governor,,WEP,Andrew M. Cuomo,1,0,1,,,,,,,,,,,,
Herkimer,Town of German Flatts 10,Governor,,WEP,Andrew M. Cuomo,1,1,2,,,,,,,,,,,,
Herkimer,Town of German Flatts 11,Governor,,WEP,Andrew M. Cuomo,2,0,2,,,,,,,,,,,,
Herkimer,Town of German Flatts 12,Governor,,WEP,Andrew M. Cuomo,1,0,1,,,,,,,,,,,,
Herkimer,Town of German Flatts 13,Governor,,WEP,Andrew M. Cuomo,1,0,1,,,,,,,,,,,,
Herkimer,Town of German Flatts 14,Governor,,WEP,Andrew M. Cuomo,1,0,1,,,,,,,,,,,,
Herkimer,Town of Herkimer 1,Governor,,WEP,Andrew M. Cuomo,1,0,1,,,,,,,,,,,,
Herkimer,Town of Herkimer 2,Governor,,WEP,Andrew M. Cuomo,1,0,1,,,,,,,,,,,,
Herkimer,Town of Herkimer 3,Governor,,WEP,Andrew M. Cuomo,2,0,2,,,,,,,,,,,,
Herkimer,Town of Herkimer 4,Governor,,WEP,Andrew M. Cuomo,1,0,1,,,,,,,,,,,,
Herkimer,Town of Herkimer 5,Governor,,WEP,Andrew M. Cuomo,0,0,0,,,,,,,,,,,,
Herkimer,Town of Herkimer 6,Governor,,WEP,Andrew M. Cuomo,2,0,2,,,,,,,,,,,,
Herkimer,Town of Herkimer 7,Governor,,WEP,Andrew M. Cuomo,0,1,1,,,,,,,,,,,,
Herkimer,Town of Herkimer 8,Governor,,WEP,Andrew M. Cuomo,2,0,2,,,,,,,,,,,,
Herkimer,Town of Herkimer 9,Governor,,WEP,Andrew M. Cuomo,1,0,1,,,,,,,,,,,,
Herkimer,Town of Litchfield 1,Governor,,WEP,Andrew M. Cuomo,0,0,0,,,,,,,,,,,,
Herkimer,Town of Little Falls 1,Governor,,WEP,Andrew M. Cuomo,1,0,1,,,,,,,,,,,,
Herkimer,Town of Manheim 1,Governor,,WEP,Andrew M. Cuomo,1,0,1,,,,,,,,,,,,
