county,office,district,party,candidate,votes,
Cortland,U.S. Senate,,DEM,Hillary Clinton,8927,
Delaware,U.S. Senate,,DEM,Hillary Clinton,7506,
Dutchess,U.S. Senate,,DEM,Hillary Clinton,43553,
Erie,U.S. Senate,,DEM,Hillary Clinton,223215,
Essex,U.S. Senate,,DEM,Hillary Clinton,6788,
Franklin,U.S. Senate,,DEM,Hillary Clinton,8278,
Fulton,U.S. Senate,,DEM,Hillary Clinton,8418,
Genesee,U.S. Senate,,DEM,Hillary Clinton,9387,
Greene,U.S. Senate,,DEM,Hillary Clinton,7404,
Hamilton,U.S. Senate,,DEM,Hillary Clinton,1054,
Herkimer,U.S. Senate,,DEM,Hillary Clinton,11529,
Jefferson,U.S. Senate,,DEM,Hillary Clinton,15327,
Lewis,U.S. Senate,,DEM,Hillary Clinton,3859,
Livingston,U.S. Senate,,DEM,Hillary Clinton,9702,
Madison,U.S. Senate,,DEM,Hillary Clinton,11036,
Monroe,U.S. Senate,,DEM,Hillary Clinton,147329,
Montgomery,U.S. Senate,,DEM,Hillary Clinton,9296,
Nassau,U.S. Senate,,DEM,Hillary Clinton,254218,
Niagara,U.S. Senate,,DEM,Hillary Clinton,44439,
Oneida,U.S. Senate,,DEM,Hillary Clinton,39354,
Onondaga,U.S. Senate,,DEM,Hillary Clinton,101170,
Ontario,U.S. Senate,,DEM,Hillary Clinton,18030,
Orange,U.S. Senate,,DEM,Hillary Clinton,46819,
Orleans,U.S. Senate,,DEM,Hillary Clinton,5913,
Oswego,U.S. Senate,,DEM,Hillary Clinton,21947,
Otsego,U.S. Senate,,DEM,Hillary Clinton,10521,
Putnam,U.S. Senate,,DEM,Hillary Clinton,14322,
Rensselaer,U.S. Senate,,DEM,Hillary Clinton,31351,
Rockland,U.S. Senate,,DEM,Hillary Clinton,53255,
St. Lawrence,U.S. Senate,,DEM,Hillary Clinton,20031,
Saratoga,U.S. Senate,,DEM,Hillary Clinton,39124,
Schenectady,U.S. Senate,,DEM,Hillary Clinton,31285,
Schoharie,U.S. Senate,,DEM,Hillary Clinton,5012,
Schuyler,U.S. Senate,,DEM,Hillary Clinton,3039,
Seneca,U.S. Senate,,DEM,Hillary Clinton,6408,
Steuben,U.S. Senate,,DEM,Hillary Clinton,13455,
Suffolk,U.S. Senate,,DEM,Hillary Clinton,225027,
Sullivan,U.S. Senate,,DEM,Hillary Clinton,12304,
Tioga,U.S. Senate,,DEM,Hillary Clinton,8184,
Tompkins,U.S. Senate,,DEM,Hillary Clinton,20517,
Ulster,U.S. Senate,,DEM,Hillary Clinton,33447,
Warren,U.S. Senate,,DEM,Hillary Clinton,10524,
Washington,U.S. Senate,,DEM,Hillary Clinton,8701,
Wayne,U.S. Senate,,DEM,Hillary Clinton,13834,
Westchester,U.S. Senate,,DEM,Hillary Clinton,181231,
Wyoming,U.S. Senate,,DEM,Hillary Clinton,5965,
Yates,U.S. Senate,,DEM,Hillary Clinton,3769,
Bronx,U.S. Senate,,DEM,Hillary Clinton,251563,
Kings,U.S. Senate,,DEM,Hillary Clinton,438081,
New York,U.S. Senate,,DEM,Hillary Clinton,407587,
Queens,U.S. Senate,,DEM,Hillary Clinton,367622,
Richmond,U.S. Senate,,DEM,Hillary Clinton,54939,
,U.S. Senate,,DEM,Hillary Clinton,3562415,
Albany,U.S. Senate,,IND,Jeffrey E. Graham,1189,
Allegany,U.S. Senate,,IND,Jeffrey E. Graham,149,
Broome,U.S. Senate,,IND,Jeffrey E. Graham,932,
Cattaraugus,U.S. Senate,,IND,Jeffrey E. Graham,317,
Cayuga,U.S. Senate,,IND,Jeffrey E. Graham,275,
Chautauqua,U.S. Senate,,IND,Jeffrey E. Graham,534,
Chemung,U.S. Senate,,IND,Jeffrey E. Graham,248,
Chenango,U.S. Senate,,IND,Jeffrey E. Graham,194,
Clinton,U.S. Senate,,IND,Jeffrey E. Graham,301,
Columbia,U.S. Senate,,IND,Jeffrey E. Graham,280,
Cortland,U.S. Senate,,IND,Jeffrey E. Graham,168,
Delaware,U.S. Senate,,IND,Jeffrey E. Graham,165,
Dutchess,U.S. Senate,,IND,Jeffrey E. Graham,773,
Erie,U.S. Senate,,IND,Jeffrey E. Graham,3613,
Essex,U.S. Senate,,IND,Jeffrey E. Graham,183,
Franklin,U.S. Senate,,IND,Jeffrey E. Graham,154,
Fulton,U.S. Senate,,IND,Jeffrey E. Graham,211,
Genesee,U.S. Senate,,IND,Jeffrey E. Graham,305,
Greene,U.S. Senate,,IND,Jeffrey E. Graham,197,
Hamilton,U.S. Senate,,IND,Jeffrey E. Graham,29,
Herkimer,U.S. Senate,,IND,Jeffrey E. Graham,304,
Jefferson,U.S. Senate,,IND,Jeffrey E. Graham,2700,
Lewis,U.S. Senate,,IND,Jeffrey E. Graham,592,
Livingston,U.S. Senate,,IND,Jeffrey E. Graham,249,
Madison,U.S. Senate,,IND,Jeffrey E. Graham,318,
Monroe,U.S. Senate,,IND,Jeffrey E. Graham,1951,
Montgomery,U.S. Senate,,IND,Jeffrey E. Graham,206,
Nassau,U.S. Senate,,IND,Jeffrey E. Graham,3253,
Niagara,U.S. Senate,,IND,Jeffrey E. Graham,754,
Oneida,U.S. Senate,,IND,Jeffrey E. Graham,1032,
Onondaga,U.S. Senate,,IND,Jeffrey E. Graham,1559,
Ontario,U.S. Senate,,IND,Jeffrey E. Graham,388,
Orange,U.S. Senate,,IND,Jeffrey E. Graham,786,
Orleans,U.S. Senate,,IND,Jeffrey E. Graham,107,
Oswego,U.S. Senate,,IND,Jeffrey E. Graham,502,
Otsego,U.S. Senate,,IND,Jeffrey E. Graham,227,
Putnam,U.S. Senate,,IND,Jeffrey E. Graham,236,
Rensselaer,U.S. Senate,,IND,Jeffrey E. Graham,611,
Rockland,U.S. Senate,,IND,Jeffrey E. Graham,613,
St. Lawrence,U.S. Senate,,IND,Jeffrey E. Graham,1477,
Saratoga,U.S. Senate,,IND,Jeffrey E. Graham,703,
Schenectady,U.S. Senate,,IND,Jeffrey E. Graham,516,
Schoharie,U.S. Senate,,IND,Jeffrey E. Graham,117,
Schuyler,U.S. Senate,,IND,Jeffrey E. Graham,67,
Seneca,U.S. Senate,,IND,Jeffrey E. Graham,117,
Steuben,U.S. Senate,,IND,Jeffrey E. Graham,367,
Suffolk,U.S. Senate,,IND,Jeffrey E. Graham,3964,
Sullivan,U.S. Senate,,IND,Jeffrey E. Graham,214,
Tioga,U.S. Senate,,IND,Jeffrey E. Graham,192,
Tompkins,U.S. Senate,,IND,Jeffrey E. Graham,163,
Ulster,U.S. Senate,,IND,Jeffrey E. Graham,613,
Warren,U.S. Senate,,IND,Jeffrey E. Graham,207,
Washington,U.S. Senate,,IND,Jeffrey E. Graham,214,
Wayne,U.S. Senate,,IND,Jeffrey E. Graham,325,
Westchester,U.S. Senate,,IND,Jeffrey E. Graham,1736,
Wyoming,U.S. Senate,,IND,Jeffrey E. Graham,168,
Yates,U.S. Senate,,IND,Jeffrey E. Graham,64,
Bronx,U.S. Senate,,IND,Jeffrey E. Graham,651,
Kings,U.S. Senate,,IND,Jeffrey E. Graham,1384,
New York,U.S. Senate,,IND,Jeffrey E. Graham,1608,
Queens,U.S. Senate,,IND,Jeffrey E. Graham,1331,
Richmond,U.S. Senate,,IND,Jeffrey E. Graham,378,
,U.S. Senate,,IND,Jeffrey E. Graham,43181,
Albany,U.S. Senate,,CON,Rick Lazio,2972,
Allegany,U.S. Senate,,CON,Rick Lazio,605,
Broome,U.S. Senate,,CON,Rick Lazio,1810,
Cattaraugus,U.S. Senate,,CON,Rick Lazio,1197,
Cayuga,U.S. Senate,,CON,Rick Lazio,1184,
Chautauqua,U.S. Senate,,CON,Rick Lazio,2123,
Chemung,U.S. Senate,,CON,Rick Lazio,857,
Chenango,U.S. Senate,,CON,Rick Lazio,589,
Clinton,U.S. Senate,,CON,Rick Lazio,824,
Columbia,U.S. Senate,,CON,Rick Lazio,1323,
Cortland,U.S. Senate,,CON,Rick Lazio,605,
Delaware,U.S. Senate,,CON,Rick Lazio,676,
Dutchess,U.S. Senate,,CON,Rick Lazio,4529,
Erie,U.S. Senate,,CON,Rick Lazio,13737,
Essex,U.S. Senate,,CON,Rick Lazio,522,
Franklin,U.S. Senate,,CON,Rick Lazio,365,
Fulton,U.S. Senate,,CON,Rick Lazio,606,
Genesee,U.S. Senate,,CON,Rick Lazio,1156,
Greene,U.S. Senate,,CON,Rick Lazio,1094,
Hamilton,U.S. Senate,,CON,Rick Lazio,130,
Herkimer,U.S. Senate,,CON,Rick Lazio,890,
Jefferson,U.S. Senate,,CON,Rick Lazio,903,
Lewis,U.S. Senate,,CON,Rick Lazio,293,
Livingston,U.S. Senate,,CON,Rick Lazio,1100,
Madison,U.S. Senate,,CON,Rick Lazio,1083,
Monroe,U.S. Senate,,CON,Rick Lazio,12535,
Montgomery,U.S. Senate,,CON,Rick Lazio,716,
Nassau,U.S. Senate,,CON,Rick Lazio,18047,
Niagara,U.S. Senate,,CON,Rick Lazio,3092,
Oneida,U.S. Senate,,CON,Rick Lazio,3383,
Onondaga,U.S. Senate,,CON,Rick Lazio,6229,
Ontario,U.S. Senate,,CON,Rick Lazio,1777,
Orange,U.S. Senate,,CON,Rick Lazio,4538,
Orleans,U.S. Senate,,CON,Rick Lazio,609,
Oswego,U.S. Senate,,CON,Rick Lazio,1628,
Otsego,U.S. Senate,,CON,Rick Lazio,714,
Putnam,U.S. Senate,,CON,Rick Lazio,2489,
Rensselaer,U.S. Senate,,CON,Rick Lazio,3017,
Rockland,U.S. Senate,,CON,Rick Lazio,4721,
St. Lawrence,U.S. Senate,,CON,Rick Lazio,886,
Saratoga,U.S. Senate,,CON,Rick Lazio,2956,
Schenectady,U.S. Senate,,CON,Rick Lazio,2348,
Schoharie,U.S. Senate,,CON,Rick Lazio,490,
Schuyler,U.S. Senate,,CON,Rick Lazio,286,
Seneca,U.S. Senate,,CON,Rick Lazio,484,
Steuben,U.S. Senate,,CON,Rick Lazio,1196,
Suffolk,U.S. Senate,,CON,Rick Lazio,22325,
Sullivan,U.S. Senate,,CON,Rick Lazio,1120,
Tioga,U.S. Senate,,CON,Rick Lazio,550,
Tompkins,U.S. Senate,,CON,Rick Lazio,599,
Ulster,U.S. Senate,,CON,Rick Lazio,3271,
Warren,U.S. Senate,,CON,Rick Lazio,926,
Washington,U.S. Senate,,CON,Rick Lazio,831,
Wayne,U.S. Senate,,CON,Rick Lazio,1834,
Westchester,U.S. Senate,,CON,Rick Lazio,10759,
Wyoming,U.S. Senate,,CON,Rick Lazio,653,
Yates,U.S. Senate,,CON,Rick Lazio,325,
Bronx,U.S. Senate,,CON,Rick Lazio,3715,
Kings,U.S. Senate,,CON,Rick Lazio,8798,
New York,U.S. Senate,,CON,Rick Lazio,4151,
Queens,U.S. Senate,,CON,Rick Lazio,11919,
Richmond,U.S. Senate,,CON,Rick Lazio,6051,
,U.S. Senate,,CON,Rick Lazio,191141,
Albany,U.S. Senate,,LIB,Hillary Clinton,1680,
Allegany,U.S. Senate,,LIB,Hillary Clinton,189,
Broome,U.S. Senate,,LIB,Hillary Clinton,717,
Cattaraugus,U.S. Senate,,LIB,Hillary Clinton,366,
Cayuga,U.S. Senate,,LIB,Hillary Clinton,428,
Chautauqua,U.S. Senate,,LIB,Hillary Clinton,695,
Chemung,U.S. Senate,,LIB,Hillary Clinton,403,
Chenango,U.S. Senate,,LIB,Hillary Clinton,225,
Clinton,U.S. Senate,,LIB,Hillary Clinton,505,
Columbia,U.S. Senate,,LIB,Hillary Clinton,507,
Cortland,U.S. Senate,,LIB,Hillary Clinton,307,
Delaware,U.S. Senate,,LIB,Hillary Clinton,269,
Dutchess,U.S. Senate,,LIB,Hillary Clinton,1202,
Erie,U.S. Senate,,LIB,Hillary Clinton,6706,
Essex,U.S. Senate,,LIB,Hillary Clinton,316,
Franklin,U.S. Senate,,LIB,Hillary Clinton,268,
Fulton,U.S. Senate,,LIB,Hillary Clinton,211,
Genesee,U.S. Senate,,LIB,Hillary Clinton,327,
Greene,U.S. Senate,,LIB,Hillary Clinton,251,
Hamilton,U.S. Senate,,LIB,Hillary Clinton,45,
Herkimer,U.S. Senate,,LIB,Hillary Clinton,346,
Jefferson,U.S. Senate,,LIB,Hillary Clinton,516,
Lewis,U.S. Senate,,LIB,Hillary Clinton,136,
Livingston,U.S. Senate,,LIB,Hillary Clinton,344,
Madison,U.S. Senate,,LIB,Hillary Clinton,386,
Monroe,U.S. Senate,,LIB,Hillary Clinton,3456,
Montgomery,U.S. Senate,,LIB,Hillary Clinton,333,
Nassau,U.S. Senate,,LIB,Hillary Clinton,5094,
Niagara,U.S. Senate,,LIB,Hillary Clinton,1268,
Oneida,U.S. Senate,,LIB,Hillary Clinton,967,
Onondaga,U.S. Senate,,LIB,Hillary Clinton,2394,
Ontario,U.S. Senate,,LIB,Hillary Clinton,517,
Orange,U.S. Senate,,LIB,Hillary Clinton,1098,
Orleans,U.S. Senate,,LIB,Hillary Clinton,152,
Oswego,U.S. Senate,,LIB,Hillary Clinton,677,
Otsego,U.S. Senate,,LIB,Hillary Clinton,390,
Putnam,U.S. Senate,,LIB,Hillary Clinton,400,
Rensselaer,U.S. Senate,,LIB,Hillary Clinton,1205,
Rockland,U.S. Senate,,LIB,Hillary Clinton,1520,
St. Lawrence,U.S. Senate,,LIB,Hillary Clinton,524,
Saratoga,U.S. Senate,,LIB,Hillary Clinton,1349,
Schenectady,U.S. Senate,,LIB,Hillary Clinton,965,
Schoharie,U.S. Senate,,LIB,Hillary Clinton,189,
Schuyler,U.S. Senate,,LIB,Hillary Clinton,123,
Seneca,U.S. Senate,,LIB,Hillary Clinton,198,
Steuben,U.S. Senate,,LIB,Hillary Clinton,495,
Suffolk,U.S. Senate,,LIB,Hillary Clinton,5238,
Sullivan,U.S. Senate,,LIB,Hillary Clinton,323,
Tioga,U.S. Senate,,LIB,Hillary Clinton,224,
Tompkins,U.S. Senate,,LIB,Hillary Clinton,671,
Ulster,U.S. Senate,,LIB,Hillary Clinton,1223,
Warren,U.S. Senate,,LIB,Hillary Clinton,394,
Washington,U.S. Senate,,LIB,Hillary Clinton,325,
Wayne,U.S. Senate,,LIB,Hillary Clinton,498,
Westchester,U.S. Senate,,LIB,Hillary Clinton,3580,
Wyoming,U.S. Senate,,LIB,Hillary Clinton,151,
Yates,U.S. Senate,,LIB,Hillary Clinton,132,
Bronx,U.S. Senate,,LIB,Hillary Clinton,4131,
Kings,U.S. Senate,,LIB,Hillary Clinton,8061,
New York,U.S. Senate,,LIB,Hillary Clinton,8157,
Queens,U.S. Senate,,LIB,Hillary Clinton,7942,
Richmond,U.S. Senate,,LIB,Hillary Clinton,1092,
,U.S. Senate,,LIB,Hillary Clinton,82801,
Albany,U.S. Senate,,RTL,John O. Adefope,406,
Allegany,U.S. Senate,,RTL,John O. Adefope,101,
Broome,U.S. Senate,,RTL,John O. Adefope,289,
Cattaraugus,U.S. Senate,,RTL,John O. Adefope,164,
Cayuga,U.S. Senate,,RTL,John O. Adefope,160,
Chautauqua,U.S. Senate,,RTL,John O. Adefope,187,
Chemung,U.S. Senate,,RTL,John O. Adefope,129,
Chenango,U.S. Senate,,RTL,John O. Adefope,77,
Clinton,U.S. Senate,,RTL,John O. Adefope,124,
Columbia,U.S. Senate,,RTL,John O. Adefope,79,
Cortland,U.S. Senate,,RTL,John O. Adefope,70,
Delaware,U.S. Senate,,RTL,John O. Adefope,64,
Dutchess,U.S. Senate,,RTL,John O. Adefope,471,
Erie,U.S. Senate,,RTL,John O. Adefope,1934,
Essex,U.S. Senate,,RTL,John O. Adefope,71,
Franklin,U.S. Senate,,RTL,John O. Adefope,72,
Fulton,U.S. Senate,,RTL,John O. Adefope,57,
Genesee,U.S. Senate,,RTL,John O. Adefope,138,
Greene,U.S. Senate,,RTL,John O. Adefope,129,
Hamilton,U.S. Senate,,RTL,John O. Adefope,11,
Herkimer,U.S. Senate,,RTL,John O. Adefope,121,
Jefferson,U.S. Senate,,RTL,John O. Adefope,124,
Lewis,U.S. Senate,,RTL,John O. Adefope,46,
Livingston,U.S. Senate,,RTL,John O. Adefope,96,
Madison,U.S. Senate,,RTL,John O. Adefope,116,
Monroe,U.S. Senate,,RTL,John O. Adefope,1049,
Montgomery,U.S. Senate,,RTL,John O. Adefope,70,
Nassau,U.S. Senate,,RTL,John O. Adefope,2405,
Niagara,U.S. Senate,,RTL,John O. Adefope,496,
Oneida,U.S. Senate,,RTL,John O. Adefope,495,
Onondaga,U.S. Senate,,RTL,John O. Adefope,863,
Ontario,U.S. Senate,,RTL,John O. Adefope,132,
Orange,U.S. Senate,,RTL,John O. Adefope,558,
Orleans,U.S. Senate,,RTL,John O. Adefope,51,
Oswego,U.S. Senate,,RTL,John O. Adefope,215,
Otsego,U.S. Senate,,RTL,John O. Adefope,66,
Putnam,U.S. Senate,,RTL,John O. Adefope,187,
Rensselaer,U.S. Senate,,RTL,John O. Adefope,258,
Rockland,U.S. Senate,,RTL,John O. Adefope,343,
St. Lawrence,U.S. Senate,,RTL,John O. Adefope,110,
Saratoga,U.S. Senate,,RTL,John O. Adefope,297,
Schenectady,U.S. Senate,,RTL,John O. Adefope,211,
Schoharie,U.S. Senate,,RTL,John O. Adefope,50,
Schuyler,U.S. Senate,,RTL,John O. Adefope,27,
Seneca,U.S. Senate,,RTL,John O. Adefope,55,
Steuben,U.S. Senate,,RTL,John O. Adefope,152,
Suffolk,U.S. Senate,,RTL,John O. Adefope,2733,
Sullivan,U.S. Senate,,RTL,John O. Adefope,123,
Tioga,U.S. Senate,,RTL,John O. Adefope,68,
Tompkins,U.S. Senate,,RTL,John O. Adefope,88,
Ulster,U.S. Senate,,RTL,John O. Adefope,316,
Warren,U.S. Senate,,RTL,John O. Adefope,74,
Washington,U.S. Senate,,RTL,John O. Adefope,67,
Wayne,U.S. Senate,,RTL,John O. Adefope,142,
Westchester,U.S. Senate,,RTL,John O. Adefope,1161,
Wyoming,U.S. Senate,,RTL,John O. Adefope,85,
Yates,U.S. Senate,,RTL,John O. Adefope,27,
Bronx,U.S. Senate,,RTL,John O. Adefope,541,
Kings,U.S. Senate,,RTL,John O. Adefope,739,
New York,U.S. Senate,,RTL,John O. Adefope,538,
Queens,U.S. Senate,,RTL,John O. Adefope,974,
Richmond,U.S. Senate,,RTL,John O. Adefope,437,
,U.S. Senate,,RTL,John O. Adefope,21439,
Albany,U.S. Senate,,GRE,Mark J. Dunau,1216,
Allegany,U.S. Senate,,GRE,Mark J. Dunau,103,
Broome,U.S. Senate,,GRE,Mark J. Dunau,688,
Cattaraugus,U.S. Senate,,GRE,Mark J. Dunau,160,
Cayuga,U.S. Senate,,GRE,Mark J. Dunau,215,
Chautauqua,U.S. Senate,,GRE,Mark J. Dunau,273,
Chemung,U.S. Senate,,GRE,Mark J. Dunau,154,
Chenango,U.S. Senate,,GRE,Mark J. Dunau,192,
Clinton,U.S. Senate,,GRE,Mark J. Dunau,194,
Columbia,U.S. Senate,,GRE,Mark J. Dunau,367,
Cortland,U.S. Senate,,GRE,Mark J. Dunau,141,
Delaware,U.S. Senate,,GRE,Mark J. Dunau,241,
Dutchess,U.S. Senate,,GRE,Mark J. Dunau,964,
Erie,U.S. Senate,,GRE,Mark J. Dunau,2192,
Essex,U.S. Senate,,GRE,Mark J. Dunau,147,
Franklin,U.S. Senate,,GRE,Mark J. Dunau,83,
Fulton,U.S. Senate,,GRE,Mark J. Dunau,96,
Genesee,U.S. Senate,,GRE,Mark J. Dunau,127,
Greene,U.S. Senate,,GRE,Mark J. Dunau,137,
Hamilton,U.S. Senate,,GRE,Mark J. Dunau,15,
Herkimer,U.S. Senate,,GRE,Mark J. Dunau,149,
Jefferson,U.S. Senate,,GRE,Mark J. Dunau,94,
Lewis,U.S. Senate,,GRE,Mark J. Dunau,38,
Livingston,U.S. Senate,,GRE,Mark J. Dunau,224,
Madison,U.S. Senate,,GRE,Mark J. Dunau,138,
Monroe,U.S. Senate,,GRE,Mark J. Dunau,1919,
Montgomery,U.S. Senate,,GRE,Mark J. Dunau,67,
Nassau,U.S. Senate,,GRE,Mark J. Dunau,2259,
Niagara,U.S. Senate,,GRE,Mark J. Dunau,356,
Oneida,U.S. Senate,,GRE,Mark J. Dunau,388,
Onondaga,U.S. Senate,,GRE,Mark J. Dunau,1143,
Ontario,U.S. Senate,,GRE,Mark J. Dunau,321,
Orange,U.S. Senate,,GRE,Mark J. Dunau,867,
Orleans,U.S. Senate,,GRE,Mark J. Dunau,67,
Oswego,U.S. Senate,,GRE,Mark J. Dunau,221,
Otsego,U.S. Senate,,GRE,Mark J. Dunau,350,
Putnam,U.S. Senate,,GRE,Mark J. Dunau,304,
Rensselaer,U.S. Senate,,GRE,Mark J. Dunau,589,
Rockland,U.S. Senate,,GRE,Mark J. Dunau,591,
St. Lawrence,U.S. Senate,,GRE,Mark J. Dunau,228,
Saratoga,U.S. Senate,,GRE,Mark J. Dunau,657,
Schenectady,U.S. Senate,,GRE,Mark J. Dunau,415,
Schoharie,U.S. Senate,,GRE,Mark J. Dunau,98,
Schuyler,U.S. Senate,,GRE,Mark J. Dunau,78,
Seneca,U.S. Senate,,GRE,Mark J. Dunau,93,
Steuben,U.S. Senate,,GRE,Mark J. Dunau,193,
Suffolk,U.S. Senate,,GRE,Mark J. Dunau,2429,
Sullivan,U.S. Senate,,GRE,Mark J. Dunau,269,
Tioga,U.S. Senate,,GRE,Mark J. Dunau,131,
Tompkins,U.S. Senate,,GRE,Mark J. Dunau,927,
Ulster,U.S. Senate,,GRE,Mark J. Dunau,1180,
Warren,U.S. Senate,,GRE,Mark J. Dunau,187,
Washington,U.S. Senate,,GRE,Mark J. Dunau,143,
Wayne,U.S. Senate,,GRE,Mark J. Dunau,231,
Westchester,U.S. Senate,,GRE,Mark J. Dunau,2030,
Wyoming,U.S. Senate,,GRE,Mark J. Dunau,82,
Yates,U.S. Senate,,GRE,Mark J. Dunau,61,
Bronx,U.S. Senate,,GRE,Mark J. Dunau,899,
Kings,U.S. Senate,,GRE,Mark J. Dunau,3839,
New York,U.S. Senate,,GRE,Mark J. Dunau,5848,
Queens,U.S. Senate,,GRE,Mark J. Dunau,2588,
Richmond,U.S. Senate,,GRE,Mark J. Dunau,595,
,U.S. Senate,,GRE,Mark J. Dunau,40991,
Albany,U.S. Senate,,WOR,Hillary Clinton,2579,
Allegany,U.S. Senate,,WOR,Hillary Clinton,97,
Broome,U.S. Senate,,WOR,Hillary Clinton,1810,
Cattaraugus,U.S. Senate,,WOR,Hillary Clinton,37,
Cayuga,U.S. Senate,,WOR,Hillary Clinton,330,
Chautauqua,U.S. Senate,,WOR,Hillary Clinton,389,
Chemung,U.S. Senate,,WOR,Hillary Clinton,254,
Chenango,U.S. Senate,,WOR,Hillary Clinton,148,
Clinton,U.S. Senate,,WOR,Hillary Clinton,231,
Columbia,U.S. Senate,,WOR,Hillary Clinton,307,
Cortland,U.S. Senate,,WOR,Hillary Clinton,238,
Delaware,U.S. Senate,,WOR,Hillary Clinton,143,
Dutchess,U.S. Senate,,WOR,Hillary Clinton,903,
Erie,U.S. Senate,,WOR,Hillary Clinton,7849,
Essex,U.S. Senate,,WOR,Hillary Clinton,118,
Franklin,U.S. Senate,,WOR,Hillary Clinton,119,
Fulton,U.S. Senate,,WOR,Hillary Clinton,110,
Genesee,U.S. Senate,,WOR,Hillary Clinton,233,
Greene,U.S. Senate,,WOR,Hillary Clinton,166,
Hamilton,U.S. Senate,,WOR,Hillary Clinton,20,
Herkimer,U.S. Senate,,WOR,Hillary Clinton,132,
Jefferson,U.S. Senate,,WOR,Hillary Clinton,201,
Lewis,U.S. Senate,,WOR,Hillary Clinton,45,
Livingston,U.S. Senate,,WOR,Hillary Clinton,140,
Madison,U.S. Senate,,WOR,Hillary Clinton,267,
Monroe,U.S. Senate,,WOR,Hillary Clinton,1818,
Montgomery,U.S. Senate,,WOR,Hillary Clinton,113,
Nassau,U.S. Senate,,WOR,Hillary Clinton,4650,
Niagara,U.S. Senate,,WOR,Hillary Clinton,1649,
Oneida,U.S. Senate,,WOR,Hillary Clinton,817,
Onondaga,U.S. Senate,,WOR,Hillary Clinton,3232,
Ontario,U.S. Senate,,WOR,Hillary Clinton,206,
Orange,U.S. Senate,,WOR,Hillary Clinton,598,
Orleans,U.S. Senate,,WOR,Hillary Clinton,129,
Oswego,U.S. Senate,,WOR,Hillary Clinton,456,
Otsego,U.S. Senate,,WOR,Hillary Clinton,168,
Putnam,U.S. Senate,,WOR,Hillary Clinton,302,
Rensselaer,U.S. Senate,,WOR,Hillary Clinton,731,
Rockland,U.S. Senate,,WOR,Hillary Clinton,1565,
St. Lawrence,U.S. Senate,,WOR,Hillary Clinton,309,
Saratoga,U.S. Senate,,WOR,Hillary Clinton,692,
Schenectady,U.S. Senate,,WOR,Hillary Clinton,550,
Schoharie,U.S. Senate,,WOR,Hillary Clinton,102,
Schuyler,U.S. Senate,,WOR,Hillary Clinton,85,
Seneca,U.S. Senate,,WOR,Hillary Clinton,87,
Steuben,U.S. Senate,,WOR,Hillary Clinton,174,
Suffolk,U.S. Senate,,WOR,Hillary Clinton,4153,
Sullivan,U.S. Senate,,WOR,Hillary Clinton,186,
Tioga,U.S. Senate,,WOR,Hillary Clinton,171,
Tompkins,U.S. Senate,,WOR,Hillary Clinton,1484,
Ulster,U.S. Senate,,WOR,Hillary Clinton,1192,
Warren,U.S. Senate,,WOR,Hillary Clinton,187,
Washington,U.S. Senate,,WOR,Hillary Clinton,157,
Wayne,U.S. Senate,,WOR,Hillary Clinton,195,
Westchester,U.S. Senate,,WOR,Hillary Clinton,3227,
Wyoming,U.S. Senate,,WOR,Hillary Clinton,18,
Yates,U.S. Senate,,WOR,Hillary Clinton,51,
Bronx,U.S. Senate,,WOR,Hillary Clinton,5684,
Kings,U.S. Senate,,WOR,Hillary Clinton,21557,
New York,U.S. Senate,,WOR,Hillary Clinton,17855,
Queens,U.S. Senate,,WOR,Hillary Clinton,8893,
Richmond,U.S. Senate,,WOR,Hillary Clinton,1785,
,U.S. Senate,,WOR,Hillary Clinton,102094,
Albany,U.S. Senate,,CON,Louis P. Wein,80,
Allegany,U.S. Senate,,CON,Louis P. Wein,19,
Broome,U.S. Senate,,CON,Louis P. Wein,45,
Cattaraugus,U.S. Senate,,CON,Louis P. Wein,22,
Cayuga,U.S. Senate,,CON,Louis P. Wein,36,
Chautauqua,U.S. Senate,,CON,Louis P. Wein,43,
Chemung,U.S. Senate,,CON,Louis P. Wein,20,
Chenango,U.S. Senate,,CON,Louis P. Wein,15,
Clinton,U.S. Senate,,CON,Louis P. Wein,37,
Columbia,U.S. Senate,,CON,Louis P. Wein,23,
Cortland,U.S. Senate,,CON,Louis P. Wein,22,
Delaware,U.S. Senate,,CON,Louis P. Wein,9,
Dutchess,U.S. Senate,,CON,Louis P. Wein,66,
Erie,U.S. Senate,,CON,Louis P. Wein,227,
Essex,U.S. Senate,,CON,Louis P. Wein,43,
Franklin,U.S. Senate,,CON,Louis P. Wein,14,
Fulton,U.S. Senate,,CON,Louis P. Wein,20,
Genesee,U.S. Senate,,CON,Louis P. Wein,20,
Greene,U.S. Senate,,CON,Louis P. Wein,26,
Hamilton,U.S. Senate,,CON,Louis P. Wein,2,
Herkimer,U.S. Senate,,CON,Louis P. Wein,19,
Jefferson,U.S. Senate,,CON,Louis P. Wein,25,
Lewis,U.S. Senate,,CON,Louis P. Wein,12,
Livingston,U.S. Senate,,CON,Louis P. Wein,20,
Madison,U.S. Senate,,CON,Louis P. Wein,26,
Monroe,U.S. Senate,,CON,Louis P. Wein,218,
Montgomery,U.S. Senate,,CON,Louis P. Wein,18,
Nassau,U.S. Senate,,CON,Louis P. Wein,168,
Niagara,U.S. Senate,,CON,Louis P. Wein,78,
